participant number,child gender,child age,child whareabouts,child caregiver,parent english level,SL through tablet,child television ,play w others/solo,preferred color,fuzzy response,blu jay response,tooty response,robot response,Nars_ss1,Nars_ss2,Nars_ss3,GS_anthropomorphism,GS_animacy,GS_likeability,GS_intelligence,GS_safety
101,1,1303,4,1,5,3,4,2,2,3,4,3,2,3.833333333,3.4,4.333333333,4.6,4.2,3.6,4,3.333333333
102,1,699,4,1,5,2,3,2,12,3,3,3,3,2.5,1.4,2.666666667,4.8,3.4,3.4,3,3
103,2,918,4,1,6,3,4,3,1,3,2,3,4,4.166666667,3.4,2,0,0,0,0,0
104,1,847,4,1,5,1,3,2,12,4,4,4,3,3.5,2.6,3,4.4,3.8,3,3.6,3.333333333
105,2,835,5,4,4,3,4,3,12,4,4,3,3,4.166666667,2.8,2.333333333,3.2,3,2,3.4,3.333333333
106,1,1181,4,1,4,2,3,2,12,2,2,2,2,4.333333333,3.2,3,0,0,0,0,0
107,2,1243,4,1,4,2,5,2,2,3,3,3,2,4.166666667,3,3,3.4,3.2,2,3.2,3.333333333
108,1,1237,4,1,4,3,2,3,12,1,2,3,3,3,2.8,3.333333333,5,3.2,2.2,3.4,3.666666667
,,759,,,,,,,,,,,,,,,,,,,
110,2,1004,5,4,4,1,5,3,12,3,2,4,4,3.833333333,2.6,2.666666667,3.2,3.2,2.8,3.4,3.333333333
111,1,1291,5,4,4,1,4,1,12,1,1,1,1,2.166666667,2.4,1.333333333,3,2.8,2,2.6,3.333333333
,,1049,,,,,,,,,,,,,,,,,,,
113,1,1197,4,1,4,1,2,4,2,2,2,2,1,3.5,3.2,1.666666667,2.4,2.6,3.4,3,2.666666667
114,2,1369,5,1,4,3,4,2,12,1,1,4,4,3,3.6,3,1.2,1.6,4.2,2.6,3
115,2,1245,5,4,4,3,3,2,12,3,4,3,3,2,1.6,2.333333333,2.8,2.8,3.4,3.2,3
116,2,740,4,1,5,2,4,3,1,3,2,3,3,3.5,1.6,2.333333333,3.2,4.2,4.8,4,2.666666667
117,1,1355,5,4,4,1,3,2,12,1,1,1,1,2.333333333,2.8,1.333333333,3.8,2.6,2,2.6,2.333333333
118,1,1213,5,4,4,1,2,3,2,2,4,2,2,2.5,1.2,1.666666667,2.2,4,4.6,3.2,2.666666667
