,total time,count,normalized total time,normalized count
Child affect,19.32,6,0.06652892561983471,0.02066115702479339
Child affective touch,9.879999999999999,3,0.03402203856749311,0.010330578512396695
Child gaze,250.76000000000002,16,0.8634986225895318,0.05509641873278237
Child gesture,5.32,3,0.01831955922865014,0.010330578512396695
Child prop manipulation,37.88,27,0.1304407713498623,0.09297520661157026
Child utterance,20.240000000000002,17,0.06969696969696972,0.05853994490358127
Conversational turns,252.5000000000003,43,0.8694903581267229,0.14807162534435264
Joint attention,234.06000000000003,23,0.8059917355371903,0.07920110192837466
Mutual gaze,0.8000000000000398,2,0.0027548209366392556,0.006887052341597796
Non-verbal scaffolding,11.24,8,0.03870523415977962,0.027548209366391185
Parent affect,16.52,4,0.0568870523415978,0.013774104683195593
Parent affective touch,19.44,7,0.06694214876033058,0.024104683195592287
Parent gaze,284.4,29,0.9793388429752066,0.09986225895316805
Parent gesture,9.8,7,0.03374655647382921,0.024104683195592287
Parent prop manipulation,1.44,1,0.0049586776859504135,0.003443526170798898
Parent utterance,49.28,35,0.1696969696969697,0.12052341597796144
Verbal scaffolding,31.16,19,0.10730027548209367,0.06542699724517907
robot pointing,28.801000000000002,14,0.09917699724517907,0.048209366391184574
robot text,155.467,40,0.5353546831955923,0.13774104683195593
CP,61.1000000000001,14,0.21039944903581304,0.048209366391184574
CPC,57.76000000000004,8,0.1988980716253445,0.027548209366391185
MG,0.8000000000000398,2,0.0027548209366392556,0.006887052341597796
PC,52.60000000000008,11,0.18112947658402231,0.03787878787878788
PCP,81.04000000000008,10,0.279063360881543,0.03443526170798898
affective,3.52,2,0.012121212121212123,0.006887052341597796
affective touch,29.32,10,0.1009641873278237,0.03443526170798898
child,51.08,40,0.17589531680440773,0.13774104683195593
cognitive,34.96,22,0.12038567493112949,0.07575757575757576
correction,2.666,1,0.009180440771349862,0.003443526170798898
instruction translation,1.52,1,0.005234159779614326,0.003443526170798898
missing data,2.88,2,0.009917355371900827,0.006887052341597796
other,7.427,5,0.025575068870523417,0.01721763085399449
parent,5.72,4,0.0196969696969697,0.013774104683195593
pick up,13.399,6,0.046139807162534435,0.02066115702479339
point at prop,42.961,23,0.14793732782369146,0.07920110192837466
positive 1,16.56,5,0.05702479338842975,0.01721763085399449
positive 2,13.56,3,0.04669421487603306,0.010330578512396695
positive 3,5.720000000000001,2,0.019696969696969702,0.006887052341597796
positive feedback,24.2,10,0.08333333333333334,0.03443526170798898
put down,13.667,6,0.047062672176308544,0.02066115702479339
scaffolding,0.96,1,0.0033057851239669425,0.003443526170798898
song,66.467,1,0.22888085399449037,0.003443526170798898
tablet,750.78,51,2.585330578512397,0.17561983471074383
teach,27.201,11,0.09366735537190084,0.03787878787878788
technical,1.44,1,0.0049586776859504135,0.003443526170798898
try again,1.4,1,0.0048209366391184574,0.003443526170798898
utterance,67.6,51,0.2327823691460055,0.17561983471074383
Child affect:positive 1,13.6,4,0.046831955922865015,0.013774104683195593
Child affect:positive 3,5.720000000000001,2,0.019696969696969702,0.006887052341597796
Child affective touch:affective touch,9.879999999999999,3,0.03402203856749311,0.010330578512396695
Child gaze:parent,4.28,3,0.014738292011019286,0.010330578512396695
Child gaze:tablet,246.48000000000002,13,0.8487603305785125,0.044765840220385676
Child gesture:other,0.96,1,0.0033057851239669425,0.003443526170798898
Child gesture:point at prop,4.359999999999999,2,0.015013774104683195,0.006887052341597796
Child prop manipulation:child,37.88,27,0.1304407713498623,0.09297520661157026
Child utterance:utterance,20.240000000000002,17,0.06969696969696972,0.05853994490358127
Conversational turns:CP,61.1000000000001,14,0.21039944903581304,0.048209366391184574
Conversational turns:CPC,57.76000000000004,8,0.1988980716253445,0.027548209366391185
Conversational turns:PC,52.60000000000008,11,0.18112947658402231,0.03787878787878788
Conversational turns:PCP,81.04000000000008,10,0.279063360881543,0.03443526170798898
Joint attention:tablet,234.06000000000003,23,0.8059917355371903,0.07920110192837466
Mutual gaze:MG,0.8000000000000398,2,0.0027548209366392556,0.006887052341597796
Non-verbal scaffolding:cognitive,9.8,7,0.03374655647382921,0.024104683195592287
Non-verbal scaffolding:technical,1.44,1,0.0049586776859504135,0.003443526170798898
Parent affect:positive 1,2.96,1,0.01019283746556474,0.003443526170798898
Parent affect:positive 2,13.56,3,0.04669421487603306,0.010330578512396695
Parent affective touch:affective touch,19.44,7,0.06694214876033058,0.024104683195592287
Parent gaze:child,13.200000000000001,13,0.04545454545454546,0.044765840220385676
Parent gaze:missing data,0.96,1,0.0033057851239669425,0.003443526170798898
Parent gaze:tablet,270.24,15,0.9305785123966943,0.05165289256198347
Parent gesture:point at prop,9.8,7,0.03374655647382921,0.024104683195592287
Parent prop manipulation:parent,1.44,1,0.0049586776859504135,0.003443526170798898
Parent utterance:missing data,1.92,1,0.006611570247933885,0.003443526170798898
Parent utterance:utterance,47.36,34,0.16308539944903583,0.11707988980716254
Verbal scaffolding:affective,3.52,2,0.012121212121212123,0.006887052341597796
Verbal scaffolding:cognitive,25.16,15,0.08663911845730028,0.05165289256198347
Verbal scaffolding:instruction translation,1.52,1,0.005234159779614326,0.003443526170798898
Verbal scaffolding:scaffolding,0.96,1,0.0033057851239669425,0.003443526170798898
robot pointing:point at prop,28.801000000000002,14,0.09917699724517907,0.048209366391184574
robot text:correction,2.666,1,0.009180440771349862,0.003443526170798898
robot text:other,6.467,4,0.022269283746556474,0.013774104683195593
robot text:pick up,13.399,6,0.046139807162534435,0.02066115702479339
robot text:positive feedback,24.2,10,0.08333333333333334,0.03443526170798898
robot text:put down,13.667,6,0.047062672176308544,0.02066115702479339
robot text:song,66.467,1,0.22888085399449037,0.003443526170798898
robot text:teach,27.201,11,0.09366735537190084,0.03787878787878788
robot text:try again,1.4,1,0.0048209366391184574,0.003443526170798898
