,total time,count,normalized total time,normalized count
Child affect,108.8,24,0.365607368601451,0.08064868425032008
Child gaze,240.16,103,0.807024500398203,0.34611726990762365
Child gesture,13.639999999999999,4,0.045835335548931905,0.013441447375053346
Child prop manipulation,83.64,17,0.28106066461236545,0.05712615134397672
Child utterance,28.76,30,0.09664400662663357,0.1008108553129001
Conversational turns,428.06000000000006,84,1.438436490841334,0.28227039487612027
Joint attention,114.83999999999988,87,0.38590395413778117,0.29235148040741027
Mutual gaze,2.519999999999996,1,0.008468111846283594,0.0033603618437633366
Non-verbal scaffolding,15.08,11,0.05067425660395111,0.036963980281396705
Parent affect,57.92,13,0.19463215799077246,0.04368470396892338
Parent affective touch,11.600000000000001,3,0.03898019738765471,0.01008108553129001
Parent gaze,274.5,117,0.9224193261130359,0.3931623357203104
Parent gesture,4.28,4,0.01438234869130708,0.013441447375053346
Parent prop manipulation,5.32,4,0.01787712500882095,0.013441447375053346
Parent utterance,70.9,54,0.2382496547228206,0.18145953956322017
Verbal scaffolding,36.02,23,0.1210402336123554,0.07728832240655674
robot pointing,21.267,8,0.07146481533131488,0.026882894750106693
robot text,134.466,40,0.45185441568348084,0.13441447375053348
CP,100.50000000000013,25,0.33771636529821575,0.08400904609408341
CPC,71.44000000000001,11,0.2400642501184528,0.036963980281396705
MG,2.519999999999996,1,0.008468111846283594,0.0033603618437633366
PC,91.51999999999992,25,0.30754031594122033,0.08400904609408341
PCP,164.60000000000002,23,0.5531155594834453,0.07728832240655674
affective,4.2,5,0.014113519743806015,0.016801809218816684
affective touch,11.600000000000001,3,0.03898019738765471,0.01008108553129001
child,139.5,46,0.46877047720498544,0.15457664481311348
cognitive,38.3,22,0.12870185861613578,0.07392796056279341
other,7.5329999999999995,4,0.025313605769069214,0.013441447375053346
parent,8.48,6,0.028495868435113095,0.02016217106258002
pick up,20.401,8,0.06855474197461583,0.026882894750106693
point at prop,39.187,16,0.13168249957155387,0.053765789500213386
positive 1,71.03999999999999,14,0.2387201053809474,0.047045065812686714
positive 2,63.68,15,0.21398784221084927,0.05040542765645005
positive 3,25.84,7,0.08683175004284462,0.023522532906343357
positive 4,6.16,1,0.020699828957582152,0.0033603618437633366
positive feedback,10.866,4,0.03651369179433241,0.013441447375053346
props,348.95999999999987,154,1.1726318689996535,0.5174957239395538
put down,29.532,11,0.09923820597001885,0.036963980281396705
robot,220.16,121,0.7398172635229362,0.4066037830953637
robot or prop,1.36,1,0.004570092107518138,0.0033603618437633366
song,42.4,1,0.14247934217556546,0.0033603618437633366
teach,8.8,3,0.029571184225117363,0.01008108553129001
technical,8.6,7,0.028899111856364693,0.023522532906343357
try again,14.934000000000001,9,0.05018364377476167,0.03024325659387003
utterance,99.66,84,0.3348936613494541,0.28227039487612027
Child affect:positive 1,31.76,6,0.10672509215792357,0.02016217106258002
Child affect:positive 2,48.68,11,0.16358241455439923,0.036963980281396705
Child affect:positive 3,22.2,6,0.07460003293154607,0.02016217106258002
Child affect:positive 4,6.16,1,0.020699828957582152,0.0033603618437633366
Child gaze:parent,3.1599999999999997,2,0.010618743426292142,0.006720723687526673
Child gaze:props,100.48,50,0.33764915806134005,0.16801809218816682
Child gaze:robot,135.16,50,0.45418650680305256,0.16801809218816682
Child gaze:robot or prop,1.36,1,0.004570092107518138,0.0033603618437633366
Child gesture:point at prop,13.639999999999999,4,0.045835335548931905,0.013441447375053346
Child prop manipulation:child,83.64,17,0.28106066461236545,0.05712615134397672
Child utterance:utterance,28.76,30,0.09664400662663357,0.1008108553129001
Conversational turns:CP,100.50000000000013,25,0.33771636529821575,0.08400904609408341
Conversational turns:CPC,71.44000000000001,11,0.2400642501184528,0.036963980281396705
Conversational turns:PC,91.51999999999992,25,0.30754031594122033,0.08400904609408341
Conversational turns:PCP,164.60000000000002,23,0.5531155594834453,0.07728832240655674
Joint attention:props,77.0799999999999,53,0.25901669091727764,0.17809917771945682
Joint attention:robot,37.75999999999999,34,0.12688726322050356,0.11425230268795344
Mutual gaze:MG,2.519999999999996,1,0.008468111846283594,0.0033603618437633366
Non-verbal scaffolding:affective,1.52,1,0.005107750002520272,0.0033603618437633366
Non-verbal scaffolding:cognitive,7.24,5,0.024329019748846558,0.016801809218816684
Non-verbal scaffolding:technical,6.32,5,0.021237486852584288,0.016801809218816684
Parent affect:positive 1,39.28,8,0.13199501322302387,0.026882894750106693
