,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:missing data,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Joint attention:missing data,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[5, 0.00014873825712003374]","[4, 0.0004472449206682038]","[100, 100]","[1, 0.9881260595580285]","[1, 1.0]","[1, 1.0]","[1, 7.549227469189198e-05]","[1, 0.9966198427511067]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.9922279916628922]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9922279916628922]","[1, 1.0]","[1, 0.9952829464964561]","[1, 0.9794215843014424]","[1, 1.0]","[1, 0.9881260595580285]","[1, 1.0]","[100, 100]","[2, 0.00040228980916871447]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.9999988354215283]","[5, 3.436738989701773e-09]","[5, 1.0533624200019908e-10]","[1, 1.0]","[4, 1.0370286364286141e-19]","[4, 2.3544192677190224e-11]","[1, 0.9881260595600256]","[4, 2.5757235788918378e-11]","[1, 1.0]","[4, 0.0007254200129959767]","[100, 100]","[1, 0.9881260595580285]"
Child gaze:robot,"[1, 0.0041477135897210835]","[100, 100]","[2, 1.1802147327213352e-12]","[100, 100]","[1, 0.004459917648643377]","[1, 0.9998688900254584]","[5, 0.999990314889327]","[1, 0.0028770121867939175]","[1, 0.4213070773827191]","[100, 100]","[100, 100]","[5, 0.9999998948345721]","[4, 0.018551903753680522]","[5, 0.999990314889327]","[1, 1.0]","[100, 100]","[3, 0.2605589308464856]","[5, 0.0568985782465103]","[4, 0.061352625815599665]","[1, 0.9922279882993364]","[5, 0.9999402750916527]","[1, 0.9952643095642874]","[1, 1.0]","[100, 100]","[2, 0.3325119138458284]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 0.4941265812262229]","[5, 0.0912592666699808]","[2, 0.0020245213318535312]","[5, 0.1476432910964336]","[1, 0.013821335986623752]","[1, 0.004459917648643377]","[1, 0.9952643095585672]","[1, 0.9955157567681906]","[1, 0.9922279883028218]","[4, 0.339580527134545]","[1, 4.8607165324179526e-11]","[100, 100]","[1, 0.9955157567742315]"
Child gaze:props,"[3, 0.9995355758367256]","[1, 4.78862057573475e-06]","[100, 100]","[100, 100]","[1, 0.005056974033794917]","[3, 0.9998939829054783]","[1, 1.0]","[1, 0.0036397410348564577]","[1, 0.43043493081198336]","[100, 100]","[100, 100]","[5, 0.8600269310908026]","[4, 0.023436590324544954]","[3, 0.9991348498505889]","[1, 1.0]","[100, 100]","[3, 0.9980865989469802]","[1, 0.2306311515086165]","[3, 0.00432097369207191]","[2, 6.28447281176497e-06]","[3, 0.9991348498505889]","[3, 0.9986457170780298]","[1, 1.0]","[100, 100]","[4, 0.2673745911504916]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.3178681129244969]","[4, 0.062020390232371894]","[2, 0.00880905944863229]","[2, 0.02072313052367561]","[2, 0.0558515795833499]","[3, 0.9995355758754074]","[3, 0.9999999999809915]","[3, 0.9991272501163309]","[4, 0.9997442158055966]","[1, 0.005070700294887173]","[2, 0.4462569111570225]","[100, 100]","[3, 0.9924869731014806]"
Child gaze:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:parent,"[1, 0.9881260595580285]","[1, 0.0044599547313944506]","[2, 0.023288505137228913]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.993800367105284]","[1, 0.9966198427230412]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.9922279916323786]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9922279916323786]","[1, 1.0]","[1, 0.995282946436123]","[1, 0.9794215842956824]","[1, 1.0]","[1, 0.9881260595580285]","[1, 1.0]","[100, 100]","[2, 0.9999697122015427]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.9999934681899075]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9881260595580285]","[1, 0.9881260595580285]","[1, 0.9881260595580285]","[1, 0.9794215842956824]","[1, 1.0]","[2, 0.02908309708403778]","[100, 100]","[1, 0.9916050946397473]"
Child affect:positive 1,"[1, 1.0]","[4, 0.5306745532865612]","[1, 0.09732301870542871]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.3326890103742786]","[1, 0.19161236963587136]","[100, 100]","[100, 100]","[1, 0.021389962671353378]","[4, 0.030944363923188355]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.1385702373866331]","[2, 0.18967804891954404]","[1, 1.0]","[2, 5.405124097672693e-08]","[2, 1.8081609446164553e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 3.331309263523055e-06]","[5, 3.331309263523055e-06]","[100, 100]","[100, 100]","[5, 3.331309263523055e-06]","[1, 1.0]","[5, 0.02532544054411312]","[4, 2.537565049380605e-08]","[1, 1.0]","[1, 5.62229923056879e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.07121119333508669]","[1, 0.1046303200847784]","[100, 100]","[1, 1.0]"
Child affect:positive 2,"[1, 1.0]","[3, 0.0049813989092015835]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.06927083208069251]","[100, 100]","[100, 100]","[3, 7.239000910981558e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.00657314242352336]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 1.5171195853980316e-22]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 4.4184757945869305e-34]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 7.98497963481942e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0005981371764641039]","[1, 1.0]","[100, 100]","[1, 1.0]"
Child gesture:point at prop,"[1, 0.9938033568146465]","[5, 0.7521789688622365]","[2, 0.017862281318424555]","[100, 100]","[1, 0.9938033568146465]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.9627217729475899]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.009925345127877757]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9959440901091647]","[3, 0.368933060465308]","[1, 0.9975383702947119]","[1, 0.9892601885462221]","[5, 0.9989056784467022]","[1, 0.9938033568146465]","[1, 1.0]","[100, 100]","[1, 7.337826502267662e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.06648251900968884]","[1, 0.0054014325221543496]","[1, 1.0]","[1, 1.0]","[5, 0.02418540266487037]","[1, 0.9938033568146465]","[1, 0.9938033568146465]","[1, 0.9938033568146465]","[1, 0.9892601885462221]","[3, 0.23965421953830596]","[5, 0.9999978472067267]","[100, 100]","[1, 0.9938033568146465]"
Parent utterance:utterance,"[5, 0.3988548025441143]","[1, 0.4086972966105604]","[1, 0.13229640631433587]","[100, 100]","[3, 0.032554369870826855]","[5, 0.5710798306276665]","[5, 0.99997233055602]","[1, 0.2371189548459191]","[100, 100]","[100, 100]","[100, 100]","[3, 0.48738190150098204]","[1, 0.7715029814561399]","[1, 0.8845098573550584]","[1, 0.008639301213478005]","[100, 100]","[5, 0.4798756090787607]","[2, 0.09214305506601472]","[1, 0.08996117177646275]","[4, 1.6063179896958365e-05]","[5, 0.9998644801374093]","[1, 0.03200336633455516]","[1, 0.008639301213478005]","[100, 100]","[5, 0.1322213842318986]","[1, 0.9433037738881956]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.7847200890747598]","[1, 0.002013559328603819]","[3, 0.41240561803788334]","[4, 0.684883886123194]","[2, 0.9948500996121467]","[5, 0.5639457060148941]","[3, 0.03496773113576722]","[3, 0.02793768245948221]","[1, 0.9939846697398702]","[2, 0.10102979966510382]","[1, 0.0254837052084124]","[100, 100]","[3, 0.07506413856677532]"
Parent utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:cognitive,"[1, 1.0]","[4, 0.7188330346604401]","[5, 0.8723107344185375]","[100, 100]","[1, 1.0]","[1, 0.021389962671353843]","[4, 1.1331140415167939e-09]","[1, 1.0]","[2, 0.45810984755650586]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 2.9182583565255655e-06]","[100, 100]","[3, 0.07012360230404951]","[2, 0.2687063515267345]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 2.9182583565255655e-06]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.37939887556468455]","[1, 1.0]","[4, 0.07346576509894719]","[4, 0.13367209710146072]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.17286492751590654]","[5, 0.8812277973721917]","[100, 100]","[1, 1.0]"
