,Child utterance:other vocalization,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gaze:missing data,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:missing data,Parent gesture:other,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Joint attention:robot,Joint attention:missing data,Joint attention:props,Mutual gaze:MG
Child utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child utterance:utterance,"[100, 100]","[100, 100]","[4, 0.10380825615493418]","[4, 0.04434400049418684]","[2, 0.16329488719795301]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.6808475320530467]","[1, 0.0313803291931126]","[1, 1.0]","[1, 0.001268129290291353]","[1, 1.0]","[1, 1.0]","[4, 0.5409454726958431]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 2.3147684831844035e-07]","[4, 0.03627435306999558]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.7263321264229544]","[3, 1.590633362263016e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.03627435306999752]","[4, 7.116700986457174e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1469964222973094]","[1, 1.0]"
Child gaze:robot,"[100, 100]","[2, 0.10677561850791095]","[100, 100]","[1, 0.015092833404544327]","[2, 1.0409588548225936e-07]","[4, 0.9127008789390626]","[5, 0.9999919538155513]","[1, 1.374213634230848e-05]","[4, 0.5867041417688761]","[2, 0.01929775028364729]","[3, 0.28666534417855805]","[2, 0.046429489079808976]","[3, 0.914611003298954]","[4, 0.5380225481559764]","[1, 0.08427316230480311]","[1, 1.0]","[5, 0.21503040055051717]","[1, 0.27527195706934116]","[3, 0.9949516583142902]","[4, 0.06463864762859715]","[100, 100]","[5, 0.23411696866054435]","[3, 0.995873575370692]","[100, 100]","[1, 1.0]","[5, 0.8277938461832554]","[1, 0.0027122392284437287]","[3, 0.6180586233213483]","[100, 100]","[100, 100]","[2, 0.6291448156659113]","[1, 0.04600543772066046]","[4, 0.32420362868266783]","[1, 0.22249936484628902]","[3, 0.2202629871942478]","[1, 1.0]","[5, 0.09148766785018214]","[5, 0.9996760012695715]","[3, 0.9884791885424673]","[1, 0.21435204780439004]","[4, 0.9677022440427707]","[2, 2.4303862822329184e-07]","[5, 0.5127169966925345]"
Child gaze:parent,"[100, 100]","[3, 0.0008198753346808428]","[1, 0.0001978792183504418]","[100, 100]","[1, 1.230164309876319e-07]","[1, 1.0]","[2, 0.004025271893072677]","[1, 0.0032422357014897756]","[2, 0.2544119316856874]","[5, 0.009256921052450793]","[1, 1.0]","[3, 0.05188350872561505]","[1, 1.0]","[4, 0.582163980540757]","[1, 1.0]","[1, 1.0]","[5, 0.07856554309866409]","[3, 0.690812829970497]","[1, 1.0]","[5, 0.15637829147907373]","[100, 100]","[2, 0.5309647126059358]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.27881771299440977]","[1, 1.0]","[5, 0.6985063967542533]","[100, 100]","[100, 100]","[5, 0.6985063967542289]","[4, 0.6574334905833072]","[1, 0.09800140552352479]","[1, 0.1768823837232591]","[1, 0.0006299966583360827]","[4, 0.016918761332916015]","[4, 0.978045128766114]","[3, 0.0010284064412304803]","[4, 0.9905904065540541]","[1, 0.9779925029358847]","[1, 1.0]","[3, 9.954784339566333e-07]","[1, 0.11777443588798824]"
Child gaze:props,"[100, 100]","[2, 0.02439200606134589]","[2, 1.8193336773317253e-09]","[3, 4.898295463802876e-07]","[100, 100]","[1, 0.1147690215075876]","[1, 0.006971682909757283]","[2, 0.08909789567952583]","[2, 0.17720467271371448]","[4, 0.0006058417577903776]","[3, 0.9994157952002981]","[5, 0.5069520237345121]","[1, 0.006064729685319683]","[4, 0.017771077706797818]","[1, 0.9832426174673459]","[1, 1.0]","[5, 0.019812360596820944]","[1, 0.32591285455301694]","[1, 0.9832426174712485]","[5, 0.2376335231868996]","[100, 100]","[5, 0.7954805516171803]","[1, 0.9794656450539128]","[100, 100]","[1, 1.0]","[1, 0.0026983153030097273]","[1, 0.9709139150424457]","[2, 0.6948647045640967]","[100, 100]","[100, 100]","[4, 0.5046480121383037]","[5, 0.32461633252571875]","[5, 0.15621502038841534]","[4, 0.28604199314416767]","[1, 0.34948721731144095]","[2, 0.07637939965908078]","[3, 0.9969745509004199]","[2, 0.16193107444053947]","[1, 1.0]","[1, 0.2653168728371978]","[1, 0.1147690215075876]","[5, 0.6084582132780789]","[5, 0.05720088770099344]"
Child gaze:missing data,"[100, 100]","[1, 1.0]","[1, 0.0004884918095407141]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.4849607660891083e-13]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.0003884341490596622]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child affect:positive 2,"[100, 100]","[1, 1.0]","[4, 0.058797572432430445]","[4, 0.026397722894600486]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 3.638131170454703e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 1.9847861677646062e-07]","[1, 1.0]","[1, 1.0]","[4, 5.483392313790192e-05]","[100, 100]","[2, 3.250293370394344e-08]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.004111784396487336]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 1.825663121829298e-07]"
Child affect:positive 1,"[100, 100]","[1, 1.0]","[1, 0.38851906023702965]","[1, 0.33808357925650573]","[1, 0.4373761273804122]","[1, 1.0]","[5, 0.996773575391954]","[100, 100]","[4, 0.23223966922135697]","[3, 0.047017877799510256]","[1, 1.0]","[5, 0.9999206086740638]","[5, 0.9994405084654664]","[3, 0.058372549976091335]","[1, 1.0]","[1, 1.0]","[2, 0.050276595543093466]","[4, 0.20140039615931982]","[1, 1.0]","[2, 0.362681043487387]","[100, 100]","[5, 0.31643284208065986]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.29679727260929656]","[1, 1.0]","[2, 0.3259468359642097]","[100, 100]","[100, 100]","[2, 0.3259468359642097]","[3, 1.2597322612879909e-05]","[4, 0.23223966922135697]","[2, 0.1542962043796138]","[3, 0.4532586660424518]","[1, 1.0]","[5, 0.999440508465465]","[1, 1.0]","[5, 0.999440508465465]","[3, 0.29004585897922275]","[1, 1.0]","[1, 0.42455800615423245]","[2, 0.049435544344326905]"
Child gesture:point at prop,"[100, 100]","[5, 3.424397205135913e-11]","[5, 0.01917554739179436]","[3, 0.0034839342308053394]","[4, 0.0003252558378957693]","[1, 1.0]","[1, 1.0]","[5, 0.9998795866161145]","[100, 100]","[2, 0.10659207786077138]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9996143195907745]","[1, 1.0]","[5, 0.2746438840649464]","[100, 100]","[5, 0.9996712294201864]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 7.829260397908122e-06]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.16665210164875233]","[4, 5.349801068580779e-07]","[1, 1.0]","[1, 0.004871957829384014]","[2, 1.1509469512856248e-05]","[1, 3.0169559613787356e-17]","[5, 1.8964225217112853e-14]","[1, 3.0169559613787356e-17]","[5, 0.9993196341203352]","[1, 1.0]","[4, 0.00023341618778625672]","[1, 1.0]"
Parent utterance:utterance,"[100, 100]","[1, 0.03127921071645069]","[2, 0.46610573781347153]","[2, 6.90481374580277e-05]","[4, 0.00012155646167502074]","[1, 1.0]","[1, 1.0]","[4, 0.6794102536377167]","[3, 0.4650278187490131]","[100, 100]","[1, 1.0]","[1, 0.9065545354857829]","[1, 0.8310961884190342]","[2, 0.3136529679435726]","[5, 0.185580144653014]","[2, 4.682564202174329e-05]","[2, 0.9991569584280691]","[4, 0.8688296183529294]","[1, 1.0]","[5, 0.8554128019959546]","[100, 100]","[2, 0.10229246687236107]","[1, 1.0]","[100, 100]","[2, 0.007246338355383476]","[3, 0.4110224644324558]","[5, 0.0004573437032530414]","[1, 0.9735533135937021]","[100, 100]","[100, 100]","[1, 0.9735533135937021]","[3, 0.16859857996395566]","[1, 0.1282325121653221]","[2, 0.4037688921932814]","[3, 0.5426109553324472]","[5, 0.7347707051145986]","[1, 0.003087350787761149]","[5, 0.07193529874708762]","[1, 0.8310961884190342]","[4, 0.9999993124549749]","[1, 1.0]","[4, 0.002246341986956285]","[3, 0.40293060344861764]"
Parent utterance:missing data,"[100, 100]","[1, 1.0]","[5, 0.06255626024213774]","[1, 1.0]","[2, 0.29916286745216236]","[4, 2.1768199855019468e-37]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0006953399969788037]","[5, 6.130540667132653e-11]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.7243008496124899]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.9979205839966468]","[1, 6.040665363529398e-23]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.004426782997758622]","[4, 2.1768199855019468e-37]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:cognitive,"[100, 100]","[2, 0.9923414843915773]","[5, 0.57459156037537]","[1, 0.06628105608106794]","[2, 0.35585223552925654]","[1, 1.0]","[1, 1.0]","[1, 0.18859049152127555]","[1, 1.0]","[1, 0.2564897337421633]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.004932189577607289]","[5, 1.1146756453558958e-11]","[1, 1.0]","[4, 0.634252279816629]","[1, 1.0]","[4, 0.7815973036075623]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 2.624115342325111e-05]","[3, 0.6158173789476862]","[5, 7.922060085404124e-10]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 0.026289094242693156]","[1, 1.0]","[1, 1.0]","[4, 0.017858589804460017]","[2, 0.994904257119131]","[1, 1.0]","[3, 0.021130114917334755]","[1, 1.0]","[5, 0.9999928985546623]","[1, 1.0]","[2, 0.33513212673583115]","[1, 1.0]"
