,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,13.6
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,13.799999999999999
2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,13.999999999999998
3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,14.199999999999998
4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,14.399999999999997
5,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,14.599999999999996
6,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,14.799999999999995
7,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,14.999999999999995
8,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,15.199999999999994
9,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15.399999999999993
10,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,15.599999999999993
11,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,15.799999999999992
12,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,15.999999999999991
13,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,16.19999999999999
14,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,16.39999999999999
15,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,16.599999999999987
16,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,16.79999999999999
17,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,16.999999999999986
18,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.19999999999999
19,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.399999999999984
20,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.599999999999987
21,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.799999999999983
22,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,17.999999999999986
23,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,18.19999999999998
24,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,18.399999999999984
25,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,18.59999999999998
26,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,18.799999999999983
27,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,18.99999999999998
28,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.19999999999998
29,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.399999999999977
