,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.52
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.719999999999999
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.919999999999998
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.119999999999997
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.319999999999997
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.519999999999996
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12.719999999999995
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12.919999999999995
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.119999999999994
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.319999999999993
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.519999999999992
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.719999999999992
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.919999999999991
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.11999999999999
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.31999999999999
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.519999999999989
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.719999999999988
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.919999999999987
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.119999999999987
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.319999999999986
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.519999999999985
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.719999999999985
22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.919999999999984
23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.119999999999983
24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.319999999999983
25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.519999999999982
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.71999999999998
27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.91999999999998
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.11999999999998
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.31999999999998
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17.51999999999998
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17.719999999999978
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,17.919999999999977
33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18.119999999999976
34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18.319999999999975
35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18.519999999999975
36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18.719999999999974
37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18.919999999999973
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.119999999999973
39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.319999999999972
40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.51999999999997
41,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.71999999999997
42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.91999999999997
43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.11999999999997
44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.31999999999997
45,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.519999999999968
46,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.719999999999967
47,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.919999999999966
48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.119999999999965
49,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.319999999999965
50,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21.519999999999964
51,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21.719999999999963
52,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21.919999999999963
53,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.119999999999962
54,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.31999999999996
55,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.51999999999996
56,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.71999999999996
57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.91999999999996
58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23.11999999999996
59,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23.319999999999958
60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,23.519999999999957
61,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,23.719999999999956
62,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,23.919999999999956
63,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.119999999999955
64,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.319999999999954
65,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.519999999999953
66,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.719999999999953
67,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.919999999999952
68,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.11999999999995
69,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.31999999999995
70,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25.51999999999995
71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25.71999999999995
72,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25.91999999999995
73,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26.119999999999948
74,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26.319999999999947
75,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26.519999999999946
76,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26.719999999999946
77,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26.919999999999945
78,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,27.119999999999944
79,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,27.319999999999943
80,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.519999999999943
81,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.719999999999942
82,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.91999999999994
83,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,28.11999999999994
84,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,28.31999999999994
85,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,28.51999999999994
86,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,28.71999999999994
87,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,28.919999999999938
88,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,29.119999999999937
89,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,29.319999999999936
90,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,29.519999999999936
91,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,29.719999999999935
92,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,29.919999999999934
93,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,30.119999999999933
94,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,30.319999999999933
95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,30.519999999999932
96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,30.71999999999993
97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,30.91999999999993
98,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31.11999999999993
99,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,31.31999999999993
100,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,31.51999999999993
101,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,31.719999999999928
102,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31.919999999999927
103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.119999999999926
104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.31999999999992
105,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.519999999999925
106,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.71999999999993
107,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.91999999999992
108,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.11999999999992
109,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.31999999999992
110,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.519999999999925
111,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.71999999999992
112,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.919999999999916
113,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,34.11999999999992
114,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,34.31999999999992
115,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,34.51999999999992
116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,34.719999999999914
117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,34.919999999999916
118,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,35.11999999999992
119,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,35.319999999999915
120,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,35.51999999999991
121,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,35.719999999999914
122,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,35.919999999999916
123,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,36.11999999999991
124,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,36.31999999999991
125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,36.51999999999991
126,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,36.719999999999914
127,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,36.91999999999991
128,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.119999999999905
129,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.31999999999991
130,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.51999999999991
131,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.71999999999991
132,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.9199999999999
133,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,38.119999999999905
134,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,38.31999999999991
135,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,38.519999999999904
136,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,38.7199999999999
137,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,38.9199999999999
138,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,39.119999999999905
139,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,39.3199999999999
140,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,39.5199999999999
141,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,39.7199999999999
142,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,39.9199999999999
143,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,40.1199999999999
144,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,40.319999999999894
145,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,40.5199999999999
146,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,40.7199999999999
147,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,40.919999999999895
148,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,41.11999999999989
149,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,41.319999999999894
150,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,41.5199999999999
151,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,41.71999999999989
152,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,41.91999999999989
153,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,42.11999999999989
154,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,42.319999999999894
155,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,42.51999999999989
156,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,42.719999999999885
157,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,42.91999999999989
