,Child utterance:utterance,Child gaze:tablet,Child affect:negative,Child affect:positive 1,Child affect:positive 2,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:missing data,Parent gaze:child,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[100, 100]","[3, 0.5765020335017277]","[1, 0.0923147747324889]","[1, 0.07198139344594093]","[3, 0.43740938038862254]","[100, 100]","[1, 0.06046811153050615]","[3, 0.25623981896295883]","[2, 0.2635535401167695]","[3, 0.2648408463800164]","[1, 0.2628683519586529]","[2, 0.21516987357569223]","[5, 0.5985306908098406]","[2, 0.15179944869305986]","[100, 100]","[2, 0.3899634389777646]","[4, 0.019682744681661094]","[4, 0.9999112883836336]","[2, 0.05296867264205806]","[100, 100]","[3, 0.6194141642854314]","[5, 0.3602396798486456]","[5, 0.07123451386036699]","[100, 100]","[5, 0.0002454008728787402]","[5, 0.02816750155624821]","[3, 0.6474520111427784]","[2, 0.0016360461663350804]","[1, 0.09279874871585804]","[3, 0.11328052012849335]","[1, 1.0]","[4, 0.14909265638438632]","[4, 0.0016680158641487381]","[2, 0.49297434974138665]","[3, 0.6305430953019178]","[1, 0.2616076357300188]"
Child gaze:tablet,"[2, 0.020651496016115333]","[100, 100]","[5, 1.1232702125658573e-10]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.9202232297501184]","[1, 1.0]","[3, 0.0775632794639738]","[3, 0.00015832995579798112]","[1, 1.0]","[4, 0.006140828813908785]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.008609955692878599]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.8782363347995529]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.8340659907343468]","[1, 0.022098497971993217]","[1, 1.0]","[5, 0.8865909157570325]","[1, 1.0]"
Child affect:negative,"[5, 0.07896503226698968]","[2, 3.37047311441533e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.5539140564414606]","[1, 1.0]","[5, 0.6097275756111405]","[1, 1.0]","[1, 1.0]","[1, 0.0002204892698288993]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00032508986007102425]","[100, 100]","[2, 0.10526762830652017]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.003453667807282159]","[4, 0.107112270714848]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.06293113248141488]","[5, 0.15607922673837946]","[1, 1.0]","[5, 0.009088607772134535]","[2, 0.033890674714179427]"
Child affect:positive 1,"[5, 0.25389340113030573]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.24645907845355064]","[1, 1.0]","[3, 0.25092019408498206]","[4, 9.764093828629558e-05]","[1, 0.005172810112334522]","[4, 0.4225919070942049]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.04025240660567073]","[1, 1.0]","[1, 1.0]","[4, 0.45230315199210624]","[100, 100]","[5, 0.06272550684566043]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9903052013465016]","[1, 1.0]","[1, 0.9996281303304841]","[1, 0.0031283994367389137]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.27738046939238964]","[3, 0.21512854554767397]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child affect:positive 2,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.21013177560803695]","[1, 1.0]","[4, 0.04085157178103025]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.031298381092733495]","[1, 1.0]","[3, 2.722863998057434e-12]","[100, 100]","[1, 1.0]","[3, 6.7464541265469024e-15]","[1, 1.0]","[1, 0.0014044065375311094]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.03239220763094065]","[4, 0.03705237771827634]","[1, 1.0]","[1, 1.0]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[1, 0.1305410800503736]","[1, 0.13918001480622816]","[3, 0.07297783097323812]","[1, 0.2474339575381471]","[3, 0.03888292832958686]","[100, 100]","[100, 100]","[4, 0.7993608057463648]","[1, 0.19536199689858402]","[4, 0.23484499848457369]","[3, 0.14528907542349936]","[5, 0.2962386363549893]","[1, 0.32336203554862175]","[3, 8.229423623582975e-05]","[100, 100]","[5, 0.030485756586886556]","[1, 1.0]","[5, 0.4240487030973299]","[5, 0.18932397287444125]","[100, 100]","[2, 0.3966837146242823]","[3, 0.12457443967933673]","[3, 0.5475927557312814]","[100, 100]","[1, 0.999853267986306]","[3, 0.4667434144081415]","[1, 0.0011969929510947824]","[4, 0.7680110910045767]","[4, 0.6206135226088412]","[1, 0.1258605228476211]","[5, 0.782447303235811]","[5, 0.30669955079507627]","[3, 0.02476502926038829]","[1, 0.37422045872776755]","[1, 0.2794008710742826]","[3, 0.0009498520661495688]"
Parent utterance:missing data,"[5, 0.14052099526846804]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.9999699984781062]","[100, 100]","[5, 0.9995608888087317]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 4.87942419567266e-07]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.3551569223486075]","[100, 100]","[1, 1.0]","[3, 0.002738604461135465]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 9.595144811950749e-05]","[3, 2.087610098955332e-09]","[5, 0.9333027276923188]","[2, 0.022277524931306525]","[5, 0.3535005037515658]","[1, 1.0]","[5, 0.0005698087294690575]","[1, 1.0]"
Verbal scaffolding:cognitive,"[1, 0.38750943076013833]","[2, 0.1044537767566185]","[3, 0.0005969406780724662]","[5, 0.43401289464381665]","[5, 0.9999327071221431]","[100, 100]","[1, 0.519613082649685]","[4, 0.29350842522400145]","[100, 100]","[5, 0.9970457184348507]","[2, 0.9991345145188232]","[1, 0.22059098149109346]","[1, 0.1012423071176188]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.23354087921235567]","[100, 100]","[1, 0.03358334366317029]","[3, 0.21004742025952958]","[4, 0.3346712205027728]","[100, 100]","[1, 1.0]","[4, 0.24086735392826444]","[3, 6.924623385585744e-06]","[3, 0.3500627171323706]","[4, 0.016273897186435904]","[2, 0.9960887464479771]","[1, 1.0]","[5, 0.5529158611597356]","[1, 0.7301194158143187]","[1, 0.3704751908905225]","[1, 1.0]","[2, 0.4732098170278537]"
Verbal scaffolding:technical,"[1, 0.052163449324056324]","[4, 0.8442308728290289]","[1, 5.609515881687022e-06]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.012442684969837168]","[1, 1.0]","[2, 2.6362631796613557e-06]","[100, 100]","[4, 0.9711714993681481]","[5, 0.01073222555585817]","[1, 1.0]","[4, 0.9833764545363322]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.014636951647649808]","[100, 100]","[5, 0.288766272917681]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.002934185722375785]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9948238973603175]","[1, 3.932588120644891e-06]","[1, 1.0]","[4, 0.9644325508057294]","[4, 0.9923146622569665]"
