,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Parent utterance:missing data,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[4, 0.03259179950128319]","[5, 0.0002188044784161728]","[4, 0.9985374774934863]","[2, 0.002242670380425467]","[1, 0.9724070114085467]","[100, 100]","[100, 100]","[1, 0.012109644588800202]","[1, 0.9799324721607992]","[1, 1.0]","[1, 0.9436989404057549]","[2, 0.9973562715676944]","[1, 0.9724070114085467]","[1, 1.0]","[5, 0.27227338653724814]","[5, 0.22837416704301663]","[1, 1.0]","[5, 0.9972262036578899]","[5, 0.04594522766259904]","[1, 0.008375935848715469]","[100, 100]","[100, 100]","[3, 0.8468755438943079]","[1, 1.0]","[1, 0.015574989117828874]","[100, 100]","[1, 0.9965812886284562]","[1, 0.009976617034742707]","[3, 0.6613296005778111]","[3, 0.7256460949063525]","[4, 0.5782524701521128]","[1, 0.06831495226359188]","[5, 0.012237916294079148]","[1, 0.16753159115960925]","[5, 0.021441827965259574]","[5, 0.003948985997891044]","[5, 0.4989002352670995]"
Child gaze:tablet,"[5, 6.144414608054402e-21]","[100, 100]","[5, 2.040085359441814e-36]","[1, 0.000997729073880756]","[3, 0.9926042449464337]","[3, 0.9977875605444282]","[100, 100]","[100, 100]","[5, 0.00025855695685321245]","[1, 0.26064117102995904]","[1, 1.0]","[3, 0.028625555711933585]","[1, 0.000997729073880756]","[3, 0.9977875605444282]","[1, 1.0]","[1, 8.273084457627286e-08]","[4, 1.3850154835518227e-14]","[4, 0.9845806789129671]","[1, 0.10064146032070286]","[3, 0.140134024894263]","[5, 0.008221007136301814]","[100, 100]","[100, 100]","[4, 0.9356681308405908]","[1, 1.0]","[5, 0.026358793911007948]","[100, 100]","[5, 0.999999999996953]","[5, 0.01726593285106214]","[1, 0.013031020992757505]","[1, 0.29978751271576637]","[3, 0.5388423396682482]","[1, 0.35378850741793544]","[1, 0.0005333812811101998]","[1, 0.19848835456790861]","[1, 0.0001033382871151015]","[5, 0.00162841952007756]","[4, 1.1321469098065549e-08]"
Child gaze:parent,"[4, 4.2402346744796504e-17]","[4, 1.2307151641694958e-24]","[100, 100]","[1, 0.000795189654898699]","[1, 0.000795189654898699]","[4, 0.9998134385172766]","[100, 100]","[100, 100]","[4, 0.003264940371216891]","[1, 0.2519176802922277]","[1, 1.0]","[3, 0.012216671817422572]","[2, 0.0036197177590367524]","[4, 0.9998134385172766]","[1, 1.0]","[4, 1.0056815890745196e-06]","[3, 5.007203869476484e-10]","[1, 1.0]","[3, 0.4568252066687889]","[2, 0.06098657937409555]","[3, 0.04573901176649838]","[100, 100]","[100, 100]","[3, 0.869158788003863]","[1, 1.0]","[4, 0.0003112844960219966]","[100, 100]","[5, 0.9999999999973044]","[5, 0.0001573470644078779]","[3, 0.19191636385658284]","[5, 0.20588800461322201]","[2, 0.32771631556055136]","[3, 0.012299458132219556]","[5, 0.06055804085831093]","[3, 0.32893283844976234]","[5, 0.00933605247807977]","[3, 1.5630438871757356e-10]","[2, 0.00013549344813637684]"
Child affect:positive 2,"[2, 0.0025499138870128447]","[5, 0.99999999999994]","[5, 0.9999999999999354]","[100, 100]","[1, 1.0]","[4, 0.9999999798083992]","[100, 100]","[100, 100]","[4, 0.9999999995537646]","[4, 0.9999999944912875]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9999999798083992]","[1, 1.0]","[3, 2.125164689376669e-06]","[4, 0.9999999999212725]","[1, 1.0]","[3, 8.318349581514006e-18]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 1.0607275690760714e-14]","[100, 100]","[4, 0.9999984920869679]","[4, 0.999999993334225]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 7.379954735213694e-06]","[4, 0.9999999982169788]","[4, 0.9999999911249218]","[4, 0.9999999911249218]","[5, 0.9999999999999409]","[4, 0.9999999999207557]"
Child affect:positive 1,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.06061267246933631]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 9.638344567866147e-05]","[1, 1.0]","[4, 2.1919096040103267e-09]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[3, 0.014002812667334625]","[1, 0.12169893366098576]","[1, 0.11472894101042268]","[1, 1.4897518497936474e-16]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 0.004709393954488347]","[1, 0.005639863313434276]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.001254544937580088]","[1, 0.05817792071777157]","[1, 1.0]","[3, 0.0008840381933085822]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.9999998993706977]","[2, 0.022300329216083502]","[100, 100]","[1, 0.9921833610196928]","[1, 0.9979825363965528]","[3, 0.9999999999933603]","[1, 1.0]","[1, 1.0]","[3, 0.15913565370792088]","[1, 0.9987078115701377]","[1, 0.9980654040559451]","[1, 0.9978328865458895]","[1, 0.12169893366100337]","[1, 0.058177920717779386]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[5, 2.844699230477297e-06]","[5, 7.990380525575977e-05]","[5, 4.897853965136591e-06]","[5, 0.09516197819763927]","[3, 0.028933142458083684]","[2, 0.09318035752566015]","[100, 100]","[100, 100]","[100, 100]","[3, 0.5319218632673126]","[4, 0.010067050671515407]","[1, 0.9255750900598035]","[4, 0.16714494398521712]","[2, 0.09318035752566015]","[3, 0.21013581416185365]","[1, 0.00642505903620141]","[4, 0.0023093908768435354]","[1, 1.0]","[2, 0.3260451407021047]","[2, 0.00011517934524437907]","[5, 0.1276125949538593]","[100, 100]","[100, 100]","[1, 0.1197127284315433]","[1, 0.08428976662320685]","[1, 0.2903441586970197]","[100, 100]","[4, 0.9925621370731191]","[5, 0.6824964217619158]","[2, 0.49650618648402334]","[1, 0.33724534660492816]","[1, 0.9835808679486868]","[5, 0.2333482889751323]","[5, 1.256185175360299e-06]","[2, 0.1718833380795211]","[5, 0.00016569183405486744]","[5, 1.6841681594015136e-05]","[3, 0.042938230635841367]"
Verbal scaffolding:cognitive,"[5, 0.025641351649335276]","[1, 0.26066539496410107]","[3, 0.45278224230278463]","[4, 0.9979983872466389]","[1, 1.0]","[4, 0.0015010018461998264]","[100, 100]","[100, 100]","[1, 0.2423359641021745]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0015010018461998264]","[1, 1.0]","[1, 0.18538588441143866]","[4, 0.1697052148428831]","[1, 1.0]","[2, 0.013717149887707093]","[1, 1.0]","[5, 0.39000826788611975]","[100, 100]","[100, 100]","[1, 0.13089612878668516]","[1, 0.0007050693324105182]","[2, 0.017673783721218358]","[100, 100]","[1, 0.9943129016958465]","[2, 0.10271208614494548]","[1, 0.9999104385544826]","[1, 1.0]","[3, 0.07559476047096929]","[3, 0.0031472453954630867]","[5, 0.0001343237498315305]","[4, 0.9961420576012975]","[5, 0.04608154547659151]","[1, 0.26066539496410107]","[5, 0.2694543349188743]"
