,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child gaze:robot or prop,Child affect:positive 2,Child affect:positive 4,Child affect:positive 3,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[5, 0.4004749345649514]","[5, 0.7176295191578843]","[5, 2.3113898947463142e-07]","[100, 100]","[1, 0.9920184283527365]","[5, 0.0009462563727728806]","[4, 7.569367849071803e-06]","[100, 100]","[100, 100]","[5, 1.782044161705016e-05]","[1, 0.009310053604625411]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.9993542069729571]","[4, 0.0001444236547857499]","[2, 0.5932596491706429]","[4, 0.7375473406112611]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.01746422941034469]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.7029559024146701]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[5, 0.018090392706966097]","[5, 1.9160747958847984e-05]","[1, 0.9920184283551008]","[4, 0.013696755765495979]","[5, 0.9009353439038089]","[2, 0.526023303367934]","[4, 6.952787113513252e-08]"
Child gaze:robot,"[2, 0.4576862697452303]","[100, 100]","[2, 2.4184638729399165e-09]","[1, 0.9916351651854998]","[100, 100]","[1, 0.9416180645603238]","[5, 0.366717650863172]","[5, 0.3540146685552823]","[100, 100]","[100, 100]","[3, 0.7759379690658788]","[2, 0.2506469722575143]","[100, 100]","[100, 100]","[2, 0.030970497594415884]","[100, 100]","[100, 100]","[1, 0.14835617314991384]","[3, 0.34912876720564345]","[3, 0.11496874785774523]","[4, 0.006011490932351504]","[1, 1.0]","[100, 100]","[2, 0.030970497594415884]","[100, 100]","[4, 0.2971561608266278]","[100, 100]","[3, 0.7438245772097871]","[100, 100]","[2, 0.03097049759441665]","[4, 0.1349577095981125]","[2, 0.9567815731987521]","[100, 100]","[100, 100]","[100, 100]","[1, 0.1462125817471342]","[5, 0.9998241857052118]","[1, 0.03803359427864065]","[4, 0.3263166097923775]","[1, 0.8053310050637397]","[1, 0.0009795543684136276]","[1, 0.9916351651854998]"
Child gaze:props,"[5, 0.8980115270865077]","[2, 0.024795843710891524]","[100, 100]","[1, 3.0548814099649746e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.3495397977649852]","[5, 0.547143225957789]","[100, 100]","[100, 100]","[2, 0.013530596857474604]","[100, 100]","[100, 100]","[1, 0.10905232764852812]","[3, 0.5783656457234034]","[1, 0.47178980833674833]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.013530596857474604]","[100, 100]","[2, 0.2372555779586738]","[100, 100]","[3, 0.04298272848310772]","[100, 100]","[1, 1.0]","[3, 0.03225005731976435]","[2, 0.9231063990658108]","[100, 100]","[100, 100]","[100, 100]","[1, 0.09553009464341103]","[1, 1.0]","[1, 0.01790712871385415]","[1, 1.0]","[2, 0.06022778225545802]","[4, 0.30495901456315927]","[2, 0.848416592736526]"
Child gaze:parent,"[4, 2.1400197117289791e-07]","[1, 0.9919180517629437]","[2, 0.9999334894346821]","[100, 100]","[100, 100]","[1, 0.9757475465219363]","[2, 0.9986005064366809]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.990365540081461]","[1, 0.9812164343907233]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.9998004287764546]","[3, 0.9999997634845508]","[3, 0.9999601094805106]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[2, 1.522409425689111e-16]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9757475465219363]","[1, 0.9757475465219363]","[1, 1.0]","[2, 0.9999441320103415]","[1, 0.9579677324975474]"
Child gaze:robot or prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 2,"[5, 0.0006456025889344028]","[5, 0.590213507482986]","[1, 1.0]","[5, 0.9999999985560283]","[100, 100]","[100, 100]","[5, 0.010209799589712904]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.0015096216666933993]","[5, 1.975624447820315e-21]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.00402348143368535]","[2, 5.311092249679106e-27]","[2, 0.05592111137656106]","[5, 3.91278443136107e-149]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[5, 8.227468285064975e-08]","[2, 5.475441302163908e-13]","[1, 1.3776603859973751e-17]","[5, 5.711410845310701e-18]","[5, 0.7683868290187251]","[1, 1.0]","[5, 0.9999999985560283]"
Child affect:positive 4,"[2, 1.1779756545688407e-08]","[1, 0.9918646009098785]","[1, 1.0]","[1, 0.9580834180139507]","[100, 100]","[1, 0.973504244051998]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 7.0979083309063886e-06]","[1, 0.9812681134136356]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9999604417158966]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[2, 5.465601098683786e-80]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9758142761464047]","[1, 0.9758142761464047]","[2, 0.9999337100724058]","[1, 1.0]","[1, 0.9580834180139507]"
Child affect:positive 3,"[1, 1.0]","[5, 0.016953549615304847]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 3.1385797727553017e-24]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0044522563288010185]","[1, 1.0]","[1, 1.0]"
Child affect:positive 1,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[2, 0.0035480095213743616]","[2, 0.6463257989467173]","[1, 0.3496096516884776]","[1, 0.9903906540803707]","[100, 100]","[4, 0.1634342995789705]","[5, 0.05550506539587635]","[3, 0.017580927425333508]","[100, 100]","[100, 100]","[100, 100]","[5, 0.5964341471586905]","[100, 100]","[100, 100]","[5, 0.013489960570515125]","[100, 100]","[100, 100]","[5, 0.8056385473770128]","[1, 0.11920548269439077]","[1, 0.01934653216742998]","[5, 0.986516465698428]","[1, 1.0]","[100, 100]","[5, 0.013489960570515125]","[100, 100]","[4, 0.18423781304134404]","[100, 100]","[5, 0.854285340352113]","[100, 100]","[1, 0.0017082256595697114]","[2, 0.9863849467227885]","[5, 0.924004567301465]","[100, 100]","[100, 100]","[100, 100]","[4, 0.0014854310559374857]","[5, 0.004285696368909783]","[5, 0.7866846247000581]","[5, 0.025485298681109866]","[5, 0.9838291288450772]","[1, 0.38960985301436024]","[5, 0.0008424833891562334]"
Verbal scaffolding:cognitive,"[2, 0.034298299352938766]","[4, 0.25986550964652927]","[3, 0.33082735325986246]","[1, 0.9812578003710859]","[100, 100]","[5, 7.248140851708557e-09]","[2, 0.999723031405539]","[3, 9.445018497662029e-09]","[100, 100]","[100, 100]","[5, 0.38276567788564914]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.4152728068569925]","[1, 0.0022437700895205416]","[1, 0.1291633801800887]","[3, 0.9999965121611564]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[5, 0.2961214486328395]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[2, 0.0019070535263570312]","[1, 0.9980795343953687]","[1, 0.991048395703057]","[2, 2.4777346438435394e-06]","[1, 1.0]","[4, 0.22280369374513034]","[1, 0.9812578003710859]"
