,Child utterance,Child gaze,Child affect,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,17.24
1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,17.439999999999998
2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,17.639999999999997
3,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,17.839999999999996
4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,18.039999999999996
5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18.239999999999995
6,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18.439999999999994
7,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,18.639999999999993
8,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,18.839999999999993
9,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,19.039999999999992
10,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,19.23999999999999
11,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,19.43999999999999
12,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,19.63999999999999
13,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,19.83999999999999
14,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,20.03999999999999
15,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,20.239999999999988
16,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,20.439999999999987
17,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,20.639999999999986
18,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,20.839999999999986
19,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,21.039999999999985
20,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,21.239999999999984
21,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,21.439999999999984
22,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,21.639999999999983
23,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,21.839999999999982
24,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,22.03999999999998
25,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,22.23999999999998
26,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,22.43999999999998
27,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,22.63999999999998
28,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,22.83999999999998
29,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,23.039999999999978
30,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,23.239999999999977
31,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,23.439999999999976
32,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,23.639999999999976
33,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,23.839999999999975
34,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,24.039999999999974
35,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,24.239999999999974
36,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.439999999999973
37,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.639999999999972
38,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,24.83999999999997
39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.03999999999997
40,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.23999999999997
41,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.43999999999997
42,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,25.63999999999997
43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.839999999999968
44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.039999999999967
45,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.239999999999966
46,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.439999999999966
47,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.639999999999965
48,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,26.839999999999964
49,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.039999999999964
50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.239999999999963
51,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27.439999999999962
52,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27.63999999999996
53,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,27.83999999999996
54,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.03999999999996
55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.23999999999996
56,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.43999999999996
57,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.639999999999958
58,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.839999999999957
59,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.039999999999957
60,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.239999999999956
61,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.439999999999955
62,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.639999999999954
63,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,29.839999999999954
64,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.039999999999953
65,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.239999999999952
66,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.43999999999995
67,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.63999999999995
68,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,30.83999999999995
69,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31.03999999999995
70,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31.23999999999995
71,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31.439999999999948
72,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,31.639999999999947
73,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,31.839999999999947
74,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32.03999999999995
75,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32.239999999999945
76,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,32.43999999999994
77,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.639999999999944
78,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,32.83999999999995
79,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.03999999999994
80,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,33.23999999999994
81,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,33.43999999999994
82,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,33.639999999999944
