,Child utterance:utterance,Child gaze:props,Child gaze:robot,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child gesture:other,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.24120696358297442]","[5, 0.2700970900528252]","[1, 0.00907993819751816]","[5, 0.2643858459271086]","[2, 0.04543142702155243]","[4, 0.003329270853050701]","[100, 100]","[5, 0.9988992237855825]","[1, 0.007319081879492932]","[5, 0.98239290985351]","[1, 0.43686511792189897]","[1, 0.14556322965898222]","[3, 0.004349907496469296]","[2, 0.10940990868990773]","[5, 0.026086874125528507]","[2, 0.3470513258799892]","[2, 0.053946385898830475]","[1, 0.2800297113037885]","[5, 0.3964106233120444]","[1, 0.017324114317454745]","[1, 0.2215970473765537]","[3, 0.0334404283621489]","[2, 0.001635724830093912]","[100, 100]","[5, 0.7589890912939331]","[1, 0.3728936763009131]","[1, 1.0]","[1, 0.3874856044307119]","[100, 100]","[1, 0.9970104590965637]","[3, 0.268065100736792]","[2, 0.4940336890435556]","[2, 0.059041566040249426]","[4, 0.016240743402154343]","[1, 0.11047053435537094]","[1, 1.0]","[5, 0.08937518663346353]","[5, 0.03679261593729427]","[5, 0.998701957036746]","[5, 0.00486341745860686]","[1, 0.21827378935149638]","[4, 0.31687629240622706]","[3, 0.06585792297283286]"
Child gaze:props,"[2, 0.09234793953739226]","[100, 100]","[2, 3.4994839962776226e-34]","[1, 0.2576267037816758]","[5, 0.3106531619096317]","[1, 0.4577384455384066]","[3, 0.6742926820473671]","[100, 100]","[1, 0.16542871808499088]","[4, 0.057335466624223334]","[1, 1.0]","[1, 0.18783518223128706]","[1, 0.21800474162996913]","[1, 0.02797025567272106]","[3, 0.09536428873574264]","[5, 0.041267801200269655]","[5, 0.9071500121698562]","[2, 0.800649604039859]","[5, 0.026660961147012354]","[1, 0.09018895132007136]","[4, 0.14629399980457974]","[2, 0.5827842789238303]","[1, 0.0813189456141591]","[2, 0.041542536949188386]","[100, 100]","[3, 0.6730218392122378]","[1, 0.00013828059199289154]","[4, 0.07577519362110928]","[2, 0.8018013611779846]","[100, 100]","[1, 1.0]","[3, 0.7051676733915428]","[2, 0.12887558068965616]","[2, 0.4275337714330859]","[1, 0.2541277984549997]","[1, 0.006083043708570581]","[5, 0.004512357012121663]","[4, 0.951261340591618]","[2, 0.1270736159640889]","[1, 0.04087179312211537]","[1, 0.15480996510954018]","[2, 7.2689160183648e-05]","[4, 0.01296033996557476]","[1, 1.0]"
Child gaze:robot,"[1, 0.3443407900654013]","[2, 1.9361748384420671e-22]","[100, 100]","[1, 0.0009938845630990025]","[3, 0.0009936264293676118]","[5, 0.7864357469320136]","[4, 0.25022969353171975]","[100, 100]","[4, 0.8373078655620954]","[1, 0.4810905140408158]","[3, 0.045824043674274624]","[1, 0.2052115218016625]","[1, 0.02115731696819707]","[1, 0.9065495758506769]","[4, 0.05669437938473104]","[5, 0.013696916209219858]","[1, 0.24978208268288032]","[1, 0.006456132290761913]","[1, 0.7063713201577901]","[3, 0.2079547573021971]","[2, 0.12129569059336705]","[1, 0.3631125010180486]","[3, 0.48144246174785266]","[5, 0.026693324471395892]","[100, 100]","[2, 0.47622970183511826]","[1, 0.0022931554297741627]","[4, 0.0025330122279053325]","[5, 0.40572742649069315]","[100, 100]","[1, 0.9974961260287678]","[4, 0.2675960775342126]","[3, 0.050034686651342655]","[3, 0.8085504531391354]","[2, 0.11420787945017613]","[2, 0.034173587206047525]","[5, 5.89934981200049e-08]","[3, 0.02750000908057936]","[2, 0.12597091009436245]","[1, 0.36230962689420865]","[4, 0.5215133716442957]","[3, 0.7758188276324445]","[2, 1.3244921065446585e-05]","[2, 0.38970742977071915]"
Child gaze:parent,"[5, 0.00406697465889842]","[1, 0.2705731985890992]","[1, 0.0019176248179453579]","[100, 100]","[2, 3.457971382927142e-06]","[4, 0.22269197793643872]","[4, 4.626638460121103e-06]","[100, 100]","[1, 1.0]","[4, 0.49590710762864765]","[1, 1.0]","[4, 0.06744073926302295]","[1, 1.0]","[1, 1.0]","[1, 0.9988285905999369]","[4, 0.031143106295384162]","[4, 0.9997404654310627]","[3, 0.029981408970706294]","[1, 0.30928501112201257]","[3, 0.2087617858121018]","[3, 0.16881055591154226]","[1, 0.0212804093206405]","[2, 0.0005067568645017392]","[1, 1.0]","[100, 100]","[3, 0.9781725713949928]","[1, 1.0]","[5, 2.440634197919322e-09]","[2, 0.26179625637533327]","[100, 100]","[1, 0.9943801658267668]","[1, 1.0]","[5, 0.004954541528800326]","[1, 1.0]","[1, 1.0]","[5, 0.9961203461540405]","[1, 1.0]","[4, 0.11950481350176066]","[5, 0.0012023506833209689]","[2, 0.9862416208934696]","[3, 0.0030387508376443183]","[4, 0.4154727311837264]","[1, 0.289348800789196]","[5, 1.9046729562146914e-12]"
Child affect:positive 2,"[4, 0.8501291883007709]","[2, 0.6193774280006088]","[1, 0.06763873597620422]","[1, 0.9987768657215964]","[100, 100]","[1, 9.492311062108683e-06]","[1, 0.9998469749872084]","[100, 100]","[3, 0.06859179747297639]","[1, 0.13659517575389132]","[1, 1.0]","[4, 0.4821216622635116]","[1, 0.014924632579463915]","[1, 1.0]","[4, 0.5434152570522576]","[1, 1.0]","[1, 1.0]","[2, 0.0007153215633220785]","[3, 0.6505479969478962]","[3, 0.015806662511558774]","[1, 1.0]","[4, 0.0791426169742692]","[2, 2.4377623115564775e-11]","[4, 0.6947197029151991]","[100, 100]","[2, 0.05113250484758016]","[1, 0.13659517575384597]","[1, 1.0]","[1, 0.14838695172825037]","[100, 100]","[1, 0.9950067153008105]","[4, 0.2181854834229003]","[4, 0.003181253239935829]","[5, 0.5573679718029513]","[2, 0.9999999961116143]","[1, 1.0]","[1, 1.0]","[4, 0.6223673948780596]","[2, 0.12305920415496412]","[1, 0.9987893664140796]","[1, 0.9984935450174877]","[4, 0.899908247528639]","[2, 0.6394497409056141]","[3, 0.10811412094467555]"
Child affect:positive 1,"[4, 0.29948652423435423]","[3, 0.03395544704901867]","[4, 0.5732923469240386]","[1, 0.09866894268379109]","[1, 0.0032818356565028533]","[100, 100]","[1, 0.06464803283997646]","[100, 100]","[4, 0.07630733096053843]","[1, 0.2588475340805721]","[1, 1.0]","[4, 0.29332835399389595]","[1, 1.0]","[1, 0.001354008469218403]","[4, 0.7671024663774799]","[4, 0.007149287783769702]","[4, 0.47593314841563494]","[1, 0.003951540100670043]","[5, 0.20225986431784118]","[1, 0.047892206349040865]","[1, 1.0]","[2, 0.08339646045866736]","[5, 0.0006810172426277749]","[4, 0.007815448529620945]","[100, 100]","[5, 0.2170673593462144]","[2, 0.0707995770747187]","[1, 1.0]","[4, 0.8697386093974576]","[100, 100]","[1, 0.996211245001649]","[5, 0.5859384312814475]","[1, 0.13205495658643202]","[4, 0.13323387828721212]","[5, 0.30425740435257687]","[3, 0.23965947419114353]","[1, 1.0]","[1, 0.21928217060297256]","[3, 0.10023250768961556]","[2, 0.29007280579609807]","[5, 0.09434115291742778]","[2, 0.044955908319588116]","[1, 0.15310723052983985]","[1, 0.9989495453568198]"
Child affect:positive 3,"[2, 0.0043606396842736485]","[1, 1.0]","[2, 0.5159380010982734]","[1, 1.0]","[1, 0.014051739882901487]","[1, 0.06465407409444265]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.9695886126184579]","[1, 1.0]","[3, 0.44509258438254606]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.00027567757106069753]","[4, 0.8390078695679082]","[1, 1.0]","[1, 0.274637991669742]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.02451286709602287]","[1, 1.0]","[1, 1.0]","[2, 0.19156297079215778]","[100, 100]","[1, 1.0]","[2, 0.09579452574066548]","[4, 0.181799415906271]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1240569687991447]","[3, 0.06992062141094564]","[1, 1.0]","[3, 0.005711557415862314]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[4, 0.6268926765735903]","[2, 1.0559717597901357e-07]","[1, 0.011626722825039052]","[1, 1.0]","[1, 7.520112343890237e-08]","[5, 0.0008734799933010086]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.03665555464767517]","[1, 1.0]","[5, 0.002305654146243762]","[1, 1.0]","[2, 3.2867903568987115e-08]","[5, 0.03618934545741172]","[1, 1.0]","[1, 1.0]","[5, 0.3837549522087283]","[5, 0.009237506316065972]","[1, 0.23112869735815225]","[3, 0.05748672367161963]","[4, 0.09375681850444802]","[3, 1.1661326384567984e-20]","[5, 0.12468728282042461]","[100, 100]","[3, 0.010277105030252599]","[1, 0.04003735355695941]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 3.6462944318283605e-32]","[2, 0.059807397786624576]","[4, 3.871350709690662e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.030566683121637694]","[1, 1.0]","[1, 1.0]","[1, 0.004480170856805955]","[2, 0.03279464179812518]","[1, 1.0]"
Parent utterance:utterance,"[1, 0.12446164589493343]","[2, 0.31057481400112324]","[2, 0.2714997370470722]","[1, 0.9316576341859953]","[4, 0.3232130557011633]","[2, 0.8519670511614965]","[2, 0.0912062039552701]","[100, 100]","[4, 0.24878785652519775]","[100, 100]","[1, 1.0]","[5, 0.23958812104235339]","[1, 0.2752489116849126]","[1, 0.5029004055964261]","[1, 0.1986806362333383]","[5, 0.10851364253091812]","[3, 0.3056914867194689]","[3, 0.06958410494008098]","[4, 0.00311263979025574]","[1, 0.02066602815754151]","[2, 0.2795419904337024]","[2, 0.03085131194184044]","[1, 0.8928791058356947]","[5, 0.0012451662838653878]","[100, 100]","[2, 0.13604777961783004]","[1, 0.20571925380417552]","[1, 0.10428717749913552]","[4, 0.08974676233412984]","[100, 100]","[1, 0.9980738930344285]","[4, 0.2898016595681467]","[1, 0.39916784777580694]","[2, 0.12037353936441629]","[3, 0.05334856849777229]","[4, 0.12911453871092496]","[1, 0.021475024855061687]","[3, 0.7246904360690348]","[5, 0.3914370564077551]","[5, 0.5203413965688655]","[1, 0.27871782339765344]","[4, 0.01704236223227093]","[1, 0.12680415544002532]","[3, 0.8636635191711717]"
Parent utterance:missing data,"[5, 0.020529491111231504]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 6.450036676224613e-12]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:cognitive,"[1, 0.019695530649254212]","[5, 0.0013371311492797232]","[1, 0.22998090884662237]","[1, 0.1485870256089021]","[2, 0.43893687470217946]","[5, 0.33667853705474865]","[5, 0.38283388283264363]","[100, 100]","[4, 0.009402096216971221]","[1, 0.22461335000270966]","[1, 1.0]","[100, 100]","[1, 0.1059813595605183]","[3, 0.997866026794693]","[5, 0.15835889151619242]","[4, 0.7384377991877489]","[4, 0.7149101397138206]","[1, 0.5096216999670379]","[4, 0.0009175667703417772]","[3, 0.32031233571615364]","[1, 0.18701603065903494]","[1, 0.9991950778047922]","[1, 0.9565474638088435]","[1, 0.047614810496569904]","[100, 100]","[3, 0.4535805488609034]","[4, 0.7283456588477668]","[1, 1.0]","[2, 0.63090131615929]","[100, 100]","[1, 0.9966800698805397]","[2, 0.5203244896091799]","[5, 0.13162812693984804]","[4, 0.779020119815257]","[1, 0.9715779346542438]","[1, 0.07653476573395163]","[1, 1.0]","[1, 0.3259929005317508]","[1, 0.061632199518198656]","[3, 0.8434229863341869]","[1, 0.06166824716540092]","[5, 0.002282162243096388]","[5, 0.24201772574319108]","[1, 0.12069179208863787]"
Verbal scaffolding:affective,"[4, 0.9975417817398754]","[2, 0.4685253921971416]","[4, 0.9859228332999608]","[1, 1.0]","[4, 0.9811247158122756]","[3, 0.3339549131569821]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.3294134602997411]","[1, 1.0]","[5, 0.6933137390482107]","[100, 100]","[1, 1.0]","[2, 0.08683758816969243]","[5, 0.1770892418771013]","[1, 1.0]","[3, 0.7012258326559055]","[2, 0.5247049607961558]","[5, 0.6271318918628274]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.172981748404748]","[100, 100]","[1, 1.0]","[5, 0.0014264278982426232]","[1, 1.0]","[2, 0.191562970792177]","[100, 100]","[1, 1.0]","[2, 0.09579452574065589]","[1, 1.0]","[5, 0.004039807943063171]","[3, 0.0010412250142059418]","[4, 0.012286625898544287]","[1, 2.0554967155750924e-14]","[4, 0.8911985031912255]","[5, 0.4399809006566384]","[5, 0.13763296234550781]","[4, 0.933457396633909]","[4, 0.9933132614557433]","[5, 0.05469929862238986]","[1, 1.0]"
Verbal scaffolding:technical,"[3, 0.004486314055255671]","[1, 0.03244496633058127]","[2, 0.01450648407984651]","[1, 1.0]","[1, 1.0]","[3, 0.01654006516033483]","[1, 1.0]","[100, 100]","[3, 1.6028352566338792e-07]","[1, 0.09927377865573539]","[1, 1.0]","[1, 0.004540599840977468]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 9.044430308291986e-05]","[1, 1.0]","[3, 0.032812363827627804]","[2, 0.0004040301340122198]","[2, 0.023419413961142842]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.01426195600082114]","[100, 100]","[1, 1.0]","[5, 0.982031844723621]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 8.770165433887885e-05]","[3, 1.6028352566340007e-07]","[1, 1.0]","[1, 1.0]","[2, 0.0058891368992495564]","[1, 1.0]","[3, 2.3545514734980727e-08]","[5, 0.002162126675898414]","[2, 0.11827336078394106]","[1, 1.0]"
Non-verbal scaffolding:cognitive,"[4, 0.026455105374104688]","[5, 0.049265903730828335]","[4, 0.7966036132719909]","[1, 0.998828610260812]","[1, 0.998912698736916]","[5, 0.10910690360641577]","[1, 0.02699598500694699]","[100, 100]","[4, 0.1680361864205995]","[3, 7.531113836668189e-05]","[1, 1.0]","[5, 0.20902680810620475]","[2, 5.105141135157778e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 3.43156529384738e-05]","[5, 0.23669900313052986]","[2, 0.012250116121193848]","[5, 0.001870897164326205]","[5, 0.2548237013680087]","[1, 0.06348793583961859]","[1, 1.0]","[1, 0.9986889837888326]","[100, 100]","[3, 0.9997635081357341]","[5, 0.032674694450949705]","[1, 1.0]","[1, 0.1891400656945753]","[100, 100]","[3, 0.9893125579126126]","[5, 0.41604017772524593]","[4, 0.4675918840594754]","[3, 0.9998713848389839]","[3, 0.03165062529758749]","[3, 0.9991134710942142]","[1, 1.0]","[5, 0.4983915484830188]","[2, 0.01035354542303508]","[2, 0.00016393563569184428]","[3, 0.08878294281637546]","[5, 0.8890800008038174]","[3, 0.00015038685620726535]","[1, 0.998741721162456]"
Non-verbal scaffolding:technical,"[4, 0.06751204299366242]","[3, 0.021701358296384657]","[4, 0.20339260811900836]","[5, 0.03025648407434218]","[5, 0.075332414467672]","[1, 0.10980038243069888]","[2, 0.02964906740975212]","[100, 100]","[4, 0.1555275100227658]","[4, 0.00807555365554542]","[1, 1.0]","[1, 0.15683600383473947]","[1, 1.0]","[2, 3.2245496964875675e-10]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.3019008952686031]","[4, 0.1362202744256642]","[1, 0.05816115499356844]","[1, 0.030402082731666894]","[1, 1.0]","[5, 0.9999528801552847]","[4, 0.420858352054412]","[100, 100]","[3, 0.06831198267970444]","[1, 0.10472352105778114]","[5, 0.04502216219252034]","[1, 0.11552390059084067]","[100, 100]","[1, 1.0]","[1, 0.060935082889684515]","[4, 0.45155486931625843]","[5, 0.04032983709848528]","[4, 0.009893144601412785]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.7370610182380433]","[1, 0.02589049119591089]","[4, 0.11621459257397504]","[1, 0.2622152882691967]","[4, 0.027564311185872863]","[1, 1.0]"
Non-verbal scaffolding:affective,"[2, 5.359009287123349e-05]","[1, 1.0]","[1, 1.0]","[3, 0.04437443526262411]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.08555552086924524]","[1, 1.0]","[2, 0.25637208500012904]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.4135803861664282]","[2, 0.5247049607959466]","[1, 0.028613146306160988]","[5, 0.028174315166436772]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 1.293239622633218e-10]","[1, 1.0]","[1, 1.0]","[3, 0.34360484280869213]","[100, 100]","[1, 1.0]","[3, 0.189862450047165]","[2, 0.001818289318263319]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.24358519536708204]","[5, 0.21813539735171664]","[4, 0.15594882651836603]","[5, 0.00011545880740972746]","[2, 0.4322871364722721]","[3, 0.7003362521373004]","[3, 0.021882260791867805]"
Parent gaze:child,"[5, 0.006880193524030313]","[2, 0.3154974709161667]","[2, 0.6697357735930816]","[3, 0.004192347555288336]","[3, 0.5648043256812456]","[1, 0.14785538925006467]","[4, 0.04250565195515813]","[100, 100]","[2, 0.43079619708387584]","[4, 0.09691881758915774]","[1, 1.0]","[3, 0.17901464376759757]","[4, 0.08231260941163053]","[2, 0.11515548104277114]","[1, 0.08288793787329438]","[1, 0.2988221279625036]","[1, 0.23038179410759893]","[100, 100]","[1, 4.7554422551268754e-05]","[1, 4.0180233771215074e-11]","[4, 0.13989585198722898]","[4, 0.7571276685260461]","[5, 0.011688334075887716]","[1, 0.14142958826125382]","[100, 100]","[5, 0.6711176901285698]","[1, 0.4624605648464378]","[5, 0.0006959456825620225]","[1, 0.1533544514321254]","[100, 100]","[2, 0.9999999984691069]","[1, 0.39601681592517046]","[1, 0.0031785136309370587]","[1, 0.0032217686914408515]","[1, 0.2668604924396172]","[3, 0.9986979576209468]","[3, 0.03353460899127591]","[4, 0.1352040125256142]","[2, 0.06536456783195176]","[2, 0.6019330930472817]","[4, 0.6773854993272412]","[1, 3.457444983164918e-05]","[1, 0.0001853989160788339]","[5, 0.32273560621918973]"
Parent gaze:robot,"[4, 0.027559098627604476]","[3, 0.0007167801663607252]","[2, 0.00044867677175182587]","[4, 0.1360315926496967]","[1, 0.07088913439876852]","[2, 0.11078093449142573]","[2, 0.037250273487632726]","[100, 100]","[1, 0.00017104256092046477]","[2, 0.22501377905378345]","[1, 0.005298497097262845]","[1, 0.22471796794702142]","[3, 0.4433121656304482]","[3, 0.043828836729813074]","[1, 0.41075674022109243]","[1, 0.04889730314951676]","[2, 0.9968897332736837]","[4, 4.5511418949085335e-12]","[100, 100]","[3, 7.376699402330703e-07]","[3, 0.15922889447691402]","[1, 0.004105253988416338]","[5, 0.7502285354393574]","[1, 0.005224347775269651]","[100, 100]","[5, 0.9315979422382686]","[1, 0.1629604243805406]","[5, 0.5279205839031884]","[1, 0.17708641974013917]","[100, 100]","[3, 0.001134021564070816]","[3, 0.4754903217486457]","[5, 0.2663241144307314]","[1, 0.06346908518745116]","[3, 0.8452264243621571]","[5, 0.7258650561526021]","[5, 0.9999973763854797]","[4, 0.1320028778386747]","[1, 0.0396324685390681]","[2, 0.17726077094750398]","[4, 0.003985777324024615]","[5, 8.343171692857238e-07]","[1, 0.0017683453616529974]","[1, 0.02887986006630964]"
Parent gaze:props,"[2, 0.8346766851781879]","[3, 2.349906914772498e-05]","[3, 0.0009162368489222276]","[4, 0.3212016957751502]","[3, 0.9194552865435454]","[4, 0.0653535394310825]","[1, 0.27420271695161796]","[100, 100]","[1, 0.0002494554787024946]","[2, 0.060190539428560626]","[1, 1.0]","[2, 0.038926369887263106]","[1, 0.27420271695161796]","[2, 0.022263059630637915]","[2, 0.2637394115470476]","[1, 0.32340459543862315]","[1, 0.962888491200691]","[2, 1.9995939242717926e-13]","[2, 4.2694824826259236e-15]","[100, 100]","[3, 0.6028581015432843]","[1, 0.33807101579860027]","[3, 0.47929301162256477]","[1, 0.03308476398507444]","[100, 100]","[5, 0.7064720908837414]","[1, 0.0004916672162552551]","[3, 0.14299360247454537]","[3, 0.17195135463599504]","[100, 100]","[3, 0.0018018959959512062]","[3, 0.07171377510204481]","[5, 0.0012670864558881362]","[2, 0.04149136068946912]","[3, 0.00018089369227113135]","[5, 0.6188280281289614]","[4, 0.11217039703914689]","[1, 0.17142372496916758]","[2, 0.0004230647644488291]","[2, 0.0008093220951942501]","[2, 0.5248369864166846]","[1, 1.3753187311030044e-05]","[3, 0.0002903141104334516]","[3, 0.4856076238873386]"
