,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child gaze:robot or prop,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child affect:negative,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[5, 0.024062659445281593]","[4, 0.042084771626655984]","[4, 0.048231491672400116]","[100, 100]","[5, 0.0003004386899282871]","[2, 0.7170863872144133]","[3, 0.10048116579866072]","[1, 0.42803193672325635]","[4, 0.00030455883148684804]","[100, 100]","[3, 2.3657857579378827e-08]","[1, 0.9203962322504743]","[1, 0.000682453481646629]","[1, 0.15819475951360187]","[1, 0.31855980291552033]","[1, 0.04462347618234764]","[1, 0.27451938220489835]","[4, 0.6994028008372648]","[3, 0.13425214786055906]","[4, 0.593385080804123]","[4, 0.5279968571913969]","[2, 0.35857700613391547]","[4, 0.009613201497982483]","[3, 0.15027280781237304]","[1, 0.07037306361338615]","[100, 100]","[100, 100]","[1, 0.22176522941364624]","[1, 0.009383608768456397]","[1, 0.06414874240864346]","[100, 100]","[4, 0.9732985640181636]","[1, 0.4470141255342529]","[1, 0.07756301913469382]","[5, 0.9293056379836568]","[1, 0.3588799986223794]","[4, 0.008282816105550393]","[1, 0.15641563994836105]","[4, 0.15963322251751377]","[2, 0.6868480272202546]","[4, 0.17797108381862495]","[5, 0.06329971995082227]","[5, 0.013247761128746899]","[5, 0.3809840671017325]"
Child gaze:robot,"[2, 0.19798686722523853]","[100, 100]","[5, 2.9361303770711106e-12]","[2, 7.389472087320746e-06]","[100, 100]","[5, 0.03817060208080484]","[1, 0.08383697580990361]","[1, 0.009392494553436123]","[2, 0.7141331417520054]","[1, 0.3596588292140189]","[100, 100]","[5, 0.11037443137370034]","[3, 0.05025615123738555]","[3, 0.03118599864725101]","[5, 0.2725477381106999]","[3, 0.7696054043072452]","[4, 0.02356681727215584]","[4, 0.07697846672893319]","[1, 0.9882401214637695]","[1, 0.3027243291208218]","[5, 0.4601322756199211]","[4, 0.06260775414261002]","[2, 0.2042533911551857]","[4, 0.22434893894117242]","[3, 0.7855575052526952]","[4, 0.039793393459500996]","[100, 100]","[100, 100]","[4, 0.7056919186063109]","[5, 0.5220777129541923]","[1, 0.17319782632208472]","[100, 100]","[5, 0.009711488607667391]","[1, 0.40548277292783097]","[5, 0.05505909645890019]","[5, 0.3498751003145207]","[4, 0.0386570344565244]","[5, 0.6176128055314066]","[5, 0.011583572407509788]","[2, 0.06791755062041009]","[3, 0.2440301603444276]","[2, 0.05704143721515639]","[3, 0.5323217342452804]","[1, 0.0016426461359372523]","[1, 0.006004833998013196]"
Child gaze:props,"[2, 0.0016173611643309153]","[4, 1.5901185879316056e-10]","[100, 100]","[3, 0.04279856560891186]","[100, 100]","[4, 0.08966828606662083]","[5, 0.27594580156776877]","[2, 0.007442619848049876]","[3, 0.9985781186011378]","[4, 0.8902303321764987]","[100, 100]","[4, 0.02216712070618395]","[3, 0.019778549062486203]","[4, 0.04221349932420246]","[3, 0.3486796527964908]","[5, 0.24000111093559798]","[3, 0.12037002935395533]","[5, 0.10825504106791907]","[1, 1.0]","[3, 0.6357646504829122]","[1, 0.13307307650722786]","[2, 0.07631905516468211]","[1, 0.3469009374242008]","[5, 0.21770587656154383]","[5, 0.8814600016964713]","[3, 0.1528071229242668]","[100, 100]","[100, 100]","[1, 0.11816901473214834]","[5, 0.03429484509020183]","[3, 0.00044112481890805897]","[100, 100]","[4, 0.04171922598208495]","[3, 6.804691273950141e-06]","[5, 0.17253883278463333]","[5, 0.03497121503920521]","[1, 0.20234766851818767]","[4, 0.2859692084644798]","[5, 0.6166898994372302]","[2, 0.02055891197565731]","[2, 0.5551113334563136]","[2, 0.015524562001527355]","[1, 0.00593459046044917]","[3, 0.19359896589387351]","[1, 0.0012604675840130852]"
Child gaze:parent,"[2, 0.0003832042713978115]","[3, 9.089613185908689e-05]","[1, 0.39525464313925696]","[100, 100]","[100, 100]","[1, 0.027948645572793605]","[3, 0.9966390559247889]","[1, 1.0]","[4, 0.6770117627521532]","[1, 1.0]","[100, 100]","[2, 0.16749062104466603]","[1, 1.0]","[2, 0.4580596318280402]","[1, 1.0]","[1, 1.0]","[2, 0.4856512416305102]","[5, 0.11477384554532942]","[2, 0.9660724309905778]","[5, 0.20964514562167588]","[3, 0.21459596058511118]","[2, 0.8001861938191128]","[2, 0.994585261978597]","[3, 0.00860296012280961]","[1, 0.9986446113083257]","[2, 0.5562317417021558]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.09986220348439427]","[2, 0.07286769981291981]","[100, 100]","[4, 0.8003561253867227]","[4, 0.16986034991442717]","[4, 0.054732524914387154]","[1, 1.0]","[3, 0.04614138322842526]","[1, 1.0]","[5, 0.016472849705068588]","[1, 0.044391441925865055]","[5, 0.7095822914629241]","[4, 0.9805736439997987]","[2, 0.0003477232102961633]","[1, 0.12589976421800875]","[5, 0.005685068459280028]"
Child gaze:robot or prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 2,"[2, 0.9999999453029847]","[5, 0.4653234161398647]","[1, 0.1411545785524676]","[4, 0.030812415563587353]","[100, 100]","[100, 100]","[1, 1.3229923526850111e-17]","[1, 1.0]","[1, 0.9982136027826822]","[3, 0.041989050999148424]","[100, 100]","[2, 0.5994598639340302]","[1, 1.0]","[2, 0.9999999788969669]","[1, 1.0]","[1, 1.0]","[1, 0.02521495574220186]","[3, 0.9999999999890619]","[1, 0.997056784472961]","[1, 0.10690706783587141]","[2, 0.43470146314368263]","[3, 0.06329795073683527]","[2, 0.051835793012370894]","[3, 0.01234206348707861]","[2, 0.0026327734982534144]","[1, 0.04373947159698279]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.9985540522243426]","[100, 100]","[1, 1.1734760016703201e-16]","[1, 0.9982136027826822]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.18067973011670932]","[1, 0.9988125493018264]","[2, 0.9999999629607698]","[1, 0.9976521762721949]","[5, 0.04414558973623875]","[1, 1.0]","[1, 0.9981114363269272]"
Child affect:positive 1,"[2, 0.26521455718498593]","[2, 0.6889565283988937]","[1, 0.29834950606943494]","[5, 0.10943386888534287]","[100, 100]","[4, 0.10372630738877771]","[100, 100]","[5, 0.9938318399197111]","[1, 1.0]","[4, 0.014404115276624484]","[100, 100]","[1, 0.4765576976800202]","[1, 1.0]","[4, 0.3221558383783587]","[5, 0.9999890819015816]","[1, 1.0]","[3, 0.472362282686991]","[1, 1.0]","[1, 1.0]","[1, 0.254558923761123]","[2, 0.12388385310452385]","[5, 0.24349025737177182]","[2, 0.22856163511745364]","[4, 0.027663900216823023]","[5, 0.00010460149243136677]","[3, 0.564083484207951]","[100, 100]","[100, 100]","[4, 0.0024683705473835162]","[5, 0.9999990477956608]","[2, 0.3248479131520209]","[100, 100]","[1, 7.726107186917222e-09]","[2, 0.17746409471444982]","[5, 0.999999066416396]","[1, 1.0]","[1, 0.019817417140226102]","[1, 1.0]","[2, 0.17250167299122696]","[3, 0.017218152092746564]","[1, 0.043749535524356786]","[5, 0.9999975100089663]","[5, 0.5338766032547826]","[1, 0.34890281149003]","[5, 0.5578396458708268]"
Child affect:positive 3,"[3, 0.004893960051892028]","[5, 0.2329332695382592]","[5, 0.07761618541069981]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.006071251167858872]","[1, 1.0]","[1, 1.0]","[4, 2.6945665214615984e-10]","[5, 3.1928433523645062e-24]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.0009783074181591873]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00021109116643677767]","[1, 1.0]","[1, 1.0]","[5, 0.10470592977415621]","[5, 0.14510821802029397]","[1, 1.0]"
Child affect:negative,"[4, 0.007944683282256575]","[4, 0.14950346121469205]","[1, 0.36368336950189106]","[5, 0.07072001468177863]","[100, 100]","[1, 0.9981170621460768]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.15402431182721815]","[1, 0.7670162408546525]","[2, 0.33288375166742834]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.09240324362480086]","[2, 4.4680956408063314e-05]","[3, 0.2949581324870259]","[3, 0.5945522262235201]","[4, 0.5905244960915784]","[3, 0.1613565446001243]","[1, 0.9982968331160714]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 1.310753579992182e-06]","[4, 0.08505306955583865]","[100, 100]","[1, 1.0]","[4, 0.012819417033876759]","[5, 0.0017677217154661185]","[1, 1.0]","[1, 0.023171899143717322]","[1, 1.0]","[1, 0.20265047061432817]","[4, 0.10874572822295572]","[2, 0.1452110057985989]","[4, 0.22556755605901938]","[1, 0.333825482722639]","[2, 0.6566388934691005]","[3, 6.374211572936178e-06]"
Child gesture:point at prop,"[5, 0.025456403437208393]","[5, 0.8769236145050215]","[2, 0.5441341305776035]","[5, 0.6827288557314978]","[100, 100]","[4, 0.9298160104418334]","[5, 0.19834156804247918]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.2207106614002341]","[1, 1.0]","[5, 0.02597771886271098]","[1, 1.0]","[4, 0.16062698629441935]","[3, 0.009744029734739097]","[1, 1.0]","[1, 1.0]","[3, 0.6795322660320955]","[4, 0.015072489208742946]","[1, 0.0436578085395971]","[2, 0.00022041476141504605]","[1, 1.0]","[3, 0.07509815557541287]","[3, 0.02656961010388031]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.03557287238083677]","[100, 100]","[1, 1.0]","[5, 0.0019920616603542663]","[4, 0.995945702295188]","[1, 1.0]","[5, 0.2553114236000052]","[4, 0.8300310527663777]","[5, 0.787552692329325]","[2, 0.41802423129413513]","[4, 0.29376375722263587]","[4, 0.991490051416514]","[4, 0.20865559348540236]","[1, 0.3204008109916234]","[1, 1.0]"
