,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.2
2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.4
3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.6000000000000005
4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.800000000000001
5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8.0
6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,8.200000000000001
7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.400000000000002
8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.600000000000001
9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,8.8
10,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9.000000000000002
11,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9.200000000000003
12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9.400000000000002
13,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9.600000000000001
14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9.800000000000002
15,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.000000000000004
16,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.200000000000003
17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.400000000000002
18,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.600000000000003
19,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10.800000000000004
20,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,11.000000000000004
21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.200000000000003
22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.400000000000004
23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.600000000000005
24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.800000000000004
25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.000000000000004
26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.200000000000005
27,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12.400000000000006
28,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12.600000000000005
29,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12.800000000000004
30,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13.000000000000005
31,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13.200000000000006
32,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13.400000000000006
33,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13.600000000000005
34,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13.800000000000006
35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.000000000000007
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.200000000000006
37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.400000000000006
38,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,14.600000000000007
39,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,14.800000000000008
40,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.000000000000007
41,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.200000000000006
42,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.400000000000007
43,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.600000000000009
44,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.800000000000008
45,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.000000000000007
46,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,16.20000000000001
47,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,16.40000000000001
48,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,16.60000000000001
49,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,16.800000000000008
50,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,17.000000000000007
51,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,17.20000000000001
52,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,17.40000000000001
53,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,17.60000000000001
54,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,17.80000000000001
55,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,18.00000000000001
56,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,18.20000000000001
57,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,18.40000000000001
58,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,18.60000000000001
59,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,18.80000000000001
60,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,19.00000000000001
61,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,19.20000000000001
62,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,19.400000000000013
63,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,19.600000000000012
64,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19.80000000000001
65,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20.00000000000001
66,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20.20000000000001
67,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.400000000000013
68,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.600000000000012
69,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.80000000000001
70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.000000000000014
71,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.200000000000014
72,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21.400000000000013
73,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21.600000000000012
74,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21.80000000000001
75,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.000000000000014
76,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.200000000000014
77,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.400000000000013
78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.600000000000016
79,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.800000000000015
80,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23.000000000000014
