,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.48
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.68
2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13.879999999999999
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.079999999999998
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.279999999999998
5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.479999999999997
6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.679999999999996
7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.879999999999995
8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,15.079999999999995
9,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,15.279999999999994
10,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,15.479999999999993
11,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,15.679999999999993
12,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,15.879999999999992
13,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,16.07999999999999
14,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,16.27999999999999
15,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,16.47999999999999
16,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16.67999999999999
17,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16.87999999999999
18,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.079999999999988
19,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.279999999999987
20,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.479999999999986
21,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.679999999999986
22,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17.879999999999985
23,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,18.079999999999984
24,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,18.279999999999983
25,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,18.479999999999983
26,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,18.679999999999982
27,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,18.87999999999998
28,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19.07999999999998
29,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19.27999999999998
30,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19.47999999999998
31,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19.67999999999998
32,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,19.879999999999978
33,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,20.079999999999977
34,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,20.279999999999976
35,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,20.479999999999976
36,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,20.679999999999975
37,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,20.879999999999974
38,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,21.079999999999973
39,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,21.279999999999973
40,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,21.479999999999972
41,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,21.67999999999997
42,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,21.87999999999997
43,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,22.07999999999997
44,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,22.27999999999997
45,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,22.47999999999997
46,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,22.679999999999968
47,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,22.879999999999967
48,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23.079999999999966
49,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23.279999999999966
50,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23.479999999999965
51,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23.679999999999964
52,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23.879999999999963
