,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.3704376052023657]","[2, 0.018799083256383756]","[5, 0.2765649535377574]","[4, 0.04036493602508238]","[4, 0.058034095926652866]","[5, 0.038028704322123685]","[5, 0.06097398265649593]","[4, 0.05468272967768022]","[1, 0.9751363195700907]","[1, 0.11553304846501739]","[3, 0.21208607900451384]","[1, 1.0]","[1, 0.03736120536339462]","[4, 0.28251694444865283]","[2, 0.53882791070665]","[1, 0.09466238164359113]","[2, 0.5286406264773593]","[3, 0.008919768979516417]","[3, 0.4811025407115318]","[100, 100]","[1, 7.501785935613011e-06]","[1, 0.4818480157978371]","[2, 0.1297302606545321]","[5, 0.36466389795843956]","[2, 0.08370549611315076]","[1, 0.004637889506275969]","[4, 0.0190820614045044]","[5, 0.02281957359116011]","[5, 0.00033153039385665694]","[1, 0.3198152400396316]","[1, 0.6138510310268022]","[4, 0.5070904550927926]","[1, 0.3832860621026668]"
Child gaze:tablet,"[1, 0.363729621757266]","[100, 100]","[1, 3.961375071460654e-07]","[5, 0.29570344978256574]","[1, 0.003516367709381816]","[1, 1.0]","[2, 0.1580810315386504]","[4, 0.07654905780735612]","[3, 0.0366333026377174]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.053451321038488035]","[1, 0.24155707622661088]","[5, 1.7351366619706472e-08]","[5, 0.002210313792089069]","[1, 1.0]","[1, 1.0]","[2, 0.019207484834623523]","[100, 100]","[1, 1.0]","[2, 0.002607144199885093]","[3, 0.11617556899777252]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0005666830605445603]","[3, 0.020057166810327792]","[4, 0.5088343051879655]","[1, 1.0]","[4, 0.24739913211980724]","[5, 0.8631158572140334]","[4, 1.2332835883658925e-07]"
Child gaze:parent,"[5, 0.23207230459303005]","[1, 1.7770094269259329e-25]","[100, 100]","[1, 1.0]","[2, 0.9999991415513463]","[1, 1.0]","[2, 0.011748503805615283]","[5, 0.05434084268193463]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.001026338915426554]","[5, 0.0010268992937568242]","[3, 4.226874760799146e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 6.911285897996391e-05]","[100, 100]","[3, 0.9999995505295761]","[2, 5.080523115366582e-07]","[5, 2.399924693558394e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.10820129512066308]","[3, 0.1284724732499485]","[1, 1.0]","[3, 0.004673278182247953]","[1, 0.05620802119847023]","[5, 1.5288114615222458e-17]"
Child affect:positive 1,"[5, 0.08230854723735853]","[1, 9.80468512267403e-07]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.0028406609971373337]","[4, 0.22671103894290298]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.2117805615486831]","[1, 1.0]","[2, 0.6591407328523704]","[1, 0.3644294602016108]","[2, 0.011755944794075556]","[3, 0.16738939846482467]","[5, 0.22805672032344707]","[1, 0.24315050021928397]","[5, 0.7584407904424002]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.05976623601706208]","[1, 1.0]","[2, 1.3570267979138748e-08]","[5, 0.0029652055408548065]","[4, 0.006428430890847456]","[1, 0.2930510649339355]","[1, 0.017116175652709616]","[4, 0.006428430890847456]","[5, 0.6650951853767901]","[1, 0.3409138814823758]","[1, 1.0]"
Child affect:positive 2,"[5, 0.657165234237822]","[2, 8.480968112955167e-06]","[1, 2.0837475172527367e-20]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.9999973671595874]","[1, 0.3680257233718537]","[1, 0.007085040990086345]","[1, 1.0]","[1, 1.0]","[4, 0.0003308041974346919]","[1, 1.0]","[5, 0.32867828491360823]","[3, 0.252466607105293]","[1, 1.0]","[4, 0.0017172607886923636]","[4, 0.01133693766819654]","[1, 1.0]","[5, 0.6920397537983232]","[100, 100]","[1, 1.0]","[2, 0.9486082998879702]","[2, 0.9486082998878834]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9694711815111371]","[1, 0.15376146770181065]","[5, 0.0642426008423817]","[4, 0.2848718454168113]","[2, 0.020367354543625864]","[1, 0.005065267403844286]"
Child affect:positive 3,"[4, 0.2808978677095319]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.006497594432830314]","[1, 1.0]","[4, 1.2618402503507128e-06]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[2, 0.019066350739718355]","[4, 0.9999740340530103]","[4, 0.9998503076226116]","[5, 0.0474270542287185]","[2, 0.20586453723157647]","[1, 1.0]","[100, 100]","[5, 0.06010798403847221]","[5, 0.6533366113527537]","[3, 5.3524453942175046e-05]","[5, 0.04611504952572543]","[2, 0.10880365394536791]","[1, 1.0]","[3, 0.243509971510258]","[1, 0.15138650710717763]","[1, 0.018532518549506112]","[4, 0.9999809241155895]","[1, 0.2397252003343219]","[1, 0.00020753999234101315]","[5, 0.08020934721537946]","[100, 100]","[1, 1.0]","[5, 0.10861163345595694]","[1, 0.0028625317615772142]","[1, 1.0]","[1, 1.0]","[1, 0.13686716426961873]","[3, 0.21895615789428652]","[2, 0.7061183320810189]","[3, 0.6096284870049218]","[2, 0.10918260291593582]","[3, 0.09162767350768741]","[1, 0.1319285940329503]","[1, 1.0]"
Parent utterance:utterance,"[1, 1.5702943067982186e-05]","[5, 0.377469723259605]","[5, 0.0035936514713339825]","[4, 0.0502173892620404]","[3, 0.901020059669981]","[1, 1.0]","[1, 0.23402320784506123]","[100, 100]","[5, 0.16579403272275894]","[1, 0.9083330109092596]","[5, 0.795082271971398]","[5, 0.5867505035436393]","[2, 0.05240432791573824]","[3, 0.12710723694822512]","[1, 0.2877403618138998]","[4, 0.010710280912602056]","[2, 0.6673749599522137]","[2, 0.009742526054884518]","[4, 0.03871205414537191]","[2, 0.817089736862015]","[100, 100]","[5, 0.9995678259458506]","[1, 0.4409097891189615]","[1, 0.4517905048523284]","[1, 0.9543678313128374]","[4, 0.9591236024343548]","[1, 0.023763966773619083]","[4, 0.09360292251682542]","[4, 0.04572567465604798]","[4, 0.7779851369739321]","[1, 0.8338553843290701]","[1, 0.46248202494426094]","[1, 0.2680302462177256]","[2, 0.11745962295588096]"
Verbal scaffolding:cognitive,"[4, 0.408392067407922]","[4, 0.1427524391894972]","[1, 1.0]","[1, 1.0]","[1, 0.007085040990084917]","[1, 1.0]","[1, 1.0]","[5, 0.6541584058763397]","[100, 100]","[1, 1.0]","[5, 0.9994683564698527]","[5, 0.35796546092546006]","[1, 1.0]","[4, 0.29604181524081874]","[3, 0.15510033253247338]","[5, 0.015672543850477484]","[1, 1.0]","[5, 0.6288231854444817]","[3, 0.6906793945057841]","[2, 0.1844842126307654]","[100, 100]","[1, 1.0]","[2, 0.07947934801093584]","[1, 0.024370076089178922]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.03156616752839006]","[3, 0.9104837524639615]","[1, 0.15227865328101586]","[3, 0.9756849828583091]","[1, 1.0]","[3, 0.13759362011561438]","[1, 1.0]"
Verbal scaffolding:technical,"[3, 0.173721898656396]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 2.163102382876836e-06]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00016025820957474803]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
