,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,161.06
1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,161.26
2,1,1,0,0,0,0,1,0,1,0,1,1,1,0,161.45999999999998
3,0,1,0,0,0,0,1,0,1,0,1,1,1,0,161.65999999999997
4,0,1,0,0,0,0,1,0,0,0,1,1,1,0,161.85999999999996
5,0,1,0,0,0,0,1,0,0,0,1,1,1,0,162.05999999999995
6,0,1,0,0,0,0,1,0,0,0,1,1,1,0,162.25999999999993
7,0,1,0,0,0,0,1,0,0,0,1,1,1,0,162.45999999999992
8,0,1,0,0,0,0,1,0,0,0,0,1,1,0,162.6599999999999
9,0,1,0,0,0,0,1,0,0,0,0,1,1,0,162.8599999999999
10,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.0599999999999
11,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.25999999999988
12,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.45999999999987
13,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.65999999999985
14,0,1,0,0,0,0,1,0,0,0,1,1,1,0,163.85999999999984
15,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.05999999999983
16,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.25999999999982
17,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.4599999999998
18,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.6599999999998
19,0,1,0,0,0,0,1,0,1,0,1,1,1,0,164.8599999999998
20,0,1,0,1,0,0,1,0,1,0,1,1,1,0,165.05999999999977
21,0,1,0,1,0,0,1,0,1,0,1,1,1,0,165.25999999999976
22,0,1,0,1,0,0,1,0,0,0,1,1,1,0,165.45999999999975
23,0,1,0,1,0,0,1,0,0,0,1,1,1,0,165.65999999999974
