,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Parent gaze:tablet,Parent gaze:child,Parent gesture:point at prop,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[3, 3.990336565339944e-05]","[1, 0.9815458087595686]","[100, 100]","[4, 0.002526926767230292]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.0509767294477136]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 0.000298113800557583]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 1.1164172364977304e-05]","[4, 6.356743300762819e-08]","[4, 0.00012654147620018945]","[1, 0.9815458087590343]","[4, 0.0001379047077941346]","[3, 3.990336565339944e-05]","[100, 100]"
Child gaze:tablet,"[5, 0.00010663229999717362]","[100, 100]","[4, 0.002857738473527732]","[100, 100]","[2, 0.07009117175817005]","[1, 0.0009056777800175905]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.9999560645162097]","[1, 0.9963151387793107]","[100, 100]","[100, 100]","[1, 0.9963151387793107]","[1, 0.9956639526349494]","[4, 0.00013175309451175243]","[1, 1.0]","[1, 1.0]","[5, 0.0023645615407159584]","[1, 0.9857186503094633]","[2, 0.0006283082204372302]","[1, 0.9857186503094633]","[1, 0.9752269496272162]","[100, 100]","[100, 100]"
Child gaze:parent,"[1, 0.9815458087590343]","[4, 2.8601940508705797e-07]","[100, 100]","[100, 100]","[2, 0.09488961671455541]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.9999265393537445]","[1, 9.703627535001341e-11]","[100, 100]","[100, 100]","[1, 9.703627535001341e-11]","[5, 0.9079169813840735]","[5, 0.00038450579223621776]","[1, 1.0]","[1, 1.0]","[1, 0.9857095141322372]","[1, 0.9815458087590343]","[1, 0.9815458087590343]","[1, 0.9815458087590343]","[1, 0.9679907919599651]","[4, 2.8601940508705797e-07]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[1, 0.03445657328496275]","[4, 0.21342640501263024]","[4, 0.3445188297818112]","[100, 100]","[100, 100]","[1, 0.1147104782121867]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.29458354272976695]","[5, 0.999171219468222]","[100, 100]","[100, 100]","[5, 0.999171219468222]","[5, 0.24928069806605677]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.24138259378734683]","[1, 0.045355450023854424]","[5, 0.020101285791756126]","[4, 0.1497576678969609]","[1, 0.00017674755933765981]","[4, 0.21342640501263024]","[100, 100]"
Verbal scaffolding:cognitive,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.12277572048748608]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 0.11258323384917124]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.028263988647567375]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Verbal scaffolding:affective,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:tablet,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent gaze:child,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
