,total time,count,normalized total time,normalized count
Child gaze,213.56,8,5.07268408551069,0.19002375296912116
Child gesture,7.2,3,0.17102137767220904,0.07125890736342044
Child prop manipulation,41.24,27,0.9795724465558197,0.641330166270784
Child utterance,2.32,3,0.05510688836104513,0.07125890736342044
Conversational turns,91.07999999999993,14,2.1634204275534428,0.33254156769596205
Joint attention,209.38,8,4.973396674584324,0.19002375296912116
Mutual gaze,0.5200000000000102,1,0.012351543942993119,0.023752969121140145
Non-verbal scaffolding,8.32,3,0.19762470308788602,0.07125890736342044
Parent gaze,236.98000000000002,8,5.628978622327792,0.19002375296912116
Parent gesture,8.32,3,0.19762470308788602,0.07125890736342044
Parent utterance,38.72,33,0.9197149643705465,0.7838479809976248
Verbal scaffolding,26.080000000000002,20,0.619477434679335,0.47505938242280293
robot pointing,41.137,15,0.9771258907363422,0.35629453681710216
robot text,226.805,51,5.3872921615201905,1.2114014251781475
CP,12.400000000000006,3,0.2945368171021379,0.07125890736342044
CPC,15.579999999999984,1,0.3700712589073631,0.023752969121140145
MG,0.5200000000000102,1,0.012351543942993119,0.023752969121140145
PC,22.379999999999967,5,0.5315914489311157,0.11876484560570073
PCP,40.71999999999997,5,0.967220902612826,0.11876484560570073
affective,4.28,5,0.10166270783847983,0.11876484560570073
child,43.84,31,1.0413301662707841,0.7363420427553445
cognitive,30.12,18,0.7154394299287412,0.4275534441805226
correction,18.133,5,0.43071258907363424,0.11876484560570073
other,10.201,5,0.24230403800475064,0.11876484560570073
parent,1.88,2,0.044655581947743474,0.04750593824228029
pick up,34.068,10,0.8092161520190024,0.23752969121140147
point at prop,56.657000000000004,21,1.3457719714964373,0.49881235154394304
positive feedback,32.133,9,0.7632541567695964,0.2137767220902613
put down,18.267,5,0.43389548693586705,0.11876484560570073
song,54.934,1,1.3048456057007127,0.023752969121140145
tablet,655.44,18,15.568646080760098,0.4275534441805226
teach,36.07,10,0.8567695961995251,0.23752969121140147
try again,22.999,6,0.5462945368171022,0.14251781472684089
utterance,41.04,36,0.9748218527315916,0.8551068883610452
Child gaze:parent,1.88,2,0.044655581947743474,0.04750593824228029
Child gaze:tablet,211.68,6,5.028028503562946,0.14251781472684089
Child gesture:point at prop,7.2,3,0.17102137767220904,0.07125890736342044
Child prop manipulation:child,41.24,27,0.9795724465558197,0.641330166270784
Child utterance:utterance,2.32,3,0.05510688836104513,0.07125890736342044
Conversational turns:CP,12.400000000000006,3,0.2945368171021379,0.07125890736342044
Conversational turns:CPC,15.579999999999984,1,0.3700712589073631,0.023752969121140145
Conversational turns:PC,22.379999999999967,5,0.5315914489311157,0.11876484560570073
Conversational turns:PCP,40.71999999999997,5,0.967220902612826,0.11876484560570073
Joint attention:tablet,209.38,8,4.973396674584324,0.19002375296912116
Mutual gaze:MG,0.5200000000000102,1,0.012351543942993119,0.023752969121140145
Non-verbal scaffolding:cognitive,8.32,3,0.19762470308788602,0.07125890736342044
Parent gaze:child,2.6,4,0.06175771971496438,0.09501187648456058
Parent gaze:tablet,234.38,4,5.567220902612827,0.09501187648456058
Parent gesture:point at prop,8.32,3,0.19762470308788602,0.07125890736342044
Parent utterance:utterance,38.72,33,0.9197149643705465,0.7838479809976248
Verbal scaffolding:affective,4.28,5,0.10166270783847983,0.11876484560570073
Verbal scaffolding:cognitive,21.8,15,0.5178147268408552,0.35629453681710216
robot pointing:point at prop,41.137,15,0.9771258907363422,0.35629453681710216
robot text:correction,18.133,5,0.43071258907363424,0.11876484560570073
robot text:other,10.201,5,0.24230403800475064,0.11876484560570073
robot text:pick up,34.068,10,0.8092161520190024,0.23752969121140147
robot text:positive feedback,32.133,9,0.7632541567695964,0.2137767220902613
robot text:put down,18.267,5,0.43389548693586705,0.11876484560570073
robot text:song,54.934,1,1.3048456057007127,0.023752969121140145
robot text:teach,36.07,10,0.8567695961995251,0.23752969121140147
robot text:try again,22.999,6,0.5462945368171022,0.14251781472684089
