,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,54.86
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,55.06
2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,55.260000000000005
3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,55.46000000000001
4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,55.66000000000001
5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,55.860000000000014
6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,56.06000000000002
7,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,56.26000000000002
8,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,56.46000000000002
9,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,56.660000000000025
10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,56.86000000000003
11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,57.06000000000003
12,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,57.26000000000003
13,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,57.460000000000036
14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,57.66000000000004
15,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,57.86000000000004
16,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,58.060000000000045
17,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,58.26000000000005
18,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,58.46000000000005
19,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,58.66000000000005
20,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,58.860000000000056
21,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,59.06000000000006
22,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,59.26000000000006
23,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,59.460000000000065
24,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,59.66000000000007
25,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,59.86000000000007
26,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,60.06000000000007
27,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,60.260000000000076
28,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,60.46000000000008
29,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,60.66000000000008
30,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,60.860000000000085
31,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,61.06000000000009
32,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,61.26000000000009
33,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,61.46000000000009
34,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,61.660000000000096
35,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,61.8600000000001
36,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,62.0600000000001
37,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,62.260000000000105
38,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,62.46000000000011
39,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,62.66000000000011
40,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,62.86000000000011
41,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,63.060000000000116
42,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,63.26000000000012
43,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,63.46000000000012
44,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,63.660000000000124
45,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,63.86000000000013
46,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,64.06000000000013
47,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,64.26000000000013
48,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,64.46000000000014
