,Child utterance:utterance,Child gaze:parent,Child gaze:tablet,Child gaze:robot,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent gaze:robot,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Joint attention:robot,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[3, 0.1544629602211912]","[2, 0.3895422098306651]","[2, 0.9966056373156632]","[5, 0.9847547186451298]","[100, 100]","[1, 0.00239581773369533]","[1, 0.021052377152127766]","[1, 0.03796680842969205]","[1, 1.0]","[1, 1.0]","[4, 0.08316281588277805]","[2, 0.015240027098977534]","[4, 0.9044178291801007]","[3, 0.6775248840775479]","[5, 0.9889220539095954]","[2, 4.572598801697388e-08]","[100, 100]","[4, 0.12884393853409007]","[100, 100]","[1, 1.0]","[2, 0.03550419197753959]","[100, 100]","[1, 0.9951021754136152]","[2, 0.40074666599339664]","[3, 0.36949671490777186]","[3, 0.0013373092610891528]","[1, 0.08042722795495078]","[5, 0.06545569175089842]","[1, 0.14591674043724628]","[2, 0.9978427626132683]","[3, 0.6727999273332648]","[1, 0.4111801608264537]","[5, 0.9882922110019174]","[3, 0.06114637754999717]"
Child gaze:parent,"[4, 8.24912482076471e-05]","[100, 100]","[3, 4.7668912291336995e-08]","[4, 0.01640892245645226]","[1, 1.0]","[100, 100]","[3, 0.0828651511591779]","[4, 0.8593792141031851]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.08038874017277794]","[4, 0.9619114461636754]","[5, 0.19920031130348545]","[1, 0.09258619957420366]","[4, 2.2003335448838966e-05]","[4, 0.7637462485148407]","[100, 100]","[2, 0.04024021497845458]","[100, 100]","[1, 1.0]","[3, 0.08754979069059532]","[100, 100]","[1, 0.9903794830117271]","[3, 0.06536853150727373]","[1, 1.0]","[1, 1.0]","[3, 0.9999999802722838]","[4, 0.03853091785462653]","[4, 0.10964439543458793]","[1, 0.9971005817309515]","[4, 1.568270095207228e-06]","[3, 0.0003929653847235378]","[4, 1.4250137332499403e-05]","[4, 1.7093933130476816e-05]"
Child gaze:tablet,"[5, 0.04775251313135633]","[3, 1.4719915805418308e-18]","[100, 100]","[2, 2.9200791586224933e-09]","[1, 1.0]","[100, 100]","[4, 0.601390048567672]","[2, 0.1091324068687581]","[2, 0.40500835372372124]","[1, 1.0]","[1, 1.0]","[1, 0.16149627595673433]","[5, 0.9999996883475111]","[1, 0.21748855924724977]","[3, 0.02290537177434431]","[4, 0.0005465406499104868]","[2, 0.990591900924818]","[100, 100]","[1, 0.1144888243270581]","[100, 100]","[1, 1.0]","[3, 0.14869831287532423]","[100, 100]","[4, 5.247357461501681e-12]","[3, 0.13702442219831712]","[2, 0.10094726005410459]","[1, 1.0]","[5, 0.9999985848046061]","[5, 0.06585760287268552]","[1, 0.10571425085362023]","[2, 0.08184565307565358]","[5, 0.04695475315806081]","[3, 0.5490208760356134]","[5, 7.300290431090047e-05]","[5, 0.0003110291617693648]"
Child gaze:robot,"[4, 0.2603708150337223]","[1, 0.9968523078704364]","[1, 7.61462888359359e-09]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[4, 0.36056648332848373]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.1410764683441141]","[3, 0.0019204139376962494]","[5, 5.0999352574559175e-18]","[1, 0.9967945413367045]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.011206257488791064]","[100, 100]","[1, 0.9903794829249731]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9999999871873866]","[1, 0.9976677449079289]","[3, 0.07935901273737968]","[3, 8.004855696174823e-06]","[1, 0.9956992406739246]","[2, 0.0011276928354536002]","[4, 4.342831489921672e-12]","[1, 0.9962599048130676]"
Child affect:positive 1,"[5, 0.0019093394454048076]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0016177880367080886]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.690459266165884e-05]","[1, 1.0]","[1, 1.0]","[5, 6.951197630016632e-22]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[3, 0.0034819852623616384]","[4, 0.9663401027567258]","[4, 0.9981278164569943]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.9246904688936862]","[4, 0.8398842134404427]","[1, 1.0]","[1, 1.0]","[3, 0.22013843808055986]","[3, 0.01026931152012262]","[4, 0.48653806551091705]","[2, 0.5395769520585196]","[1, 1.0]","[4, 0.00617996154249977]","[100, 100]","[3, 0.13120809089984653]","[100, 100]","[5, 0.8878624316376142]","[5, 0.08939483099374178]","[100, 100]","[1, 1.0]","[5, 0.06199314301660391]","[4, 0.027064997782876053]","[5, 0.9999991302000152]","[5, 0.017470923095982933]","[5, 0.26413474178425567]","[1, 0.08607701545646833]","[2, 0.06027531062140745]","[4, 0.9211177322672333]","[2, 0.5652950512794159]","[1, 1.0]","[4, 0.9779329418250365]"
Parent utterance:utterance,"[4, 0.28336199962032005]","[1, 0.9223548755776533]","[1, 0.9515707115124689]","[3, 0.6591125793778618]","[5, 0.13785706816662813]","[100, 100]","[1, 0.03883104862245002]","[100, 100]","[5, 0.03179896170794251]","[4, 0.3210775483477052]","[4, 0.011257641408471908]","[3, 0.015585568086831456]","[2, 0.03721621114964736]","[3, 0.014587789167315778]","[2, 0.008410173346818978]","[1, 0.10268058548141336]","[3, 0.018034607128444215]","[100, 100]","[3, 0.019748367648805897]","[100, 100]","[2, 0.03832026009618001]","[1, 0.08823682268091754]","[100, 100]","[2, 0.0003034974838529453]","[1, 0.3718385692098021]","[4, 2.801347122551748e-06]","[1, 0.9561927486311069]","[2, 0.0023061565468640156]","[4, 0.45293016213430237]","[4, 0.005795671676923603]","[4, 0.03796723859004287]","[5, 0.003261868946882892]","[1, 0.026833823909428168]","[5, 0.07560365446006484]","[1, 0.9081420308859557]"
Verbal scaffolding:cognitive,"[1, 0.2994066885265946]","[1, 1.0]","[4, 0.7955735043660265]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.15291721351554574]","[1, 0.9538244185572889]","[100, 100]","[1, 0.9105979065790122]","[1, 1.0]","[1, 0.02556392623658565]","[3, 0.04670237180726208]","[3, 0.7940064308331748]","[1, 0.11606438094782334]","[1, 1.0]","[2, 0.19843165234346813]","[100, 100]","[3, 0.010620656158386126]","[100, 100]","[2, 0.0021910281252643005]","[2, 0.2470880054955774]","[100, 100]","[1, 1.0]","[2, 0.21465450483364112]","[4, 1.3249770303500851e-07]","[1, 1.0]","[2, 0.007319929371053059]","[4, 0.02230612454604082]","[3, 0.22175659023458727]","[1, 0.20369240690866303]","[4, 0.20796323828304475]","[1, 0.1420187714662697]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.7227943354508151]","[3, 0.5345807210064135]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.06029106098729142]","[3, 0.003265934349744391]","[4, 0.013345375300866056]","[1, 1.0]","[1, 0.00019686814978167136]","[100, 100]","[1, 1.0]","[100, 100]","[2, 0.17825121498802635]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.8325723255104899]","[5, 0.028600213074355098]","[5, 0.04168836644973348]","[3, 0.31443049675319124]","[5, 0.0026292665492993837]","[1, 1.0]","[4, 0.017892117669200843]","[1, 1.0]","[1, 1.0]"
