,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19.28
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19.48
2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19.68
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19.88
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.08
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.279999999999998
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.479999999999997
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.679999999999996
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.879999999999995
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.079999999999995
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.279999999999994
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.479999999999993
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.679999999999993
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.879999999999992
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.07999999999999
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.27999999999999
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.47999999999999
17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22.67999999999999
18,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,22.87999999999999
19,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.079999999999988
20,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.279999999999987
21,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.479999999999986
22,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.679999999999986
23,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,23.879999999999985
24,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24.079999999999984
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24.279999999999983
26,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,24.479999999999983
27,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,24.679999999999982
28,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,24.87999999999998
29,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.07999999999998
30,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.27999999999998
31,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.47999999999998
32,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.67999999999998
33,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,25.879999999999978
34,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,26.079999999999977
35,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,26.279999999999976
36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26.479999999999976
37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26.679999999999975
38,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,26.879999999999974
39,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.079999999999973
40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.279999999999973
41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.479999999999972
42,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.67999999999997
43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27.87999999999997
44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.07999999999997
45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.27999999999997
46,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.47999999999997
47,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.679999999999968
48,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,28.879999999999967
49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,29.079999999999966
50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,29.279999999999966
51,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,29.479999999999965
52,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,29.679999999999964
53,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,29.879999999999963
54,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,30.079999999999963
55,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,30.279999999999962
56,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,30.47999999999996
57,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,30.67999999999996
58,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,30.87999999999996
59,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.07999999999996
60,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.27999999999996
61,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.479999999999958
62,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.679999999999957
63,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,31.879999999999956
64,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,32.079999999999956
65,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,32.27999999999996
66,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,32.479999999999954
67,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,32.67999999999995
68,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,32.87999999999995
