,Child utterance:utterance,Child utterance:missing data,Child gaze:tablet,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent affect:positive 1,Parent affect:positive 2 positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[100, 100]","[1, 1.0]","[1, 0.06557215581155738]","[1, 0.03065340540740541]","[2, 0.0009540268387620688]","[1, 1.0]","[2, 0.0015548207564936541]","[1, 1.0]","[1, 1.0]","[5, 0.9866982284738365]","[100, 100]","[2, 0.015835161690931306]","[1, 0.25796012537611224]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9866982284738365]","[1, 1.0]","[1, 0.23187774730645372]","[1, 1.0]","[2, 8.977628196492169e-08]","[100, 100]","[4, 0.9999999985294362]","[2, 0.0005493599103966753]","[2, 0.31357781862718387]","[1, 0.03100438816162986]","[3, 0.1993182391701708]","[5, 0.9997760748721898]","[5, 0.9989299914780734]","[2, 0.058530948142519204]","[5, 0.0414251938108943]","[2, 0.04470372923357469]","[5, 0.05735576980470277]","[4, 0.20224308002999633]"
Child utterance:missing data,"[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.8487532586697145]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 5.065936960492562e-29]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.5018775560084969]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gaze:tablet,"[1, 0.06559427317655035]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.6429009955204987]","[1, 1.0]","[1, 0.9986601631206687]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.017503879082185012]","[1, 0.998536058341087]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0006809996932245064]","[1, 1.0]","[1, 1.0]","[5, 0.9999807746800601]","[100, 100]","[1, 0.9927817144628587]","[1, 1.0]","[5, 0.26584740754320313]","[1, 1.0]","[1, 1.0]","[1, 0.9998355562030848]","[1, 1.0]","[1, 0.008930779083453674]","[5, 0.6831944700186359]","[5, 0.9996106138530736]","[5, 4.004871568375113e-05]","[5, 0.99156076780987]"
Child gesture:point at prop,"[4, 0.04037872276435168]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 1.0932710765265111e-06]","[1, 1.0]","[5, 3.1159933663701437e-09]","[1, 1.0]","[5, 3.4559474128225607e-16]","[2, 0.0001481240710539447]","[100, 100]","[3, 0.051189804859982764]","[1, 0.028229401734734705]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0001481240710539447]","[1, 1.1497246269441215e-06]","[1, 2.406086236269039e-06]","[1, 1.0]","[3, 0.002778159553322503]","[100, 100]","[1, 1.0]","[3, 2.657300390748697e-06]","[4, 0.022977276109647844]","[4, 0.9910996500285563]","[4, 0.9910996500285411]","[1, 1.0]","[1, 1.0]","[5, 0.0017220093884352124]","[4, 0.08866960617110059]","[5, 0.03689807358007329]","[4, 6.734699677428007e-05]","[1, 0.03975635233093952]"
Parent utterance:utterance,"[1, 0.026753363977538965]","[1, 0.9767265825322321]","[5, 0.017831466116630917]","[1, 1.7578746049441775e-05]","[100, 100]","[4, 0.6360199769993671]","[5, 0.177138566087765]","[1, 0.9044737517968753]","[1, 0.9333866128510169]","[4, 0.03359872708181117]","[100, 100]","[1, 1.4630332639220837e-06]","[1, 0.4278335473665166]","[1, 1.0]","[1, 1.0]","[5, 0.29906939165539964]","[5, 0.9989960703128083]","[4, 0.03359872708181117]","[2, 0.28946395135252945]","[3, 0.1436153196534477]","[2, 0.3582969340328397]","[3, 0.13569402169403574]","[100, 100]","[1, 0.9561371530845256]","[5, 0.11332966866272139]","[5, 0.4299588083745196]","[3, 0.020291173138740945]","[2, 0.13917827325464766]","[5, 0.8425329015288345]","[1, 0.15538227268029678]","[3, 0.030994745463497734]","[5, 0.3902224441190361]","[5, 0.015385146741407656]","[3, 0.0541907174694302]","[1, 0.4711353291562441]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9992531992226373]","[100, 100]","[4, 0.9957631866751504]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.03956728750135238]","[5, 1.5033774306361195e-21]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.1821505106769178e-14]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.9539895099832839]","[4, 0.954427025726875]","[4, 0.954427025726875]","[1, 1.0]","[1, 1.0]","[4, 0.06073999920610202]","[4, 0.9957628057593456]","[4, 0.11144843368581461]","[1, 1.0]","[2, 0.058761889602300596]"
Verbal scaffolding:cognitive,"[4, 0.4326375360842408]","[1, 1.0]","[1, 0.9986602304673787]","[2, 0.007815234587063652]","[2, 0.61902637565727]","[4, 0.1669751487970423]","[100, 100]","[1, 1.0]","[5, 0.9998372104494931]","[4, 5.123679385170913e-05]","[100, 100]","[1, 0.00335421827177741]","[2, 0.5138587661285116]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 5.123679385170913e-05]","[3, 0.9998031410072531]","[2, 0.4781940182543608]","[2, 0.08688440054232216]","[5, 0.0816203181234891]","[100, 100]","[1, 0.9955546905370969]","[5, 0.0013550295690059305]","[3, 0.05929100393809643]","[3, 0.21252625738571349]","[5, 0.06288070284009292]","[3, 0.9999549769571455]","[5, 0.9999711970894133]","[5, 0.2759483919000616]","[2, 0.5126272527766749]","[5, 0.006644256126362246]","[2, 0.06333750397146784]","[2, 0.5572868057042648]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.9580257685699523]","[2, 0.007981842369703007]","[1, 1.0]","[1, 1.0]","[5, 8.051875375161405e-21]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 3.027460718663246e-12]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0012532257622087043]","[5, 1.0478316958290492e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.014399316123153975]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.3398014924110343e-82]","[3, 0.03685254289505253]","[1, 1.0]","[3, 0.00015563344387772927]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[4, 1.8309572727335622e-06]","[2, 5.8532884036545514e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 1.1698459177062444e-22]","[2, 1.860357367296849e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0001942449540643057]"
Non-verbal scaffolding:cognitive,"[1, 0.030653405407405552]","[1, 1.0]","[1, 1.0]","[4, 0.820591511920737]","[4, 0.0034775833662470212]","[1, 1.0]","[4, 6.844327339325176e-09]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.9607835363268434]","[1, 1.0]","[3, 0.06900255033508437]","[100, 100]","[1, 1.0]","[3, 0.002551923702275962]","[2, 0.012600538245610466]","[5, 1.2973990540699662e-06]","[1, 2.6540450348042817e-05]","[1, 1.0]","[1, 1.0]","[4, 0.03760222585236256]","[1, 0.02822940173473867]","[4, 0.012904776538971487]","[1, 1.0]","[1, 1.0]"
