,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gesture:point at prop,Parent gesture:other,Parent gesture:missing data,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
Child utterance:utterance,"[100, 100]","[5, 0.5661536231067842]","[4, 0.04372091229714759]","[100, 100]","[2, 5.357076101446952e-07]","[1, 1.0]","[100, 100]","[1, 0.29021606195808847]","[1, 1.0]","[1, 1.0]","[5, 0.29595158269352895]","[1, 1.0]","[5, 1.371071174859649e-16]","[4, 0.9957546800814749]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 3.574005801585436e-07]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.06280363306658104]","[4, 0.9975862148222749]","[5, 0.9999157384878739]","[4, 0.9650448876311019]","[5, 0.0007820781681148053]","[5, 0.5359727783159776]","[5, 0.004454526903416017]","[5, 0.002210117990199237]","[4, 0.0022551925505537424]","[2, 0.23326681751679565]"
Child gaze:tablet,"[4, 1.0174926530010629e-05]","[100, 100]","[2, 7.771367219978952e-07]","[100, 100]","[1, 0.0026260389731351586]","[1, 1.0]","[100, 100]","[5, 0.04043004633054691]","[1, 1.0]","[1, 1.0]","[3, 0.5493693077071822]","[4, 0.9999843137437051]","[1, 1.0]","[4, 0.9999876142139309]","[4, 0.9999843137437051]","[100, 100]","[1, 1.0]","[4, 0.9999917041970485]","[1, 1.0]","[4, 0.12663016033041904]","[100, 100]","[100, 100]","[4, 0.12663016033041904]","[1, 0.05739476141840103]","[2, 0.002355864664799798]","[4, 0.99988582620223]","[5, 0.9998762200786032]","[5, 0.9997000791574999]","[2, 0.04978706836786609]","[1, 0.023314481357089016]","[1, 1.0]","[2, 0.00010581204968674133]","[5, 0.9518582726181806]"
Child gaze:parent,"[5, 0.0002109789513336955]","[2, 2.7405670084584796e-25]","[100, 100]","[100, 100]","[2, 0.0034593773364647576]","[1, 1.0]","[100, 100]","[3, 0.02265161335130369]","[1, 1.0]","[1, 1.0]","[4, 0.6195729724683281]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.1058975651229685]","[3, 0.001676818997475611]","[1, 1.0]","[1, 9.56840362240583e-05]","[1, 1.0]","[3, 0.05742337304081729]","[3, 0.0903075002442738]","[1, 1.0]","[3, 4.038301901684739e-05]","[1, 2.567815877158947e-06]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[5, 5.50902463991313e-06]","[4, 0.0009866630890647326]","[3, 3.369639653829952e-05]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 9.605190140807483e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[3, 0.05648688467071552]","[1, 1.0]","[1, 1.0]","[5, 0.011417387799955523]","[1, 1.0]","[1, 1.0]","[4, 0.00042664574486487233]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0087620499274493]","[100, 100]","[100, 100]","[4, 0.0087620499274493]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.049869760440957776]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[4, 0.05629308888138439]","[4, 0.3066342510864453]","[4, 0.00481270366374952]","[100, 100]","[1, 1.0]","[4, 0.002779776924560623]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.6613016345453375]","[5, 0.27114377616092805]","[2, 0.9993640180669848]","[1, 1.0]","[3, 0.24035169446295326]","[2, 0.9993640180669848]","[100, 100]","[1, 1.0]","[1, 0.001117203310175637]","[1, 1.0]","[5, 0.1355473085623268]","[100, 100]","[100, 100]","[5, 0.1355473085623268]","[5, 0.9106190782311816]","[1, 0.02212973207245145]","[2, 0.09393414757570487]","[4, 0.006386689785151921]","[5, 0.5616476510646823]","[1, 0.8029874998753753]","[5, 0.11952521570090148]","[1, 0.7223415968327388]","[5, 0.1785730471598136]","[1, 0.38384893463637915]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.5668132078297579]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.23308376698477895]","[2, 0.016515626661628955]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.001676818997475479]","[1, 1.0]","[2, 7.906505205016033e-15]","[5, 0.5019010660048652]","[1, 1.0]","[5, 0.8812211166767991]","[5, 0.5019010528810377]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:affective,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[5, 4.931116407049677e-07]","[1, 2.4672376011865464e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
