,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[100, 100]","[4, 0.12899774341279024]","[1, 0.06417661666132912]","[4, 0.05467325326246486]","[1, 0.5505908510740478]","[1, 0.008474364098030322]","[3, 0.04959574589137946]","[2, 0.008320023103156916]","[2, 0.0025972666350653952]","[3, 0.044995299259690064]","[2, 0.9999999999999616]","[1, 0.11480233824007369]","[2, 0.007795261845448104]","[4, 0.0029717665487806093]","[3, 0.05727238744506773]","[1, 0.1674984651799242]","[2, 0.1583047513423957]","[4, 0.22114155846019287]","[1, 0.425496018144521]","[4, 0.0029717665487806093]","[100, 100]","[1, 0.025397830377412174]","[1, 0.33777389594559326]","[5, 0.6026403325398194]","[4, 0.34857425087538996]","[100, 100]","[4, 0.1830417451840451]","[4, 0.14999229978557213]","[4, 0.06962977384118252]","[4, 0.4406348829642107]","[1, 0.9663651789925969]","[4, 0.10640199118403731]","[4, 0.007447834926752058]","[2, 1.1958194423740863e-05]","[4, 0.14386024490889843]","[2, 0.5704928254063356]","[1, 0.7504198417869719]","[5, 0.3515955517205313]","[1, 0.07679336751452576]"
Child utterance:other vocalization,"[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:robot,"[1, 0.0012519735779635767]","[100, 100]","[0, 1]","[2, 0.0019399078347825764]","[5, 1.1610661342703772e-14]","[1, 0.030750109697030178]","[4, 0.013198954090429166]","[2, 0.05754037478171564]","[3, 0.023262358046241063]","[2, 0.007604738360211937]","[1, 0.6454318693219878]","[2, 0.45350357168391664]","[3, 0.03092076655126372]","[4, 0.6040349567658644]","[3, 0.6795379250124971]","[5, 0.010583473686308877]","[5, 0.35605705573853774]","[3, 0.22813395385484206]","[5, 0.6081776452191303]","[1, 0.4251313998511814]","[3, 0.6795379250124971]","[100, 100]","[1, 0.04010468784289769]","[2, 0.7009929569809139]","[1, 0.3208357644897093]","[1, 0.20974385391522024]","[100, 100]","[4, 0.5132968288220285]","[1, 0.109472837414437]","[1, 0.5085222510767106]","[4, 0.08422555578628259]","[2, 0.09744522460135058]","[3, 0.24593447253947237]","[2, 0.25044587285695535]","[4, 0.2977328962817421]","[5, 0.23644498894782465]","[2, 0.3740824923455644]","[5, 0.4620642002627927]","[5, 0.1642390301876149]","[4, 0.006976418818847717]"
Child gaze:parent,"[2, 3.121314368061674e-06]","[100, 100]","[2, 1.1794931021890857e-11]","[0, 1]","[2, 0.009727363522332787]","[5, 0.03115232373829574]","[1, 0.01824105077834885]","[2, 0.0008020970940667044]","[2, 2.919428461158856e-06]","[1, 0.011568919154220631]","[2, 0.17449305318613548]","[1, 0.05243410650478343]","[1, 1.0]","[4, 0.10530630270294077]","[2, 0.9832305061550585]","[5, 0.10373725350589129]","[2, 0.077076413396684]","[1, 0.24864340072135332]","[3, 0.3811362482499098]","[4, 0.02282131183477769]","[2, 0.9832305061550585]","[100, 100]","[2, 0.066563404182814]","[5, 0.5994948250738107]","[5, 0.1875077096587024]","[3, 0.0067272448457155135]","[100, 100]","[1, 0.00959778914166838]","[4, 0.012522883215203309]","[4, 4.466809560748548e-07]","[3, 0.07316368435688876]","[2, 0.5824167627289912]","[2, 0.6900836882407134]","[1, 0.3905449434824827]","[3, 0.02744680917515238]","[1, 0.2928182526955174]","[1, 0.013273889559595001]","[3, 0.0019705622468292714]","[5, 0.6349865818486684]","[5, 0.11783814292585]"
Child gaze:props,"[1, 0.04628023259102814]","[100, 100]","[2, 0.002820839692730601]","[1, 0.002057481100026238]","[0, 1]","[3, 0.9999854982442983]","[1, 0.41984444854338765]","[1, 1.0]","[5, 0.6582455779166196]","[1, 1.0]","[4, 0.09057735697572425]","[5, 0.36519825290193836]","[1, 0.9601857093726271]","[1, 0.24307770426372724]","[3, 0.008182394074272783]","[5, 0.09594786191188383]","[1, 0.2630112855446904]","[1, 0.0029218931334710437]","[5, 0.8252310795827316]","[5, 0.12181685057983356]","[3, 0.008182394074272783]","[100, 100]","[1, 0.9435303446020975]","[5, 0.1985785190550907]","[2, 0.4461101420115233]","[4, 0.034180524588208895]","[100, 100]","[5, 0.015891571997408753]","[4, 0.0023398031665364163]","[4, 0.004216779434802103]","[1, 0.1805215422211463]","[5, 0.24785931090181174]","[3, 0.013497546569285174]","[4, 0.01068220726584489]","[3, 0.27612125805555565]","[4, 0.12195608706875204]","[1, 0.20678274689284074]","[1, 0.13446552483237595]","[4, 0.01776941160173331]","[1, 0.020065220978026297]"
Child affect:positive 1,"[2, 0.5199825384940739]","[100, 100]","[5, 0.3764419891922734]","[3, 0.02621232314353927]","[5, 0.24870675692229702]","[0, 1]","[1, 0.005056383528057919]","[3, 0.030243118175861478]","[3, 4.130449934207766e-07]","[1, 0.0028335897937755094]","[3, 0.15846322811967534]","[1, 0.03552935300477985]","[5, 0.00046071232996963506]","[2, 0.16760418075108643]","[1, 0.09631482377799397]","[2, 0.060951704369095826]","[5, 0.16946000769274716]","[3, 0.01979386252961317]","[2, 0.007119849659488547]","[4, 0.052041931374390026]","[1, 0.09631482377799397]","[100, 100]","[2, 0.9950454176300514]","[1, 0.013365476772160736]","[2, 0.35610792340172986]","[4, 0.10867820004583884]","[100, 100]","[4, 0.08844895428805692]","[2, 0.07285271057819787]","[1, 0.3386806455715976]","[2, 0.35610792340172986]","[4, 0.7105353907641758]","[4, 0.21979639559510067]","[3, 0.10629321332950763]","[1, 0.3825273542318991]","[5, 0.10944866101429687]","[5, 0.8403164225553298]","[5, 0.17739984648411963]","[4, 0.021254694873594843]","[4, 0.21625958994124617]"
Child affect:positive 2,"[1, 0.045257347872810626]","[100, 100]","[4, 0.03832129923515073]","[2, 0.06479115681628264]","[1, 0.4200056561598927]","[1, 0.006667636966233265]","[0, 1]","[5, 1.3856746681641546e-05]","[1, 0.37947438688312385]","[5, 0.9965393403564395]","[1, 0.12359367376787753]","[2, 0.04438105770969649]","[1, 1.0]","[1, 1.0]","[5, 0.9996583421003148]","[2, 0.04458931160017035]","[1, 0.02891528887672153]","[1, 0.4430776300231125]","[2, 9.012045186928297e-05]","[1, 0.18067303728703654]","[5, 0.9996583421003148]","[100, 100]","[1, 1.0]","[5, 0.5026278384118761]","[5, 0.6666367806934117]","[1, 0.28901081740021234]","[100, 100]","[1, 1.0]","[3, 0.3153882486409881]","[2, 0.5035481456910289]","[5, 0.9998880312925763]","[4, 0.038366322968947826]","[2, 0.41177515053095615]","[5, 0.9992560398976376]","[1, 0.3470089705982907]","[5, 0.9999833995435361]","[4, 0.5776476128914446]","[4, 0.05743384491880923]","[3, 0.251746298179316]","[2, 0.13640971555360656]"
Child affect:positive 3,"[2, 0.08449558745034574]","[100, 100]","[1, 0.03942849539047559]","[3, 0.07303942223916401]","[1, 1.0]","[5, 0.7019941555588756]","[4, 2.6549372820927593e-11]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 7.307093601995998e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00038003044013382295]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.03340036432444694]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[1, 7.396517617029976e-05]","[100, 100]","[5, 0.00046368278283601]","[2, 1.550579443005273e-06]","[5, 8.179561441753964e-10]","[2, 0.09734246972124465]","[1, 0.008008132512312353]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 0.05561941171261264]","[1, 0.03789956908993379]","[1, 0.03789956908993379]","[4, 0.08226489320820773]","[3, 0.1615271260093396]","[1, 0.0047036568009736065]","[2, 0.43704681553256275]","[3, 0.09584541581601207]","[5, 0.4518582570592711]","[1, 0.26985404169994465]","[3, 0.1615271260093396]","[100, 100]","[2, 0.01308698425443649]","[1, 1.180528317283731e-06]","[1, 0.1444961982810737]","[5, 0.07823681582026425]","[100, 100]","[3, 0.016991575231379636]","[5, 0.22884015403371127]","[5, 0.0027517592557890535]","[2, 2.9947118625075335e-05]","[4, 0.9846449018944411]","[5, 0.999998775088553]","[5, 0.7074260909348501]","[1, 0.01864465188060152]","[1, 0.23316226250145333]","[1, 0.005345217645699793]","[5, 0.26921453942036155]","[3, 0.21848173873476756]","[2, 0.00014614725417065648]"
Child affective touch:affective touch,"[5, 0.01870182056840089]","[100, 100]","[1, 0.0402000206124662]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.05307458543937806]","[3, 0.08641424339353775]","[1, 1.0]","[4, 0.0004993992273873204]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.0002787050934170853]","[1, 1.0]","[2, 0.0018320392626261202]","[100, 100]","[1, 1.0]","[2, 4.374920848756833e-05]","[2, 0.0004338302875479768]","[1, 1.0]","[1, 1.0]","[2, 9.54756311555082e-11]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.10543571408132019]","[1, 1.0]","[1, 1.0]"
