,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.44
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,4.94
2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,5.44
3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5.94
4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,6.44
5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,6.94
6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7.44
7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7.94
8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,8.440000000000001
9,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,8.940000000000001
10,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,9.440000000000001
11,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,9.940000000000001
12,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,10.440000000000001
13,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,10.940000000000001
14,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,11.440000000000001
15,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,11.940000000000001
16,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,12.440000000000001
17,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,12.940000000000001
18,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,13.440000000000001
19,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,13.940000000000001
20,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,14.440000000000001
21,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,14.940000000000001
22,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,15.440000000000001
23,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,15.940000000000001
24,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,16.44
25,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,16.94
26,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,17.44
27,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,17.94
28,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,18.44
29,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,18.94
30,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,19.44
31,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,19.94
32,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,20.44
33,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,20.94
34,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,21.44
35,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,21.94
36,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,22.44
37,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,22.94
38,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,23.44
39,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,23.94
40,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,24.44
41,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,24.94
42,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,25.44
43,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,25.94
44,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,26.44
45,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,26.94
46,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,27.44
47,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,27.94
48,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,28.44
49,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,28.94
50,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,29.44
51,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,29.94
52,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,30.44
53,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,30.94
54,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,31.44
55,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,31.94
56,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,32.44
57,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,32.94
58,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,33.44
59,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,33.94
60,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,34.44
61,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,34.94
62,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,35.44
63,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,35.94
64,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,36.44
65,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,36.94
66,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,37.44
67,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,37.94
68,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,38.44
69,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,38.94
70,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,39.44
71,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,39.94
72,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,40.44
73,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,40.94
74,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,41.44
75,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,41.94
76,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,42.44
77,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,42.94
78,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,43.44
79,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,43.94
80,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,44.44
81,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,44.94
82,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,45.44
83,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,45.94
84,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,46.44
85,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,46.94
86,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,47.44
87,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,47.94
88,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,48.44
89,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,48.94
90,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,49.44
91,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,49.94
92,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,50.44
93,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,50.94
94,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,51.44
95,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,51.94
96,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,52.44
97,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,52.94
98,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,53.44
99,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,53.94
100,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,54.44
101,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,54.94
102,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,55.44
103,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,55.94
104,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,56.44
105,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,56.94
106,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,57.44
107,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,57.94
108,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,58.44
109,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,58.94
110,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,59.44
111,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,59.94
112,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,60.44
113,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,60.94
114,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,61.44
115,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,61.94
116,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,62.44
117,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,62.94
118,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,63.44
119,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,63.94
120,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,64.44
121,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,64.94
122,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,65.44
123,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,65.94
124,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,66.44
125,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,66.94
126,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,67.44
127,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,67.94
