,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:put down,robot text:positive feedback,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[5, 0.8637064446247783]","[4, 0.5352213100156586]","[100, 100]","[1, 0.25241903480246297]","[3, 0.577877630772045]","[1, 6.145740480302126e-06]","[2, 0.07450572228267065]","[2, 0.0012810112441673468]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.48933808868187956]","[100, 100]","[100, 100]","[3, 0.023186135330814334]","[5, 0.32207820584372066]","[1, 1.0]","[1, 0.38772760600313405]","[3, 0.004247075515268565]","[1, 0.009648912093156114]","[2, 0.48933808868187956]","[100, 100]","[100, 100]","[100, 100]","[1, 0.28497139880047373]","[100, 100]","[2, 0.0952039291501349]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.07287940268820532]","[2, 0.6437592444075093]","[3, 0.8370612377086792]","[4, 0.40499190423672576]","[1, 0.45041149312784656]","[4, 0.5352213100156586]","[100, 100]"
Child gaze:robot,"[2, 0.2872697118358762]","[0, 1]","[5, 1.4787887107331643e-05]","[100, 100]","[2, 0.3911387379346053]","[1, 0.6655908254079916]","[3, 0.07847587799046171]","[3, 0.5160069877244007]","[3, 0.009432818238006051]","[3, 2.040149977887909e-05]","[3, 0.027720047419391335]","[100, 100]","[2, 0.021549708033043447]","[100, 100]","[100, 100]","[2, 0.03114348037351565]","[2, 0.5718913056498218]","[1, 0.0096304308263963]","[2, 0.00182436780628933]","[4, 0.9306466868529316]","[1, 0.14032418642689473]","[2, 0.021549708033043447]","[100, 100]","[100, 100]","[100, 100]","[3, 0.25001727812268054]","[100, 100]","[4, 0.016737770569962306]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.3410178299620403]","[3, 0.22641573853354782]","[4, 0.0064147480069125075]","[2, 0.0008774304897456642]","[1, 0.5451604766923603]","[5, 1.4787887107331643e-05]","[100, 100]"
Child gaze:props,"[5, 0.714631988517628]","[5, 1.4391434652576815e-06]","[0, 1]","[100, 100]","[1, 1.0]","[5, 0.00017696784481254272]","[1, 1.0]","[5, 0.0917044423926246]","[4, 5.453906005247597e-05]","[1, 1.0]","[5, 2.6410201677439198e-15]","[100, 100]","[1, 1.3893469541140892e-15]","[100, 100]","[100, 100]","[1, 0.26277409875234853]","[3, 0.9849674402673921]","[1, 1.0]","[3, 0.0016859973244709567]","[1, 1.0]","[1, 1.0]","[1, 1.3893469541140892e-15]","[100, 100]","[100, 100]","[100, 100]","[4, 0.2382181002309182]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.007933581927816515]","[4, 0.09337782711434973]","[5, 4.440792539789257e-10]","[1, 1.0]","[3, 0.9819725327248859]","[100, 100]","[100, 100]"
Child gaze:parent,"[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[3, 0.7446696340451611]","[1, 0.16091562942452395]","[1, 1.0]","[100, 100]","[0, 1]","[1, 1.0]","[4, 0.013361722676583476]","[5, 0.3519954449226991]","[5, 0.7231308244178904]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.6167862693703335]","[3, 0.004956570631509903]","[1, 1.0]","[4, 0.28386836432808943]","[3, 5.171461319004547e-06]","[3, 0.0005955598893795939]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[3, 0.0022862458689847324]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.49173136391423733]","[1, 1.0]","[1, 0.9863311485471704]","[3, 0.1068733401202833]","[3, 0.0019744643653609355]","[1, 1.0]","[100, 100]"
Child affect:positive 2,"[2, 0.10456541738206013]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[0, 1]","[1, 1.0]","[5, 7.136227323195294e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00011838858567732774]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[4, 9.038445133828129e-05]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[2, 0.0006338892117716624]","[1, 1.0]","[2, 9.431753104603031e-06]","[1, 1.0]","[1, 1.0]","[100, 100]"
Child affect:positive 3,"[5, 0.002106870365431979]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[0, 1]","[1, 1.0]","[5, 0.2926141305338652]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.1104784857425869]","[5, 0.4352646178481304]","[1, 1.0]","[2, 0.010955300361623021]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[4, 7.25722609608505e-11]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.13241067536020212]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.37016402491214595]","[1, 1.0]","[100, 100]"
Child gesture:point at prop,"[1, 3.322586593958978e-05]","[4, 0.3205686831100985]","[1, 1.0]","[100, 100]","[2, 0.04965008201697217]","[3, 0.8134374726145619]","[1, 1.0]","[0, 1]","[2, 0.24854493966706265]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 0.3205477106922875]","[5, 0.0343399042570663]","[1, 1.0]","[3, 0.9999999942307167]","[5, 2.6895564681615117e-11]","[1, 0.01767738199284012]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[3, 0.314182536137958]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.453770305226181]","[2, 0.029548002626252252]","[1, 0.983818581033817]","[2, 0.004516580942612666]","[5, 0.011281584860894244]","[1, 1.0]","[100, 100]"
Parent utterance:utterance,"[2, 0.056870901735395885]","[1, 0.05158594179051179]","[2, 0.0018453830075235264]","[100, 100]","[3, 0.9924270517265298]","[1, 1.0]","[5, 0.03218451519634717]","[3, 0.971613715217367]","[0, 1]","[5, 0.9994282568422058]","[5, 0.25589592515943815]","[100, 100]","[5, 0.0732842776951537]","[100, 100]","[100, 100]","[2, 0.2211400626487736]","[2, 0.7427166589880874]","[1, 1.0]","[1, 0.29406851962809083]","[3, 0.004136139707326233]","[5, 0.08638915112444963]","[5, 0.0732842776951537]","[100, 100]","[100, 100]","[100, 100]","[2, 0.2262310151425437]","[100, 100]","[4, 0.0032554295369475045]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.021420457709449062]","[5, 0.19175862341438438]","[5, 0.4786966683454503]","[5, 0.6347016151580531]","[2, 0.7557855993259868]","[2, 0.0018453830075235264]","[100, 100]"
Parent utterance:missing data,"[1, 1.0]","[3, 0.00013280962075293265]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.3595939602894573]","[0, 1]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.503642787173813]","[2, 0.3211258007117355]","[4, 1.1047966094489735e-27]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[5, 0.022060599210853238]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.029192005944713783]","[1, 1.0]","[1, 1.0]","[1, 0.677750162078552]","[1, 1.0]","[100, 100]"
