,total time,count,normalized total time,normalized count
Child affect,152.12,16,1.5067353407290016,0.15847860538827258
Child gaze,271.88,62,2.6929477020602217,0.6141045958795562
Child gesture,45.64,15,0.4520602218700475,0.14857369255150554
Child prop manipulation,52.16,13,0.5166402535657686,0.12876386687797145
Child utterance,1.96,4,0.019413629160063388,0.039619651347068144
Conversational turns,92.98000000000002,15,0.9209587955625992,0.14857369255150554
Joint attention,164.22,51,1.6265847860538827,0.5051505546751188
Mutual gaze,1.5200000000000387,2,0.015055467511886278,0.019809825673534072
Non-verbal scaffolding,8.64,4,0.08557844690966719,0.039619651347068144
Parent affect,137.84,10,1.3652931854199681,0.09904912836767035
Parent affective touch,5.24,1,0.05190174326465927,0.009904912836767036
Parent gaze,266.0,72,2.6347068145800314,0.7131537242472266
Parent gesture,6.800000000000001,3,0.06735340729001585,0.029714738510301108
Parent prop manipulation,5.16,3,0.051109350237717906,0.029714738510301108
Parent utterance,75.08,40,0.743660855784469,0.3961965134706814
Verbal scaffolding,40.12,19,0.3973851030110934,0.18819334389857367
robot pointing,18.24,8,0.18066561014263072,0.07923930269413629
robot text,155.9,43,1.5441759112519808,0.4259112519809825
CP,7.660000000000053,3,0.07587163232963602,0.029714738510301108
CPC,16.19999999999999,2,0.16045958795562587,0.019809825673534072
MG,1.5200000000000387,2,0.015055467511886278,0.019809825673534072
PC,34.83999999999995,6,0.345087163232963,0.059429477020602216
PCP,34.28000000000003,4,0.3395404120443743,0.039619651347068144
affective,7.12,6,0.0705229793977813,0.059429477020602216
affective touch,5.24,1,0.05190174326465927,0.009904912836767036
child,84.03999999999999,29,0.8324088748019016,0.28724247226624405
cognitive,38.4,15,0.38034865293185416,0.14857369255150554
correction,11.32,5,0.11212361331220284,0.049524564183835176
missing data,29.079999999999973,10,0.2880348652931851,0.09904912836767035
other,6.44,4,0.06378763866877972,0.039619651347068144
other vocalization,2.24,2,0.022187004754358162,0.019809825673534072
parent,7.2,5,0.07131537242472266,0.049524564183835176
pick up,26.84,12,0.26584786053882725,0.11885895404120443
point at prop,70.68,26,0.7000792393026941,0.2575277337559429
positive 1,224.16,20,2.220285261489699,0.1980982567353407
positive 2,65.8,6,0.6517432646592709,0.059429477020602216
positive feedback,12.92,5,0.1279714738510301,0.049524564183835176
props,288.03999999999996,79,2.8530110935023765,0.7824881141045958
put down,16.16,7,0.1600633914421553,0.06933438985736926
robot,352.62000000000006,80,3.4926703645007926,0.7923930269413628
song,65.5,1,0.6487717908082409,0.009904912836767036
teach,8.56,4,0.08478605388272584,0.039619651347068144
technical,3.24,2,0.032091917591125195,0.019809825673534072
try again,8.16,5,0.08082408874801901,0.049524564183835176
utterance,73.24,40,0.7254358161648177,0.3961965134706814
Child affect:positive 1,114.11999999999999,13,1.130348652931854,0.12876386687797145
Child affect:positive 2,38.0,3,0.37638668779714735,0.029714738510301108
Child gaze:missing data,8.56,2,0.08478605388272584,0.019809825673534072
Child gaze:parent,2.04,2,0.020206022187004753,0.019809825673534072
Child gaze:props,105.84,29,1.048335974643423,0.28724247226624405
Child gaze:robot,155.44,29,1.539619651347068,0.28724247226624405
Child gesture:point at prop,45.64,15,0.4520602218700475,0.14857369255150554
Child prop manipulation:child,52.16,13,0.5166402535657686,0.12876386687797145
Child utterance:utterance,1.96,4,0.019413629160063388,0.039619651347068144
Conversational turns:CP,7.660000000000053,3,0.07587163232963602,0.029714738510301108
Conversational turns:CPC,16.19999999999999,2,0.16045958795562587,0.019809825673534072
Conversational turns:PC,34.83999999999995,6,0.345087163232963,0.059429477020602216
Conversational turns:PCP,34.28000000000003,4,0.3395404120443743,0.039619651347068144
Joint attention:missing data,6.279999999999973,3,0.06220285261489671,0.029714738510301108
Joint attention:props,73.19999999999999,26,0.7250396196513469,0.2575277337559429
Joint attention:robot,84.74000000000004,22,0.839342313787639,0.2179080824088748
Mutual gaze:MG,1.5200000000000387,2,0.015055467511886278,0.019809825673534072
Non-verbal scaffolding:cognitive,6.800000000000001,3,0.06735340729001585,0.029714738510301108
Non-verbal scaffolding:technical,1.84,1,0.018225039619651346,0.009904912836767036
Parent affect:positive 1,110.03999999999999,7,1.0899366085578446,0.06933438985736926
Parent affect:positive 2,27.8,3,0.2753565768621236,0.029714738510301108
Parent affective touch:affective touch,5.24,1,0.05190174326465927,0.009904912836767036
Parent gaze:child,31.88,16,0.3157686212361331,0.15847860538827258
Parent gaze:missing data,12.68,3,0.125594294770206,0.029714738510301108
Parent gaze:props,109.0,24,1.079635499207607,0.23771790808240886
Parent gaze:robot,112.44,29,1.1137083993660855,0.28724247226624405
Parent gesture:point at prop,6.800000000000001,3,0.06735340729001585,0.029714738510301108
Parent prop manipulation:parent,5.16,3,0.051109350237717906,0.029714738510301108
Parent utterance:missing data,1.56,2,0.015451664025356577,0.019809825673534072
Parent utterance:other vocalization,2.24,2,0.022187004754358162,0.019809825673534072
Parent utterance:utterance,71.28,36,0.7060221870047543,0.3565768621236133
Verbal scaffolding:affective,7.12,6,0.0705229793977813,0.059429477020602216
Verbal scaffolding:cognitive,31.6,12,0.31299524564183834,0.11885895404120443
Verbal scaffolding:technical,1.4,1,0.013866877971473849,0.009904912836767036
robot pointing:point at prop,18.24,8,0.18066561014263072,0.07923930269413629
robot text:correction,11.32,5,0.11212361331220284,0.049524564183835176
robot text:other,6.44,4,0.06378763866877972,0.039619651347068144
robot text:pick up,26.84,12,0.26584786053882725,0.11885895404120443
robot text:positive feedback,12.92,5,0.1279714738510301,0.049524564183835176
robot text:put down,16.16,7,0.1600633914421553,0.06933438985736926
robot text:song,65.5,1,0.6487717908082409,0.009904912836767036
robot text:teach,8.56,4,0.08478605388272584,0.039619651347068144
robot text:try again,8.16,5,0.08082408874801901,0.049524564183835176
