,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:tablet,Parent affect:positive 1,Parent affect:positive 3,Parent affect:positive 2,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[3, 0.02994394639174716]","[1, 0.9934261622591326]","[5, 0.2566849182616343]","[4, 0.6832452911216043]","[2, 2.439050593908688e-05]","[1, 0.1486714545644764]","[2, 0.39633292151091115]","[1, 1.0]","[1, 0.02339427604311807]","[1, 1.0]","[2, 0.03149014702910097]","[1, 1.0]","[2, 0.008208307213906476]","[3, 0.005614326643909128]","[2, 0.008215742967304462]","[3, 0.15152082051114713]","[2, 0.10057810229851571]","[2, 0.1015046311492953]","[100, 100]","[1, 1.0]","[1, 0.13194250403672902]","[2, 0.31892560881666027]","[100, 100]","[2, 2.4390505939087888e-05]","[2, 0.12667962785864634]","[3, 0.1860702415638647]","[3, 0.5514305926518757]","[2, 0.01575405910765933]","[5, 7.929075197707808e-07]","[5, 0.01546495295080127]","[5, 0.0514038384194774]","[5, 0.00453098633072621]","[2, 0.004237599444472801]","[100, 100]"
Child gaze:tablet,"[4, 0.049177765929065066]","[0, 1]","[2, 2.098771297518484e-11]","[4, 0.02184488302145209]","[1, 0.0004122764368008009]","[1, 1.0]","[3, 0.08674468803216999]","[2, 0.9148895677169191]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.04656551142644504]","[2, 0.004815138409536637]","[5, 0.006661577168195294]","[2, 0.004315745717465407]","[4, 0.4138931264807869]","[1, 1.0]","[100, 100]","[5, 1.2871760534793766e-06]","[1, 1.0]","[1, 0.10673820236667558]","[100, 100]","[3, 0.9999998992290481]","[1, 0.030070397909816513]","[1, 1.0]","[4, 0.0006474722632271073]","[3, 0.9925945917510234]","[2, 0.9999978251142337]","[2, 0.10115628344168148]","[2, 0.9999960836468321]","[1, 1.0]","[4, 0.0027058063982596885]","[100, 100]"
Child gaze:parent,"[1, 0.9934225927123697]","[5, 2.44559513838311e-07]","[0, 1]","[1, 0.9917543570404939]","[5, 0.007929539731386402]","[1, 1.0]","[1, 0.005638370521960803]","[2, 0.6486198427978752]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 4.4846580337572e-05]","[2, 5.0985282455641884e-05]","[3, 0.005676635010845536]","[2, 0.9998927216619347]","[2, 0.011319458767321112]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.003669795760381497]","[100, 100]","[3, 0.9999844208892765]","[3, 5.8399350018449586e-06]","[1, 1.0]","[4, 0.06846411376393366]","[1, 1.0]","[1, 0.9927282563606279]","[1, 0.9934225927123697]","[1, 0.9902430683803431]","[1, 1.0]","[2, 0.0006467053095957772]","[100, 100]"
Child affect:positive 2,"[4, 0.014388291683034387]","[5, 0.026309532134104686]","[1, 0.9917578735625124]","[0, 1]","[1, 0.0007474941750301098]","[1, 1.0]","[3, 0.62749029044747]","[1, 0.9995639353017466]","[3, 0.0009009259975682849]","[3, 0.04411718538865107]","[1, 1.0]","[1, 0.9994079501275035]","[4, 0.0024711881670428423]","[1, 0.9970400607522305]","[1, 0.9973134616524075]","[5, 0.6697810146590759]","[2, 0.00013157887496365836]","[1, 0.9967258912910272]","[4, 0.4496528695977664]","[100, 100]","[1, 1.0]","[2, 0.1678681287879213]","[4, 0.08290203913956837]","[100, 100]","[3, 0.9999984599957603]","[4, 0.010496849091154774]","[1, 1.0]","[3, 0.000860898237983285]","[1, 1.0]","[4, 0.12465417093314528]","[1, 0.9968433405305561]","[1, 0.9944489091249079]","[1, 1.0]","[3, 0.5734556287064825]","[100, 100]"
Child affect:positive 1,"[5, 0.0008640059640284871]","[1, 0.852343148997509]","[1, 0.010066265044106638]","[1, 0.09502412685051911]","[0, 1]","[4, 0.996084297863451]","[4, 0.25373073917578437]","[4, 0.2030960455419936]","[1, 0.9229769844047517]","[2, 0.3525422948853666]","[3, 0.019167464122305126]","[4, 0.026881954429247942]","[2, 0.9949040910675221]","[2, 0.3276828754345651]","[3, 0.40527856316882327]","[4, 0.047760980522690434]","[1, 0.1177095406108497]","[2, 0.36011782762773564]","[4, 0.11587001059856265]","[100, 100]","[5, 0.0010297261392974062]","[3, 0.1379076484587665]","[2, 0.07964397295783728]","[100, 100]","[3, 0.9999996590044362]","[3, 0.008003618757737873]","[3, 0.5824252885064765]","[2, 0.011264619273337577]","[3, 0.00039922390951656247]","[5, 0.022683467342803243]","[3, 0.1527746894297714]","[1, 0.04793548212260183]","[2, 0.006899875619459036]","[3, 0.40434856469318803]","[100, 100]"
Child gesture:point at prop,"[4, 0.00020546567623172798]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 8.115589278106624e-05]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.0031666386066631683]","[2, 0.006112642060788324]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00029605570342931527]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Parent utterance:utterance,"[5, 0.16905399977610056]","[1, 0.47405664962522454]","[1, 0.005466108235717515]","[3, 0.222756557367826]","[1, 0.15491264274945354]","[1, 0.07484295289878772]","[0, 1]","[5, 0.053402577127496444]","[5, 0.3259290879434588]","[4, 0.04841678972489955]","[5, 0.13500431761942955]","[1, 0.09538165865853493]","[4, 0.04141537877273942]","[2, 0.4085302407780721]","[5, 0.0003212846185355646]","[5, 0.02114954169143914]","[1, 0.012316741545002608]","[5, 0.03281594149646224]","[4, 0.09171830648400991]","[100, 100]","[5, 0.08471878979457739]","[4, 0.44630861958043455]","[4, 0.03221041456942226]","[100, 100]","[3, 0.38143416665208935]","[4, 0.006931112388147705]","[4, 0.0074237757611379735]","[5, 0.003770708712504221]","[5, 0.8789899294038018]","[3, 0.1965475739775242]","[1, 0.5413361432649255]","[3, 0.3108417759714755]","[5, 0.09519217642874209]","[5, 0.0009520996988872489]","[100, 100]"
Verbal scaffolding:cognitive,"[5, 0.47562258379402644]","[4, 0.14768563676150218]","[5, 8.699610430814597e-05]","[3, 0.9959935581553414]","[2, 0.16793281668275653]","[1, 1.0]","[2, 0.8258701673581684]","[0, 1]","[4, 0.989090790805914]","[1, 1.0]","[5, 0.8988085760541494]","[4, 0.0005533459238532694]","[4, 0.9901232340047151]","[2, 0.2673672091717586]","[1, 0.025015967275517345]","[2, 0.014842239118821172]","[1, 1.0]","[1, 0.3004785798201386]","[4, 0.05913183805422748]","[100, 100]","[1, 1.0]","[3, 0.999168011107103]","[4, 0.0001518174713218317]","[100, 100]","[1, 1.0]","[4, 3.6551400889261474e-05]","[3, 0.08846511808533182]","[4, 0.23999303703911407]","[4, 0.008573994663099166]","[3, 0.040890387465502276]","[4, 0.9541176970897246]","[3, 0.499787254000328]","[5, 0.0006329038858978671]","[1, 0.13100015154378336]","[100, 100]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.2267985769035896]","[1, 0.02340852950725096]","[0, 1]","[1, 1.0]","[1, 1.0]","[5, 0.004835492052705202]","[5, 1.0574664254486227e-24]","[1, 1.0]","[1, 1.0]","[3, 0.14634386769568344]","[1, 1.0]","[1, 1.0]","[5, 0.00043411974381448874]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.022565142489139885]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]"
Verbal scaffolding:affective,"[3, 0.033633330702419875]","[1, 1.0]","[1, 1.0]","[1, 0.004354071110722922]","[2, 0.28695601206527904]","[1, 1.0]","[1, 0.37458901211999973]","[1, 1.0]","[4, 5.0796345014415466e-06]","[0, 1]","[1, 1.0]","[1, 1.0]","[4, 0.0010554773621482846]","[5, 0.13011348055125518]","[5, 0.010700623193388258]","[4, 0.00841504217471619]","[1, 1.0]","[2, 0.002369321813223381]","[4, 0.3974039259009466]","[100, 100]","[1, 1.0]","[2, 0.20795729451110834]","[2, 0.20923392046690822]","[100, 100]","[1, 1.0]","[2, 0.05944018238871221]","[1, 1.0]","[4, 0.08851520381545387]","[4, 0.1276063291038492]","[3, 0.0099236402736098]","[4, 0.07065477098197745]","[1, 1.0]","[5, 6.683000502699296e-08]","[5, 0.014106664882709452]","[100, 100]"
