,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:other,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Child prop manipulation:missing data,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[4, 0.4847727639316415]","[100, 100]","[1, 0.27251105738629133]","[2, 0.23505756895650043]","[1, 1.0]","[2, 0.3357927425714269]","[100, 100]","[2, 0.8068599558956205]","[100, 100]","[1, 0.31664913925349264]","[1, 0.316649139253503]","[100, 100]","[4, 0.010220065711014874]","[100, 100]","[1, 0.24460279246505523]","[1, 0.2589057556777461]","[100, 100]","[5, 0.9999599850261522]","[2, 0.041570271014803824]","[1, 1.0]","[100, 100]","[4, 0.010220065711014874]","[1, 1.0]","[4, 0.8184733069093666]","[100, 100]","[4, 5.218831893479358e-05]","[2, 0.17732692465896602]","[100, 100]","[3, 0.08032023705893572]","[2, 0.35062230456916615]","[5, 0.033405941464895214]","[3, 0.6135834181223414]","[2, 0.2866070852492638]","[4, 0.1579668059346943]","[4, 0.1605263155993102]","[4, 0.014117517253916186]","[1, 0.4564597462011276]","[1, 0.24460279246505523]","[100, 100]"
Child gaze:tablet,"[5, 0.488755292957181]","[0, 1]","[100, 100]","[2, 2.0519938285720524e-10]","[3, 2.563056117829495e-06]","[1, 1.0]","[2, 0.16144501748400153]","[100, 100]","[5, 0.08114510272931882]","[100, 100]","[1, 1.0]","[4, 0.12662876217984062]","[100, 100]","[1, 1.0]","[100, 100]","[2, 0.892053585129523]","[1, 0.9931645597265992]","[100, 100]","[5, 6.274091415994958e-22]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.15205266529419975]","[3, 0.00013079161941900405]","[1, 0.23395181959477734]","[4, 0.001289933477326988]","[1, 0.001558336296029989]","[2, 0.7018544771656242]","[2, 0.892053585129523]","[100, 100]"
Child gaze:parent,"[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[1, 0.2739399056126084]","[3, 0.9719993153807656]","[100, 100]","[0, 1]","[4, 0.9984512018797985]","[3, 0.9733884048576148]","[1, 0.23414135386337398]","[100, 100]","[1, 0.4301235036004154]","[100, 100]","[1, 1.0]","[3, 0.0006379302974461355]","[100, 100]","[1, 1.0]","[100, 100]","[4, 0.12131636444246684]","[2, 0.0006016985766028527]","[100, 100]","[1, 5.36153448538013e-05]","[3, 2.0241692136161022e-05]","[3, 0.00032816384355573126]","[100, 100]","[1, 1.0]","[1, 5.36153448538013e-05]","[1, 0.1339276567141392]","[100, 100]","[1, 1.0]","[5, 0.0801715843153784]","[100, 100]","[1, 1.0]","[5, 0.00031221402689033095]","[4, 0.2766665809874228]","[4, 0.3441634241468644]","[1, 0.011866558561847986]","[1, 0.00253155367298245]","[3, 0.9990182870696588]","[1, 0.04619803433801944]","[3, 0.999999668987656]","[4, 0.12131636444246684]","[100, 100]"
Child affect:positive 2,"[5, 0.01908945711811567]","[5, 4.6997153326217165e-06]","[100, 100]","[3, 0.03202421373950112]","[0, 1]","[1, 1.0]","[2, 0.16870879584203896]","[100, 100]","[1, 0.21083890852519355]","[100, 100]","[1, 1.0]","[5, 0.2059422687431905]","[100, 100]","[1, 1.0]","[100, 100]","[5, 0.015249571482086614]","[4, 0.00023625971984246952]","[100, 100]","[1, 1.0]","[2, 2.597169916442219e-10]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.01657580053473493]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.0012096898139463005]","[3, 0.04817964281459746]","[1, 1.0]","[5, 1.1044554413133595e-05]","[2, 0.09619592154389332]","[1, 0.001565402258002549]","[5, 0.006519557654022805]","[5, 0.015249571482086614]","[100, 100]"
Child affect:positive 3,"[1, 1.0]","[1, 1.0]","[100, 100]","[1, 5.361534485380197e-05]","[1, 1.0]","[0, 1]","[1, 1.0]","[100, 100]","[2, 0.051936360588843905]","[100, 100]","[1, 1.0]","[5, 1.6450287755805537e-08]","[100, 100]","[1, 1.0]","[100, 100]","[4, 0.005775760506344978]","[3, 6.263574221946824e-07]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 3.0677183813886618e-31]","[100, 100]","[1, 1.0]","[5, 4.721263671853077e-148]","[3, 0.009715037492578408]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 5.361534485380197e-05]","[5, 8.648731765263491e-10]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.005775760506344978]","[100, 100]"
Child gesture:point at prop,"[3, 0.1371556292806229]","[5, 0.11108478006126062]","[100, 100]","[2, 0.9938286872148394]","[5, 0.5857229283465811]","[1, 1.0]","[0, 1]","[100, 100]","[4, 0.34845779419128936]","[100, 100]","[5, 0.7949095638612573]","[5, 0.9999922431909204]","[100, 100]","[2, 0.021099492524518884]","[100, 100]","[3, 0.7523240102570171]","[4, 0.4180626810982335]","[100, 100]","[1, 0.9027601664145137]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.02109949252451945]","[1, 1.0]","[1, 0.3144553961672458]","[100, 100]","[2, 0.0003330502068582204]","[3, 0.00423162815727461]","[100, 100]","[1, 0.9027601664145137]","[3, 0.49661013130619336]","[5, 0.1204532854855866]","[1, 0.25460688874871984]","[4, 0.4659659959649005]","[1, 0.29210360612550546]","[1, 0.39672644732487516]","[3, 0.61711205287637]","[4, 0.18884159698223207]","[3, 0.7523240102570171]","[100, 100]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[3, 0.6615632848742945]","[3, 0.36931211877048176]","[100, 100]","[1, 0.09854911874131986]","[1, 0.17500247515437445]","[3, 0.16434139052052105]","[4, 0.28425956694218674]","[100, 100]","[0, 1]","[100, 100]","[5, 0.0423419793247982]","[2, 0.4363203549724999]","[100, 100]","[3, 0.06223676775495189]","[100, 100]","[4, 0.023050240227124017]","[4, 0.10570278207960493]","[100, 100]","[1, 0.00031093325744957284]","[2, 0.027675377738606396]","[2, 0.04348621983054629]","[100, 100]","[4, 0.057252782643078065]","[4, 0.47508190318486576]","[3, 0.13174748993109087]","[100, 100]","[3, 0.010546678704806182]","[1, 0.18054267715401595]","[100, 100]","[4, 0.48846408995116064]","[5, 0.2822376572601413]","[4, 0.6074868853139567]","[5, 2.629262553103786e-05]","[5, 0.004233954128434595]","[4, 0.3522746977646945]","[2, 0.7659457210820045]","[4, 0.08759877376904751]","[1, 0.346641344386198]","[4, 0.023050240227124017]","[100, 100]"
Parent utterance:missing data,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Verbal scaffolding:cognitive,"[5, 0.284066140400752]","[2, 0.9999999999999765]","[100, 100]","[5, 0.6799632442402915]","[1, 1.0]","[1, 1.0]","[4, 0.6081363318030419]","[100, 100]","[2, 0.9530504141393258]","[100, 100]","[0, 1]","[4, 0.9998686000458092]","[100, 100]","[5, 0.9024222032288347]","[100, 100]","[2, 0.31891458103878406]","[1, 0.12247936672694626]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.033938280654824425]","[1, 1.0]","[5, 0.6240136512979988]","[100, 100]","[1, 1.0]","[1, 0.005964569423240059]","[100, 100]","[1, 1.0]","[5, 0.10095414780447595]","[1, 0.03665871576650355]","[5, 0.09632268409300485]","[5, 0.019041836215650147]","[4, 0.022201170291986795]","[1, 0.2254728560160515]","[1, 0.06936968199422462]","[1, 0.03665871576650436]","[2, 0.31891458103878406]","[100, 100]"
Verbal scaffolding:affective,"[2, 0.5945139826840777]","[5, 0.9999052018692207]","[100, 100]","[3, 0.26175785065311397]","[1, 0.01022227906640246]","[3, 1.112072253769082e-05]","[5, 0.7992543708231494]","[100, 100]","[3, 0.31378912842875345]","[100, 100]","[3, 0.500242670608668]","[0, 1]","[100, 100]","[3, 0.9323914400117601]","[100, 100]","[5, 0.0010649581174573667]","[5, 0.04814026708179884]","[100, 100]","[1, 1.0]","[4, 2.1524365521254837e-06]","[2, 4.070679491192222e-07]","[100, 100]","[5, 0.20847907284194644]","[4, 0.004153900517269703]","[5, 8.167712966860814e-05]","[100, 100]","[3, 0.0024938681311401346]","[4, 0.6774475802400377]","[100, 100]","[1, 1.0]","[4, 0.26425165110593185]","[2, 0.11348820842024755]","[5, 5.1763100180493154e-12]","[5, 0.0006453237108541721]","[4, 0.020602672085994353]","[3, 0.3518724006114799]","[4, 0.00036596539287208203]","[4, 0.1776032827876842]","[5, 0.0010649581174573667]","[100, 100]"
Verbal scaffolding:instruction translation,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Non-verbal scaffolding:cognitive,"[4, 0.013557361100221248]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.031057650365774136]","[100, 100]","[1, 0.011894478119378979]","[100, 100]","[3, 0.0005352466556351387]","[3, 0.9323914400117601]","[100, 100]","[0, 1]","[100, 100]","[2, 0.03478059536503512]","[1, 2.5670200073455903e-08]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 1.303676565090636e-11]","[1, 1.0]","[1, 0.01657580053473493]","[100, 100]","[3, 6.523112203023004e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 3.578889971452604e-06]","[4, 0.00593425549992132]","[1, 1.0]","[4, 0.20206732342954453]","[4, 0.25719471644770975]","[4, 0.019880770396931896]","[1, 1.0]","[2, 0.03478059536503512]","[100, 100]"
Non-verbal scaffolding:technical,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
