,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 3,Parent affect:positive 1,Parent affect:positive 2,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:song,robot text:other,robot text:teach,robot text:put down,robot text:pick up,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[0, 1]","[2, 0.19095165846810414]","[1, 0.12552538493335563]","[2, 0.04641639855992179]","[100, 100]","[5, 4.486029527886612e-05]","[3, 0.9999999258492147]","[2, 0.17484558496258185]","[3, 0.026962908943007898]","[5, 5.180926347811915e-15]","[5, 0.9999766621729469]","[1, 1.0]","[1, 0.06877899776610202]","[1, 1.0]","[3, 0.31536751348586345]","[2, 0.22845207348963809]","[2, 0.08844920728474653]","[1, 0.9934613228567828]","[4, 0.0032875438491118117]","[1, 1.0]","[1, 0.07689004062975735]","[1, 0.008237322378526273]","[1, 0.9397474879408485]","[1, 1.0]","[4, 0.6547108204634009]","[3, 0.00015219835061676211]","[100, 100]","[4, 0.3405072522252297]","[1, 1.0]","[5, 0.02325785094477381]","[1, 1.0]","[3, 0.9999999673396752]","[5, 2.315359769998682e-09]","[4, 3.2987231759057286e-12]","[5, 0.03079529401662445]","[4, 0.2731786810713672]","[2, 0.17051145498203407]","[2, 0.25047194717434934]","[100, 100]"
Child gaze:robot,"[2, 0.12132129743270308]","[0, 1]","[2, 5.0258641166718555e-27]","[4, 0.004024591367267544]","[100, 100]","[1, 0.10214825909901121]","[1, 0.1573574262951072]","[5, 0.008601935970373351]","[5, 0.13689261254346768]","[2, 0.9400910879443058]","[1, 0.006240735432708833]","[5, 0.0160149808868037]","[1, 0.6023980879584767]","[1, 0.044914011209514985]","[5, 0.03808831309885206]","[2, 0.13063970839060768]","[5, 0.0073017680211188265]","[2, 0.07242949746082292]","[2, 0.40003151587552377]","[2, 0.8203560806653658]","[1, 0.23246906773081547]","[2, 0.4901636276706558]","[4, 0.07988699646501113]","[2, 0.40993674627501586]","[5, 0.204221301365509]","[5, 0.1924962341125014]","[100, 100]","[5, 0.09986921000374933]","[5, 0.09946833542933334]","[1, 0.024942822654748755]","[2, 0.010758521750246466]","[5, 0.052466492862414275]","[2, 0.0861651253631836]","[1, 0.43721480538398494]","[1, 0.38169577880983974]","[3, 0.25350884057195994]","[3, 0.02427502886706496]","[5, 1.1973897226793364e-10]","[100, 100]"
Child gaze:props,"[1, 0.12021112677207846]","[2, 1.9560709642079404e-18]","[0, 1]","[5, 0.00022270279437318826]","[100, 100]","[2, 0.007042941194507118]","[2, 0.045451387192441454]","[1, 0.3454213834187988]","[1, 0.08080840200228613]","[3, 0.9403540436849475]","[5, 0.20718628068865652]","[4, 0.027105824493782786]","[5, 0.23183081568993774]","[1, 0.6976799171339684]","[2, 0.062076657245048496]","[5, 0.22196567220279695]","[5, 0.00014945960268221802]","[4, 0.003654653042065872]","[2, 0.6595363909784678]","[2, 0.7500488807283464]","[5, 0.26909665651236053]","[1, 0.29709999016203137]","[4, 0.2080473428891837]","[2, 0.3601306132916312]","[5, 0.08965648042955404]","[5, 0.5148407955692842]","[100, 100]","[4, 0.10142510310551889]","[1, 0.061887125574795324]","[2, 0.6407896786707452]","[2, 0.007650969250954092]","[5, 0.0004883288047430456]","[1, 0.3786269564701229]","[3, 0.3170941948229691]","[1, 0.8600958753276753]","[2, 0.9709036307932231]","[3, 6.174630103477676e-06]","[5, 0.26814824852394825]","[100, 100]"
Child gaze:parent,"[1, 0.007609234798964063]","[1, 0.020958762500014005]","[3, 0.2005167169990115]","[0, 1]","[100, 100]","[1, 0.9943635046550175]","[3, 0.8848378454558908]","[1, 0.36223914399301615]","[2, 0.27487027370221195]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9002746877329263]","[1, 1.0]","[4, 0.06876999705310463]","[5, 0.5194466541776055]","[4, 0.7010993487995485]","[5, 1.5795074027503925e-06]","[1, 0.995310320299954]","[1, 1.0]","[3, 0.9198603720283243]","[2, 9.745380894915274e-05]","[5, 0.977560821586609]","[1, 1.0]","[1, 4.0709324036125066e-05]","[2, 0.9997742925743497]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.005958625648870252]","[1, 1.0]","[5, 0.371293003826968]","[3, 2.9221543375164298e-05]","[3, 0.1322674950256742]","[3, 0.0033275317263082808]","[1, 0.9902350304144878]","[4, 0.6359155707365971]","[1, 0.20498626133244438]","[100, 100]"
Child affect:positive 3,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[0, 1]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 2,"[1, 6.670573287226107e-05]","[1, 0.39233416153325673]","[5, 0.14920498051169598]","[1, 0.994364628670059]","[100, 100]","[0, 1]","[4, 0.9996377859202498]","[1, 0.006286368246225384]","[1, 0.0002887366637838843]","[1, 1.0]","[1, 1.0]","[5, 0.009330113470868292]","[1, 0.2766812406499394]","[1, 1.0]","[2, 0.038841694103692107]","[4, 0.19463659830109917]","[2, 0.041803351634285016]","[5, 3.0423946461251017e-18]","[4, 0.16471985151616167]","[5, 0.9906628599479108]","[1, 0.30897286892394227]","[5, 0.037367664637411896]","[1, 0.23990532561010772]","[1, 1.0]","[5, 0.7492490603641675]","[4, 2.6110247223696117e-05]","[100, 100]","[5, 0.42209560218567543]","[5, 0.611128992867952]","[2, 0.12493472952057104]","[1, 1.0]","[5, 0.004538974051447696]","[3, 0.0021122751257341113]","[1, 0.03163072110458774]","[3, 0.06583539624348844]","[1, 3.5617002031128956e-05]","[3, 0.14528131849331202]","[2, 0.0848207944603493]","[100, 100]"
Child affect:positive 1,"[1, 0.9970932797825148]","[2, 0.37931132804608836]","[5, 0.36567867502066126]","[3, 0.0001288940231728072]","[100, 100]","[1, 0.0503703999651194]","[0, 1]","[1, 0.5715054391282217]","[1, 0.3203228167508125]","[1, 1.0]","[1, 1.0]","[1, 0.18846963314778728]","[1, 0.36514500712783005]","[5, 0.003798822180538924]","[4, 0.5902972937927164]","[1, 0.241688426597851]","[1, 0.37676803867837927]","[3, 0.007998034268787634]","[4, 0.29066006412372564]","[2, 0.039014012520412616]","[1, 0.08952152651296377]","[5, 0.020998253580334192]","[5, 0.01155512837804927]","[1, 1.0]","[3, 0.0946462435889757]","[4, 1.5179661598912937e-07]","[100, 100]","[4, 0.9999280149618297]","[2, 0.338904536755847]","[1, 1.0]","[1, 1.0]","[2, 0.47158768111636107]","[1, 0.025634092850780735]","[1, 0.9968400136538768]","[1, 0.025634092850780735]","[1, 0.9939474832401703]","[2, 0.6482196292950813]","[1, 0.43344079335659425]","[100, 100]"
Parent utterance:utterance,"[2, 0.11930335645909015]","[1, 0.2867706699169358]","[5, 0.3951159154805655]","[2, 0.1314171476513627]","[100, 100]","[3, 0.09647495628672889]","[5, 0.34682840388252156]","[0, 1]","[4, 0.3463731259425086]","[3, 0.009758536547696864]","[5, 0.02475697965500281]","[4, 0.013586167968679855]","[4, 0.001114878403182136]","[4, 0.5238298554575656]","[1, 0.34097269878768205]","[5, 0.1510272182699157]","[2, 0.042839004968810414]","[4, 0.06887566830792308]","[3, 0.3293615366621447]","[1, 0.16440798322440933]","[4, 2.732156809374138e-05]","[4, 0.2796943366130742]","[3, 0.020406960415770933]","[2, 0.13687435862286715]","[3, 0.738159490512525]","[1, 0.7031259563617012]","[100, 100]","[3, 0.7089671974777514]","[2, 0.34982587351913974]","[5, 0.03968553939226432]","[3, 0.04442002655434108]","[2, 0.3499310128630588]","[1, 0.43497859450581255]","[4, 0.002164959548182302]","[5, 0.07089157458219655]","[5, 0.5125836564745241]","[1, 0.7841429604040491]","[2, 0.5991173577405772]","[100, 100]"
Verbal scaffolding:cognitive,"[1, 0.3140046083373659]","[1, 0.1852759772425268]","[3, 0.018057951790433114]","[5, 0.08961878497892568]","[100, 100]","[3, 0.014711732470377948]","[1, 0.2928687554127251]","[5, 0.10443882419432042]","[0, 1]","[1, 1.0]","[5, 0.9998920935435435]","[5, 0.9478907139688659]","[3, 0.005447321213565903]","[5, 0.032544915528277665]","[5, 0.09979550944607705]","[2, 0.8188649436188986]","[3, 0.1184749261353721]","[4, 0.3091691932455914]","[2, 0.07370753948558276]","[5, 0.03182489581480509]","[5, 0.0002970123253623945]","[3, 0.9981301872072508]","[3, 0.006044776224917442]","[1, 1.0]","[5, 0.009862505534872817]","[3, 0.14324089920859612]","[100, 100]","[1, 0.295184590973653]","[2, 0.1793047950242886]","[5, 0.21077420223877494]","[1, 1.0]","[2, 0.9931914599142874]","[5, 0.1138760137371475]","[1, 0.027269011613467724]","[5, 0.53528575942535]","[5, 0.9123576286672024]","[5, 0.034257982628226755]","[2, 0.03257285413107004]","[100, 100]"
Verbal scaffolding:instruction translation,"[1, 2.3987485743605602e-05]","[1, 0.06912386346064404]","[1, 0.05088325498529804]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.6970104243325779]","[1, 1.0]","[0, 1]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.04695335239711996]","[4, 0.0036334819714028783]","[2, 0.4200962171973648]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9258628772967255]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0012793442734704652]","[1, 1.0]","[100, 100]","[1, 1.0649084002433575e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 4.046630345638694e-06]","[1, 1.0]","[1, 1.0]","[1, 0.01749953034539601]","[2, 0.5075651772314276]","[100, 100]"
