,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,6.16
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,6.66
2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,7.16
3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,7.66
4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,8.16
5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,8.66
6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,9.16
7,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,9.66
8,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,10.16
9,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,10.66
10,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,11.16
11,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,11.66
12,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,12.16
13,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,12.66
14,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,13.16
15,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,13.66
16,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,14.16
17,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,14.66
18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,15.16
19,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,15.66
20,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,16.16
21,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,16.66
22,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,17.16
23,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,17.66
24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18.16
25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,18.66
26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,19.16
27,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,19.66
28,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.16
29,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,20.66
30,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,21.16
31,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,21.66
32,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,22.16
33,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,22.66
34,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,23.16
35,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,23.66
36,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,24.16
37,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,24.66
38,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,25.16
39,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,25.66
40,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,26.16
41,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,26.66
42,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,27.16
43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,27.66
44,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,28.16
45,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,28.66
46,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,29.16
47,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,29.66
48,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,30.16
49,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,30.66
50,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,31.16
51,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,31.66
52,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,32.16
53,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,32.66
54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,33.16
55,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,33.66
56,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,34.16
57,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,34.66
58,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,35.16
59,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,35.66
60,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,36.16
61,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,36.66
62,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,37.16
63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.66
64,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,38.16
65,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,38.66
66,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,39.16
67,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,39.66
68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,40.16
69,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,40.66
70,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,41.16
71,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,41.66
72,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,42.16
73,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,42.66
74,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,43.16
75,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,43.66
76,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,44.16
77,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,44.66
78,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,45.16
79,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,45.66
80,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,46.16
81,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,46.66
82,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,47.16
83,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,47.66
84,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,48.16
85,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,48.66
86,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,49.16
87,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,49.66
88,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,50.16
89,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,50.66
90,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,51.16
91,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,51.66
92,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,52.16
93,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,52.66
94,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,53.16
95,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,53.66
96,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,54.16
97,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,54.66
98,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,55.16
99,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,55.66
100,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,56.16
101,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,56.66
102,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,57.16
103,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,57.66
104,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,58.16
105,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,58.66
106,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,59.16
107,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,59.66
108,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60.16
109,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,60.66
110,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,61.16
111,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,61.66
112,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,62.16
113,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,62.66
114,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,63.16
115,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,63.66
116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,64.16
117,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.66
118,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,65.16
119,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,65.66
120,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.16
121,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.66
122,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,67.16
123,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,67.66
124,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.16
