,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,156.4
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,156.9
2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.4
3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,157.9
4,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,158.4
5,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,158.9
6,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.4
7,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,159.9
8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.4
9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,160.9
10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,161.4
11,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,161.9
12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,162.4
13,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,162.9
14,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,163.4
15,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,163.9
16,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,164.4
17,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,164.9
18,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,165.4
19,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,165.9
20,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,166.4
21,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,166.9
22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,167.4
23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,167.9
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,168.4
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,168.9
26,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,169.4
27,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,169.9
28,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,170.4
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170.9
30,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,171.4
31,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,171.9
32,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,172.4
33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,172.9
34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,173.4
35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,173.9
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,174.4
37,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,174.9
38,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,175.4
39,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,175.9
40,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,176.4
41,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,176.9
42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,177.4
43,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,177.9
44,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,178.4
45,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,178.9
46,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,179.4
47,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,179.9
48,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,180.4
49,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,180.9
50,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,181.4
51,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,181.9
52,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,182.4
53,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,182.9
54,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,183.4
55,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,183.9
56,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,184.4
57,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,184.9
58,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,185.4
59,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,185.9
60,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,186.4
61,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,186.9
62,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,187.4
63,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,187.9
64,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,188.4
65,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,188.9
66,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,189.4
67,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,189.9
68,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,190.4
69,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,190.9
70,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,191.4
71,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,191.9
72,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,192.4
73,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,192.9
74,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,193.4
75,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,193.9
76,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,194.4
77,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,194.9
78,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,195.4
79,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,195.9
80,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,196.4
81,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,196.9
82,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,197.4
83,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,197.9
84,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,198.4
85,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,198.9
86,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,199.4
87,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,199.9
88,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,200.4
89,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,200.9
90,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,201.4
91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,201.9
92,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,202.4
93,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,202.9
94,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,203.4
95,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,203.9
96,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,204.4
97,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,204.9
98,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,205.4
99,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,205.9
100,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,206.4
101,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,206.9
102,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,207.4
103,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,207.9
104,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,208.4
105,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,208.9
106,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,209.4
107,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,209.9
108,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,210.4
109,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,210.9
110,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,211.4
111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,211.9
112,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,212.4
113,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,212.9
114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,213.4
115,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,213.9
116,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,214.4
117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,214.9
