,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[1 2],[1 2 3]
1,action,Child affect,action,Child gesture,[1],[1 2]
2,action,Child affect,action,Child prop manipulation,[2],[1 2]
3,action,Child affect,action,Child utterance,[],[1]
4,action,Child affect,action,Conversational turns,[],[1]
5,action,Child affect,action,Joint attention,[],[1]
6,action,Child affect,action,Non-verbal scaffolding,[1],[1 2]
7,action,Child affect,action,Parent gaze,[],[1]
8,action,Child affect,action,Parent gesture,[1],[1 2]
9,action,Child affect,action,Parent prop manipulation,[],[1]
10,action,Child affect,action,Parent utterance,[4 1],[1 2 3]
11,action,Child affect,action,Verbal scaffolding,[4 1],[1 2 3]
12,action,Child affect,action,robot pointing,[],[1]
13,action,Child affect,action,robot text,[4],[1 2]
14,action,Child affect,sub_action,CP,[],[1]
15,action,Child affect,sub_action,CPC,[],[1]
16,action,Child affect,sub_action,PC,[],[1]
17,action,Child affect,sub_action,PCP,[],[1]
18,action,Child affect,sub_action,affective,[1],[1 2]
19,action,Child affect,sub_action,child,[2],[1 2]
20,action,Child affect,sub_action,cognitive,[2 2],[1 2 3]
21,action,Child affect,sub_action,correction,[1],[1 2]
22,action,Child affect,sub_action,missing data,[],[1]
23,action,Child affect,sub_action,other,[2],[1 2]
24,action,Child affect,sub_action,parent,[2],[1 2]
25,action,Child affect,sub_action,pick up,[1],[1 2]
26,action,Child affect,sub_action,point at prop,[2],[1 2]
27,action,Child affect,sub_action,positive 1,[3],[1 2]
28,action,Child affect,sub_action,positive 2,[],[1]
29,action,Child affect,sub_action,positive feedback,[],[1]
30,action,Child affect,sub_action,put down,[],[1]
31,action,Child affect,sub_action,song,[],[1]
32,action,Child affect,sub_action,tablet,[3],[1 2]
33,action,Child affect,sub_action,teach,[],[1]
34,action,Child affect,sub_action,technical,[],[1]
35,action,Child affect,sub_action,try again,[],[1]
36,action,Child affect,sub_action,utterance,[4 1],[1 2 3]
37,action,Child affect,action:sub_action,Child affect:positive 1,[3],[1 2]
38,action,Child affect,action:sub_action,Child affect:positive 2,[],[1]
39,action,Child affect,action:sub_action,Child gaze:parent,[2],[1 2]
40,action,Child affect,action:sub_action,Child gaze:tablet,[3],[1 2]
41,action,Child affect,action:sub_action,Child gesture:other,[],[1]
42,action,Child affect,action:sub_action,Child gesture:point at prop,[1],[1 2]
43,action,Child affect,action:sub_action,Child prop manipulation:child,[2],[1 2]
44,action,Child affect,action:sub_action,Child utterance:utterance,[],[1]
45,action,Child affect,action:sub_action,Conversational turns:CP,[],[1]
46,action,Child affect,action:sub_action,Conversational turns:CPC,[],[1]
47,action,Child affect,action:sub_action,Conversational turns:PC,[],[1]
48,action,Child affect,action:sub_action,Conversational turns:PCP,[],[1]
49,action,Child affect,action:sub_action,Joint attention:tablet,[],[1]
50,action,Child affect,action:sub_action,Non-verbal scaffolding:cognitive,[1],[1 2]
51,action,Child affect,action:sub_action,Non-verbal scaffolding:technical,[],[1]
52,action,Child affect,action:sub_action,Parent gaze:tablet,[],[1]
53,action,Child affect,action:sub_action,Parent gesture:missing data,[],[1]
54,action,Child affect,action:sub_action,Parent gesture:other,[],[1]
55,action,Child affect,action:sub_action,Parent gesture:point at prop,[1],[1 2]
56,action,Child affect,action:sub_action,Parent prop manipulation:parent,[],[1]
57,action,Child affect,action:sub_action,Parent utterance:missing data,[],[1]
58,action,Child affect,action:sub_action,Parent utterance:utterance,[4 1],[1 2 3]
59,action,Child affect,action:sub_action,Verbal scaffolding:affective,[1],[1 2]
60,action,Child affect,action:sub_action,Verbal scaffolding:cognitive,[3 1],[1 2 3]
61,action,Child affect,action:sub_action,robot pointing:point at prop,[],[1]
62,action,Child affect,action:sub_action,robot text:correction,[1],[1 2]
63,action,Child affect,action:sub_action,robot text:other,[2],[1 2]
64,action,Child affect,action:sub_action,robot text:pick up,[1],[1 2]
65,action,Child affect,action:sub_action,robot text:positive feedback,[],[1]
66,action,Child affect,action:sub_action,robot text:put down,[],[1]
67,action,Child affect,action:sub_action,robot text:song,[],[1]
68,action,Child affect,action:sub_action,robot text:teach,[],[1]
69,action,Child affect,action:sub_action,robot text:try again,[],[1]
70,action,Child gaze,action,Child affect,[4],[1 2]
71,action,Child gaze,action,Child gesture,[5],[1 2]
72,action,Child gaze,action,Child prop manipulation,[7],[1 2]
73,action,Child gaze,action,Child utterance,[4],[1 2]
74,action,Child gaze,action,Conversational turns,[1],[1 2]
75,action,Child gaze,action,Joint attention,[7 1],[1 2 3]
76,action,Child gaze,action,Non-verbal scaffolding,[5],[1 2]
77,action,Child gaze,action,Parent gaze,[2],[1 2]
78,action,Child gaze,action,Parent gesture,[5],[1 2]
79,action,Child gaze,action,Parent prop manipulation,[],[1]
80,action,Child gaze,action,Parent utterance,[14  4  1],[1 2 3 4]
81,action,Child gaze,action,Verbal scaffolding,[13  3  1],[1 2 3 4]
82,action,Child gaze,action,robot pointing,[4],[1 2]
83,action,Child gaze,action,robot text,[20],[1 2]
84,action,Child gaze,sub_action,CP,[],[1]
85,action,Child gaze,sub_action,CPC,[],[1]
86,action,Child gaze,sub_action,PC,[1],[1 2]
87,action,Child gaze,sub_action,PCP,[],[1]
88,action,Child gaze,sub_action,affective,[1],[1 2]
89,action,Child gaze,sub_action,child,[7],[1 2]
90,action,Child gaze,sub_action,cognitive,[11  6  1],[1 2 3 4]
91,action,Child gaze,sub_action,correction,[2],[1 2]
92,action,Child gaze,sub_action,missing data,[2],[1 2]
93,action,Child gaze,sub_action,other,[2 1],[1 2 3]
94,action,Child gaze,sub_action,parent,[4],[1 2]
95,action,Child gaze,sub_action,pick up,[5],[1 2]
96,action,Child gaze,sub_action,point at prop,[12],[1 2]
97,action,Child gaze,sub_action,positive 1,[4],[1 2]
98,action,Child gaze,sub_action,positive 2,[],[1]
99,action,Child gaze,sub_action,positive feedback,[6],[1 2]
100,action,Child gaze,sub_action,put down,[],[1]
101,action,Child gaze,sub_action,song,[],[1]
102,action,Child gaze,sub_action,tablet,[9 6 1 1],[1 2 3 4 5]
103,action,Child gaze,sub_action,teach,[4],[1 2]
104,action,Child gaze,sub_action,technical,[],[1]
105,action,Child gaze,sub_action,try again,[1],[1 2]
106,action,Child gaze,sub_action,utterance,[11  5  2],[1 2 3 4]
107,action,Child gaze,action:sub_action,Child affect:positive 1,[4],[1 2]
108,action,Child gaze,action:sub_action,Child affect:positive 2,[],[1]
109,action,Child gaze,action:sub_action,Child gaze:parent,[4],[1 2]
110,action,Child gaze,action:sub_action,Child gaze:tablet,[15  1],[1 2 3]
111,action,Child gaze,action:sub_action,Child gesture:other,[2],[1 2]
112,action,Child gaze,action:sub_action,Child gesture:point at prop,[3],[1 2]
113,action,Child gaze,action:sub_action,Child prop manipulation:child,[7],[1 2]
114,action,Child gaze,action:sub_action,Child utterance:utterance,[4],[1 2]
115,action,Child gaze,action:sub_action,Conversational turns:CP,[],[1]
116,action,Child gaze,action:sub_action,Conversational turns:CPC,[],[1]
117,action,Child gaze,action:sub_action,Conversational turns:PC,[1],[1 2]
118,action,Child gaze,action:sub_action,Conversational turns:PCP,[],[1]
119,action,Child gaze,action:sub_action,Joint attention:tablet,[7 1],[1 2 3]
