,Child utterance:other vocalization,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 3,Child affect:positive 1,Child affect:positive 2,Child gesture:other,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Parent utterance:other vocalization,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:other,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:put down,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child utterance:utterance,"[100, 100]","[100, 100]","[2, 0.1359905583259553]","[5, 0.22243576264222067]","[4, 0.2798010232964167]","[3, 0.4274553550254394]","[2, 0.05395220039125167]","[5, 0.9223694646753686]","[100, 100]","[4, 0.9905824866219536]","[5, 0.004059173051201172]","[4, 0.09530556574789348]","[1, 1.0]","[100, 100]","[5, 0.02061249745648409]","[1, 0.03948847426431819]","[1, 0.11070237414064357]","[1, 1.0]","[1, 0.34639426322999123]","[3, 0.5753533790454415]","[1, 0.5684876845541103]","[5, 0.30394827828616255]","[1, 0.10289462735515821]","[1, 1.0]","[100, 100]","[1, 0.11070237414063801]","[1, 1.0]","[5, 0.2742150741998293]","[1, 0.0504885130788123]","[1, 0.2852410878065067]","[100, 100]","[1, 1.0]","[4, 0.7230237193190698]","[4, 0.5867223972591677]","[3, 0.10921395096132236]","[3, 0.0026817646229817297]","[4, 0.0688648854579413]","[3, 0.11600278647966362]","[4, 0.07667037776058067]","[4, 0.002068730326722056]","[1, 0.9999264218415707]","[3, 0.009230710441428862]","[2, 0.23422386615249194]","[5, 0.13338137986280255]","[1, 0.2969747579437706]"
Child gaze:robot,"[100, 100]","[1, 0.06963033351794068]","[100, 100]","[2, 0.5724476686880444]","[4, 1.407897734045765e-30]","[2, 0.6067180920014097]","[2, 0.5140433771859693]","[5, 0.05119525963329636]","[100, 100]","[1, 0.21241638052052048]","[1, 0.06488486947731763]","[4, 0.06119123182480485]","[4, 0.19420451362748323]","[100, 100]","[4, 0.0007891489532618899]","[1, 0.20568702799603888]","[5, 0.29666779823046585]","[1, 0.12624850550655514]","[3, 0.003713409238841989]","[2, 0.11331544331481952]","[2, 0.013348337368517083]","[5, 0.0012772734638696471]","[1, 0.09320738509843969]","[1, 1.0]","[100, 100]","[1, 0.30901055175022313]","[1, 1.0]","[2, 0.2248818660863211]","[1, 0.2875066784050502]","[3, 0.2785178774994954]","[100, 100]","[1, 0.7526163864722679]","[2, 0.3721142337686594]","[5, 0.5727972378644159]","[5, 0.22175858477980687]","[2, 0.312173532952424]","[5, 0.2435517045602248]","[1, 0.11137164817738426]","[1, 0.23569470127819225]","[1, 0.12489831958763081]","[1, 0.008005923462122023]","[1, 0.452234734997783]","[3, 0.006043971957236214]","[2, 1.25852050196453e-10]","[5, 0.15930941586519792]"
Child gaze:parent,"[100, 100]","[3, 1.5275258191094415e-06]","[5, 0.006435780481410858]","[100, 100]","[2, 0.03399397572936304]","[1, 0.997515647867333]","[2, 0.014697663527387122]","[2, 0.19569785278033708]","[100, 100]","[4, 0.015658058216502457]","[1, 1.0]","[1, 0.0032547913323235245]","[2, 0.915735124520244]","[100, 100]","[1, 0.013191815930969592]","[4, 0.09473455376667592]","[2, 0.14688701530751866]","[4, 0.0011134075080203912]","[1, 0.6581347001054594]","[2, 0.016615749387655043]","[1, 0.34233353229274643]","[2, 0.24643000469096082]","[1, 0.4342946861587027]","[1, 1.0]","[100, 100]","[4, 0.013478945774515166]","[1, 1.0]","[1, 0.46521783228111335]","[3, 0.28717429590924937]","[2, 0.01316174026132012]","[100, 100]","[1, 1.0]","[2, 0.16798788402986237]","[5, 0.6613995089043383]","[4, 0.2140675557072887]","[5, 0.0949604914953267]","[4, 0.0148117247101144]","[1, 0.3007731372723239]","[3, 0.28841527489314667]","[1, 0.07603781666894704]","[4, 0.2655240804289523]","[1, 0.19353276360050492]","[1, 0.32995789812652965]","[1, 0.31846511989741044]","[3, 0.000658470980244392]"
Child gaze:props,"[100, 100]","[1, 0.01999128234635837]","[2, 4.2384652046451576e-17]","[2, 0.009452417716619602]","[100, 100]","[1, 0.29359969568493494]","[3, 0.0007540020413450014]","[2, 0.49354599227215534]","[100, 100]","[1, 0.0005905900007035882]","[1, 1.0]","[5, 0.011349795596494827]","[4, 0.8444288640844284]","[100, 100]","[5, 1.2879443101115176e-06]","[2, 0.20684875948009002]","[4, 0.026007431731157982]","[5, 0.20004035630467107]","[3, 0.000683940088444212]","[1, 0.41466350469448177]","[3, 0.07124637369589834]","[1, 0.17667043421783712]","[1, 0.5453911397384986]","[1, 1.0]","[100, 100]","[1, 0.03084699964823445]","[1, 1.0]","[5, 0.271778328511197]","[5, 0.8561879466273303]","[4, 0.20924957401426117]","[100, 100]","[1, 0.04888730906950337]","[4, 0.15129247442674565]","[5, 0.7410744756372617]","[1, 0.16445861947367554]","[5, 0.033836205445195104]","[4, 0.9089266581126613]","[1, 0.47338383305661524]","[1, 0.4848383201052918]","[1, 0.2757811643557079]","[2, 0.07531869175384677]","[1, 0.1591414652350318]","[3, 1.6321474342878057e-08]","[3, 0.11346938016864712]","[2, 0.102489160669971]"
Child affect:positive 3,"[100, 100]","[2, 0.17810483220485157]","[5, 0.9999957621239095]","[1, 0.9975151661193293]","[5, 0.9999955252280504]","[100, 100]","[3, 0.9999999926177425]","[2, 0.16838268098204848]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.06581859308747721]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.3829122030234692]","[1, 0.047457526673504336]","[1, 0.35143410524049146]","[1, 0.15571370780337163]","[4, 0.0033266215369067926]","[4, 1.8518621101345524e-08]","[100, 100]","[1, 1.0]","[5, 0.9420765329373403]","[5, 0.9999795455837925]","[1, 1.0]","[4, 0.00043420332699623286]","[100, 100]","[5, 0.9720754991996147]","[4, 1.8473184630747158e-05]","[4, 0.4186671656270198]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.07248976199339059]","[5, 0.7351648549973532]","[5, 0.43778589575186033]","[5, 0.4520293055977769]","[5, 0.9980376608344536]","[1, 0.340453185619229]","[3, 0.9999999983097464]","[1, 0.9971824372324019]"
Child affect:positive 1,"[100, 100]","[1, 0.07246605841276181]","[2, 0.04194817200927888]","[4, 0.5709300394529917]","[3, 0.06724716503431014]","[3, 0.9999999998986562]","[100, 100]","[4, 0.06055004103175547]","[100, 100]","[2, 0.21485102806271267]","[5, 0.009863457417347088]","[1, 0.3567944291584848]","[4, 0.11713605307537164]","[100, 100]","[1, 0.1184648938715456]","[1, 0.0039021134398910763]","[1, 0.4750175095855358]","[2, 0.0966393146244087]","[3, 0.3725108241681213]","[5, 0.575627903732205]","[2, 0.37968682285089994]","[1, 0.1709301597014113]","[1, 0.13586679430274357]","[1, 1.0]","[100, 100]","[2, 0.3847567379264443]","[5, 0.025899023580150102]","[4, 0.07583166418010501]","[4, 0.00037673873080722116]","[1, 0.33971165170516493]","[100, 100]","[3, 0.9800360245303331]","[2, 0.4609561656333532]","[1, 0.05558566901171977]","[2, 0.9771330755785187]","[3, 0.3779862315866369]","[2, 0.9885487417112886]","[1, 0.32684431298139044]","[5, 0.38264670982445675]","[1, 0.09151855735595706]","[4, 0.17999673645849998]","[1, 0.216843362578197]","[1, 0.06470435083891109]","[5, 0.5886672243901641]","[3, 0.049716635419488446]"
Child affect:positive 2,"[100, 100]","[2, 0.5817021380526468]","[1, 0.026905560087442087]","[1, 0.05414467222205064]","[2, 0.011682964689098522]","[5, 0.9981877698887183]","[1, 0.06805714562104123]","[100, 100]","[100, 100]","[3, 0.013377988830729869]","[1, 1.0]","[3, 0.06463348046009854]","[1, 1.0]","[100, 100]","[4, 0.3686245540152885]","[1, 0.0007234914026506159]","[5, 2.2576416565382193e-05]","[5, 0.975726573622553]","[5, 0.052840463831102885]","[5, 0.0425265991730244]","[5, 0.13773659216873252]","[3, 0.0892811236251367]","[3, 0.24761908491551043]","[5, 0.9907351871035815]","[100, 100]","[5, 1.3089463174679752e-05]","[1, 1.0]","[2, 2.6237758994084958e-05]","[5, 0.08869438926992791]","[3, 0.6771283274618898]","[100, 100]","[1, 1.0]","[3, 0.4668641854057791]","[3, 3.4845639441977174e-05]","[5, 0.9930840248812098]","[2, 0.12387458504431695]","[5, 0.25484847269743033]","[1, 0.021464834181664186]","[1, 0.36269849766533013]","[1, 0.32814180467428716]","[2, 0.48086973631930974]","[4, 0.3569597370965371]","[1, 0.28213441296853864]","[2, 0.2606768816187782]","[1, 0.02880190638589587]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[2, 0.12868439440084442]","[5, 0.40252241535544986]","[3, 0.39343024312601493]","[5, 0.06760996640981731]","[1, 1.0]","[2, 0.20885982328524785]","[2, 0.9422865110636207]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.3027010229386564]","[1, 1.0]","[100, 100]","[5, 0.9999990499462753]","[3, 0.316685487283104]","[5, 0.10701658069896683]","[1, 1.0]","[5, 0.9417697461710297]","[1, 0.0012229678188614534]","[5, 0.10402262142659803]","[4, 0.5523328156337786]","[1, 0.0959425242455918]","[1, 1.0]","[100, 100]","[5, 0.10701658069896683]","[1, 1.0]","[1, 0.12010668319388275]","[1, 1.0]","[4, 1.7493065174923755e-06]","[100, 100]","[1, 1.0]","[4, 7.375903789177602e-07]","[5, 0.4064915240453539]","[1, 1.0]","[1, 1.0]","[2, 0.8472544146816363]","[5, 0.36713251908769245]","[2, 0.3356297051085539]","[5, 0.057368490536599176]","[1, 0.0200615695255517]","[5, 0.1488480044125443]","[5, 0.8946716349145712]","[5, 0.3140493368043099]","[4, 0.23943087331386265]"
