,action,who,s_time,e_time,t_time,sub_action,action:sub_action,order,condition,participant,coder
0,Child utterance,Child,13.68,14.16,0.48,other vocalization,Child utterance:other vocalization,1,r,103,SK
1,Child utterance,Child,18.48,19.12,0.64,other vocalization,Child utterance:other vocalization,1,r,103,SK
2,Child utterance,Child,31.6,32.08,0.48,utterance,Child utterance:utterance,1,r,103,SK
3,Child utterance,Child,42.08,43.24,1.16,utterance,Child utterance:utterance,1,r,103,SK
4,Child utterance,Child,48.66,49.06,0.4,other vocalization,Child utterance:other vocalization,1,r,103,SK
5,Child utterance,Child,81.88,82.84,0.96,utterance,Child utterance:utterance,1,r,103,SK
6,Child utterance,Child,93.9,94.5,0.6,other vocalization,Child utterance:other vocalization,1,r,103,SK
7,Child utterance,Child,100.52000000000001,101.36,0.84,utterance,Child utterance:utterance,1,r,103,SK
8,Child utterance,Child,101.66,102.14,0.48,other vocalization,Child utterance:other vocalization,1,r,103,SK
9,Child utterance,Child,113.58,114.74000000000001,1.16,utterance,Child utterance:utterance,1,r,103,SK
10,Child utterance,Child,149.36,149.88,0.52,other vocalization,Child utterance:other vocalization,1,r,103,SK
11,Child utterance,Child,162.26,163.1,0.84,other vocalization,Child utterance:other vocalization,1,r,103,SK
12,Child utterance,Child,183.56,184.12,0.56,other vocalization,Child utterance:other vocalization,1,r,103,SK
13,Child utterance,Child,207.34,208.38,1.04,utterance,Child utterance:utterance,1,r,103,SK
14,Child utterance,Child,219.84,221.24,1.4,utterance,Child utterance:utterance,1,r,103,SK
15,Child utterance,Child,226.04,227.0,0.96,other vocalization,Child utterance:other vocalization,1,r,103,SK
16,Child utterance,Child,228.1,228.62,0.52,other vocalization,Child utterance:other vocalization,1,r,103,SK
17,Child utterance,Child,229.6,230.52,0.92,other vocalization,Child utterance:other vocalization,1,r,103,SK
18,Child utterance,Child,243.26,244.66,1.4,utterance,Child utterance:utterance,1,r,103,SK
19,Child utterance,Child,262.26,262.98,0.72,utterance,Child utterance:utterance,1,r,103,SK
20,Child utterance,Child,263.78,264.5,0.72,utterance,Child utterance:utterance,1,r,103,SK
21,Child utterance,Child,278.6,279.15999999999997,0.56,utterance,Child utterance:utterance,1,r,103,SK
22,Child utterance,Child,285.7,286.06,0.36,utterance,Child utterance:utterance,1,r,103,SK
23,Child utterance,Child,286.56,287.12,0.56,utterance,Child utterance:utterance,1,r,103,SK
24,Child utterance,Child,295.6,296.15999999999997,0.56,utterance,Child utterance:utterance,1,r,103,SK
25,Child utterance,Child,296.74,297.38,0.64,utterance,Child utterance:utterance,1,r,103,SK
26,Child gaze,Child,27.4,42.44,15.04,robot,Child gaze:robot,1,r,103,SK
27,Child gaze,Child,42.58,44.06,1.48,parent,Child gaze:parent,1,r,103,SK
28,Child gaze,Child,44.14,58.94,14.8,robot,Child gaze:robot,1,r,103,SK
29,Child gaze,Child,59.6,60.56,0.96,parent,Child gaze:parent,1,r,103,SK
30,Child gaze,Child,60.64,61.92,1.28,robot,Child gaze:robot,1,r,103,SK
31,Child gaze,Child,64.56,65.8,1.24,robot,Child gaze:robot,1,r,103,SK
32,Child gaze,Child,65.9,66.9,1.0,props,Child gaze:props,1,r,103,SK
33,Child gaze,Child,66.96,67.6,0.64,robot,Child gaze:robot,1,r,103,SK
34,Child gaze,Child,67.68,70.03999999999999,2.36,props,Child gaze:props,1,r,103,SK
35,Child gaze,Child,70.14,75.18,5.04,robot,Child gaze:robot,1,r,103,SK
