,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,177.04
1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,177.54
2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,178.04
3,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,178.54
4,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,179.04
5,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,179.54
6,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,180.04
7,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,180.54
8,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.04
9,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,181.54
10,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,182.04
11,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,182.54
12,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,183.04
13,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,183.54
14,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,184.04
15,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,184.54
16,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,185.04
17,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,185.54
18,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,186.04
19,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,186.54
20,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,187.04
21,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,187.54
22,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,188.04
23,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,188.54
24,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,189.04
25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,189.54
26,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,190.04
27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,190.54
28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,191.04
29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,191.54
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,192.04
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,192.54
