,col base,action base,col count,action count,hist,bins
0,action,Child affect,action,Child gaze,[6 1 0 1],[1 2 3 4 5]
1,action,Child affect,action,Child gesture,[2],[1 2]
2,action,Child affect,action,Child prop manipulation,[1 1],[1 2 3]
3,action,Child affect,action,Child utterance,[],[1]
4,action,Child affect,action,Conversational turns,[1 2],[1 2 3]
5,action,Child affect,action,Joint attention,[5 1 1],[1 2 3 4]
6,action,Child affect,action,Mutual gaze,[],[1]
7,action,Child affect,action,Non-verbal scaffolding,[],[1]
8,action,Child affect,action,Parent affect,[2],[1 2]
9,action,Child affect,action,Parent affective touch,[],[1]
10,action,Child affect,action,Parent gaze,[5 5 0 1],[1 2 3 4 5]
11,action,Child affect,action,Parent gesture,[],[1]
12,action,Child affect,action,Parent prop manipulation,[],[1]
13,action,Child affect,action,Parent utterance,[7 2],[1 2 3]
14,action,Child affect,action,Verbal scaffolding,[2 2],[1 2 3]
15,action,Child affect,action,robot pointing,[1],[1 2]
16,action,Child affect,action,robot text,[7 3],[1 2 3]
17,action,Child affect,sub_action,CP,[],[1]
18,action,Child affect,sub_action,CPC,[],[1]
19,action,Child affect,sub_action,MG,[],[1]
20,action,Child affect,sub_action,PC,[3],[1 2]
21,action,Child affect,sub_action,PCP,[2],[1 2]
22,action,Child affect,sub_action,affective,[0 1],[1 2 3]
23,action,Child affect,sub_action,affective touch,[],[1]
24,action,Child affect,sub_action,child,[7 0 1],[1 2 3 4]
25,action,Child affect,sub_action,cognitive,[2 1],[1 2 3]
26,action,Child affect,sub_action,correction,[],[1]
27,action,Child affect,sub_action,missing data,[0 1 0 0 1],[1 2 3 4 5 6]
28,action,Child affect,sub_action,other,[],[1]
29,action,Child affect,sub_action,other vocalization,[1],[1 2]
30,action,Child affect,sub_action,parent,[],[1]
31,action,Child affect,sub_action,pick up,[6],[1 2]
32,action,Child affect,sub_action,point at prop,[3],[1 2]
33,action,Child affect,sub_action,positive 1,[5 1],[1 2 3]
34,action,Child affect,sub_action,positive 2,[1],[1 2]
35,action,Child affect,sub_action,positive feedback,[],[1]
36,action,Child affect,sub_action,props,[2 1 1 0 0 1],[1 2 3 4 5 6 7]
37,action,Child affect,sub_action,put down,[3],[1 2]
38,action,Child affect,sub_action,robot,[5 2 1 1],[1 2 3 4 5]
39,action,Child affect,sub_action,song,[],[1]
40,action,Child affect,sub_action,teach,[],[1]
41,action,Child affect,sub_action,technical,[],[1]
42,action,Child affect,sub_action,try again,[4],[1 2]
43,action,Child affect,sub_action,utterance,[4 2],[1 2 3]
44,action,Child affect,action:sub_action,Child affect:positive 1,[5],[1 2]
45,action,Child affect,action:sub_action,Child affect:positive 2,[1],[1 2]
46,action,Child affect,action:sub_action,Child gaze:missing data,[1],[1 2]
47,action,Child affect,action:sub_action,Child gaze:parent,[],[1]
48,action,Child affect,action:sub_action,Child gaze:props,[4 1],[1 2 3]
49,action,Child affect,action:sub_action,Child gaze:robot,[3 1],[1 2 3]
50,action,Child affect,action:sub_action,Child gesture:point at prop,[2],[1 2]
51,action,Child affect,action:sub_action,Child prop manipulation:child,[1 1],[1 2 3]
52,action,Child affect,action:sub_action,Child utterance:utterance,[],[1]
53,action,Child affect,action:sub_action,Conversational turns:CP,[],[1]
54,action,Child affect,action:sub_action,Conversational turns:CPC,[],[1]
55,action,Child affect,action:sub_action,Conversational turns:PC,[3],[1 2]
56,action,Child affect,action:sub_action,Conversational turns:PCP,[2],[1 2]
57,action,Child affect,action:sub_action,Joint attention:missing data,[0 1],[1 2 3]
58,action,Child affect,action:sub_action,Joint attention:props,[2 1],[1 2 3]
59,action,Child affect,action:sub_action,Joint attention:robot,[4],[1 2]
60,action,Child affect,action:sub_action,Mutual gaze:MG,[],[1]
61,action,Child affect,action:sub_action,Non-verbal scaffolding:cognitive,[],[1]
62,action,Child affect,action:sub_action,Non-verbal scaffolding:technical,[],[1]
63,action,Child affect,action:sub_action,Parent affect:positive 1,[2],[1 2]
64,action,Child affect,action:sub_action,Parent affect:positive 2,[],[1]
65,action,Child affect,action:sub_action,Parent affective touch:affective touch,[],[1]
66,action,Child affect,action:sub_action,Parent gaze:child,[7],[1 2]
67,action,Child affect,action:sub_action,Parent gaze:missing data,[2],[1 2]
68,action,Child affect,action:sub_action,Parent gaze:props,[1 1],[1 2 3]
69,action,Child affect,action:sub_action,Parent gaze:robot,[7],[1 2]
70,action,Child affect,action:sub_action,Parent gesture:point at prop,[],[1]
71,action,Child affect,action:sub_action,Parent prop manipulation:parent,[],[1]
72,action,Child affect,action:sub_action,Parent utterance:missing data,[2],[1 2]
73,action,Child affect,action:sub_action,Parent utterance:other vocalization,[1],[1 2]
74,action,Child affect,action:sub_action,Parent utterance:utterance,[4 2],[1 2 3]
75,action,Child affect,action:sub_action,Verbal scaffolding:affective,[0 1],[1 2 3]
76,action,Child affect,action:sub_action,Verbal scaffolding:cognitive,[2 1],[1 2 3]
77,action,Child affect,action:sub_action,Verbal scaffolding:technical,[],[1]
78,action,Child affect,action:sub_action,robot pointing:point at prop,[1],[1 2]
79,action,Child affect,action:sub_action,robot text:correction,[],[1]
80,action,Child affect,action:sub_action,robot text:other,[],[1]
81,action,Child affect,action:sub_action,robot text:pick up,[6],[1 2]
82,action,Child affect,action:sub_action,robot text:positive feedback,[],[1]
83,action,Child affect,action:sub_action,robot text:put down,[3],[1 2]
84,action,Child affect,action:sub_action,robot text:song,[],[1]
85,action,Child affect,action:sub_action,robot text:teach,[],[1]
86,action,Child affect,action:sub_action,robot text:try again,[4],[1 2]
87,action,Child gaze,action,Child affect,[12],[1 2]
88,action,Child gaze,action,Child gesture,[16],[1 2]
89,action,Child gaze,action,Child prop manipulation,[14  2],[1 2 3]
90,action,Child gaze,action,Child utterance,[4],[1 2]
91,action,Child gaze,action,Conversational turns,[1 6 0 1],[1 2 3 4 5]
92,action,Child gaze,action,Joint attention,[35  7  3],[1 2 3 4]
93,action,Child gaze,action,Mutual gaze,[2],[1 2]
94,action,Child gaze,action,Non-verbal scaffolding,[3],[1 2]
95,action,Child gaze,action,Parent affect,[8],[1 2]
96,action,Child gaze,action,Parent affective touch,[],[1]
97,action,Child gaze,action,Parent gaze,[17 21  3  3],[1 2 3 4 5]
98,action,Child gaze,action,Parent gesture,[3],[1 2]
99,action,Child gaze,action,Parent prop manipulation,[3],[1 2]
100,action,Child gaze,action,Parent utterance,[30  5],[1 2 3]
101,action,Child gaze,action,Verbal scaffolding,[22],[1 2]
102,action,Child gaze,action,robot pointing,[3],[1 2]
103,action,Child gaze,action,robot text,[30  3],[1 2 3]
104,action,Child gaze,sub_action,CP,[4],[1 2]
105,action,Child gaze,sub_action,CPC,[3],[1 2]
106,action,Child gaze,sub_action,MG,[2],[1 2]
107,action,Child gaze,sub_action,PC,[5],[1 2]
108,action,Child gaze,sub_action,PCP,[5],[1 2]
109,action,Child gaze,sub_action,affective,[9],[1 2]
110,action,Child gaze,sub_action,affective touch,[],[1]
111,action,Child gaze,sub_action,child,[22  4  1],[1 2 3 4]
112,action,Child gaze,sub_action,cognitive,[11  1],[1 2 3]
113,action,Child gaze,sub_action,correction,[6],[1 2]
114,action,Child gaze,sub_action,missing data,[1 2],[1 2 3]
115,action,Child gaze,sub_action,other,[1],[1 2]
116,action,Child gaze,sub_action,other vocalization,[3],[1 2]
117,action,Child gaze,sub_action,parent,[5],[1 2]
118,action,Child gaze,sub_action,pick up,[9],[1 2]
119,action,Child gaze,sub_action,point at prop,[20  1],[1 2 3]
120,action,Child gaze,sub_action,positive 1,[11  1],[1 2 3]
121,action,Child gaze,sub_action,positive 2,[7],[1 2]
122,action,Child gaze,sub_action,positive feedback,[9],[1 2]
123,action,Child gaze,sub_action,props,[10 11 15  1  1  3],[1 2 3 4 5 6 7]
124,action,Child gaze,sub_action,put down,[6],[1 2]
125,action,Child gaze,sub_action,robot,[17  9 13  2  1],[1 2 3 4 5 6]
126,action,Child gaze,sub_action,song,[1],[1 2]
127,action,Child gaze,sub_action,teach,[3],[1 2]
128,action,Child gaze,sub_action,technical,[3],[1 2]
129,action,Child gaze,sub_action,try again,[1],[1 2]
130,action,Child gaze,sub_action,utterance,[27  4  2],[1 2 3 4]
131,action,Child gaze,action:sub_action,Child affect:positive 1,[9],[1 2]
132,action,Child gaze,action:sub_action,Child affect:positive 2,[3],[1 2]
133,action,Child gaze,action:sub_action,Child gaze:missing data,[1],[1 2]
134,action,Child gaze,action:sub_action,Child gaze:parent,[2],[1 2]
135,action,Child gaze,action:sub_action,Child gaze:props,[27  5],[1 2 3]
136,action,Child gaze,action:sub_action,Child gaze:robot,[29  3],[1 2 3]
137,action,Child gaze,action:sub_action,Child gesture:point at prop,[16],[1 2]
138,action,Child gaze,action:sub_action,Child prop manipulation:child,[14  2],[1 2 3]
139,action,Child gaze,action:sub_action,Child utterance:utterance,[4],[1 2]
