,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[100, 100]","[5, 0.12001191581062025]","[4, 0.01107241874924515]","[5, 0.980223571659596]","[2, 0.18087686380073387]","[3, 0.04620312291156684]","[1, 1.0]","[2, 0.14642209435392062]","[100, 100]","[3, 0.1438437320813915]","[1, 1.0]","[1, 0.23376002806274243]","[3, 0.9693561514624537]","[3, 0.3013135243713129]","[1, 1.0]","[1, 0.348200284589252]","[2, 0.717148658371555]","[4, 0.831667154861005]","[3, 0.9876777195640002]","[1, 0.0910368496390345]","[1, 1.0]","[4, 0.8236466903807776]","[100, 100]","[3, 0.002344970144714834]","[3, 0.9940512856943926]","[4, 0.9964223999949335]","[2, 0.41966157965529627]","[100, 100]","[5, 0.9999923335713623]","[4, 0.5837031811798388]","[4, 0.17664667746610935]","[1, 0.03868804703011196]","[1, 0.11866536445179707]","[4, 0.46924086758240946]","[5, 0.16935089359373584]","[5, 1.7297084820434566e-06]","[5, 0.0894543364986832]","[3, 0.10980585336638457]","[5, 0.29043334473902305]","[5, 0.9348866067471496]","[5, 0.006131597830890957]"
Child utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:robot,"[5, 0.005538080552125944]","[100, 100]","[100, 100]","[2, 2.9073034216294784e-07]","[2, 5.2891734329561233e-14]","[1, 0.9761106563542532]","[2, 0.8473732877386144]","[4, 0.3821059376453049]","[3, 0.7587057230882206]","[100, 100]","[1, 0.6692904536511832]","[5, 0.32413765152227625]","[3, 0.01753788945755696]","[5, 0.12038876740811813]","[5, 0.12124700601264496]","[4, 0.044780675662941666]","[1, 7.025497495147998e-06]","[2, 0.01780103993396983]","[2, 0.1645519607645743]","[1, 0.4056445466184718]","[3, 0.2759071189608293]","[3, 0.19233916802073117]","[4, 0.04370995421222534]","[100, 100]","[1, 0.28390731704821115]","[4, 0.0021737189924271936]","[1, 0.1292773919604889]","[4, 0.15113702200687376]","[100, 100]","[2, 0.971016189344809]","[4, 0.02477562325149594]","[3, 0.39573024688946623]","[5, 0.18733496757437607]","[4, 0.11297919372870698]","[1, 0.3132000875883837]","[1, 0.21580201340755162]","[3, 0.18230872716602067]","[3, 0.022839559791081477]","[4, 0.42918545668742514]","[2, 0.00031369265616267673]","[2, 2.2367363061116916e-07]","[5, 7.504002032254657e-08]"
Child gaze:parent,"[4, 1.4790495523655348e-05]","[100, 100]","[5, 0.0061586984239128725]","[100, 100]","[3, 0.043661006775518714]","[4, 0.058904509909204886]","[3, 0.733969995867705]","[4, 0.1345057526743631]","[5, 0.7761475031452124]","[100, 100]","[1, 0.2599792036159721]","[5, 0.014343740988416917]","[3, 0.8468671753379624]","[5, 0.8676334343562898]","[1, 0.006880903146271289]","[1, 1.0]","[1, 0.005861319046002183]","[1, 6.137346212525756e-06]","[2, 0.2563630313535269]","[3, 0.030519829119224382]","[1, 0.013597142072284261]","[5, 0.004088300905891208]","[2, 0.144410555732991]","[100, 100]","[5, 0.6256307840806838]","[3, 0.057499460574117416]","[5, 0.38099175297031496]","[1, 0.06920149148184092]","[100, 100]","[4, 0.96658970599423]","[1, 0.022610313349325194]","[3, 0.2503137967494919]","[5, 0.30799967470094314]","[1, 0.2553631697759375]","[4, 0.3729270300755107]","[5, 0.0005158427487923318]","[5, 0.06030981809393952]","[5, 0.0019053747292458525]","[5, 0.059538277461384674]","[1, 5.729035626182313e-05]","[3, 0.037514276425066224]","[4, 1.7165234622265584e-06]"
Child gaze:props,"[2, 0.9999999999999598]","[100, 100]","[2, 2.9530186653199166e-13]","[1, 0.02473259328205829]","[100, 100]","[1, 0.2902667346316523]","[1, 0.18892894768852922]","[5, 0.17055716811791918]","[3, 0.6936529608017232]","[100, 100]","[2, 0.07938019184244298]","[4, 0.3487752863685388]","[2, 0.13629527421158932]","[3, 0.001993544392415937]","[3, 0.7621235168836603]","[5, 0.04528511657057206]","[3, 0.06339711372712371]","[3, 0.42600961524701475]","[1, 0.3040666387139005]","[2, 0.1816634391485423]","[3, 0.03508029561287571]","[4, 0.1890181144330206]","[2, 0.024196960442286267]","[100, 100]","[3, 0.13241393580952932]","[5, 0.022779291375522114]","[5, 0.5088251082794986]","[3, 0.0034949081673956075]","[100, 100]","[2, 0.9999999999999598]","[3, 7.511771927561167e-05]","[1, 0.017732529904167564]","[5, 0.020371091483674702]","[5, 0.35801815851240637]","[4, 0.16167326426285336]","[2, 0.3829404285037996]","[2, 0.9999999999999598]","[2, 0.9999999999999598]","[2, 0.9999999999999598]","[3, 0.0012834448075810093]","[5, 0.0015174798770373188]","[4, 0.11910321426943095]"
Child affect:positive 2,"[4, 0.10966594266233011]","[100, 100]","[5, 0.21092094988543605]","[1, 0.1759214520731608]","[1, 0.2917011217908503]","[100, 100]","[1, 1.2005745740389506e-05]","[1, 1.0]","[5, 0.00023419710790529603]","[100, 100]","[2, 0.5965049674542471]","[1, 1.0]","[1, 1.0]","[5, 0.2899430142106599]","[5, 0.9999005407502972]","[1, 1.0]","[4, 0.1903836553759689]","[1, 0.00877013776370588]","[3, 0.24600509567386714]","[1, 0.048311831308022246]","[4, 0.027278398515185664]","[1, 1.0]","[5, 0.999981721045005]","[100, 100]","[5, 0.08284036597228875]","[2, 0.3812554278090313]","[5, 0.0033122799657826843]","[5, 0.9999252557152448]","[100, 100]","[5, 1.7834022972769894e-06]","[5, 0.999959328730094]","[5, 0.9999782903618881]","[3, 0.06353190644393822]","[5, 0.583962784975953]","[3, 0.004336786475852456]","[3, 0.020855592351875788]","[5, 0.14158779727736148]","[5, 0.9990689486760163]","[5, 2.214688894332599e-06]","[4, 0.21756686154449487]","[4, 0.4983712930177985]","[1, 0.0010799692298465204]"
Child affect:positive 1,"[1, 0.03167502134169899]","[100, 100]","[2, 0.8489661166126964]","[5, 0.2775176462695375]","[1, 0.5287276557923322]","[1, 0.1504087651901271]","[100, 100]","[4, 0.502812332024926]","[1, 0.10771403722623958]","[100, 100]","[1, 0.5470237677232135]","[1, 1.0]","[4, 0.29309984671719624]","[4, 0.999999038057277]","[3, 0.5514587419346826]","[2, 0.9966917876205988]","[3, 0.14648182536637963]","[2, 0.21073745412675032]","[4, 0.3123657488819356]","[4, 0.9999891146189345]","[5, 0.06262718505628578]","[1, 1.0]","[1, 0.30964242665600833]","[100, 100]","[4, 0.5373217953704358]","[2, 0.06462143936023854]","[1, 1.0]","[3, 0.8164054986163994]","[100, 100]","[4, 0.03628263757717181]","[2, 0.20199146158783585]","[5, 0.22514660618789964]","[1, 0.10771403722623958]","[1, 0.2244479889117059]","[4, 0.046342689084403976]","[4, 0.10996968688558943]","[3, 0.4601697480685183]","[4, 0.9999932139488897]","[1, 1.0]","[1, 0.4832669119522255]","[5, 0.4003225983440962]","[2, 0.008322407695380113]"
Child affect:positive 3,"[1, 1.0]","[100, 100]","[1, 0.2196697376186614]","[2, 0.2213846919516046]","[1, 0.17316759595881445]","[1, 1.0]","[5, 0.5993984393281062]","[100, 100]","[1, 1.0]","[100, 100]","[2, 0.4222545960816896]","[1, 1.0]","[4, 0.20660360483767978]","[1, 1.0]","[3, 0.019922587813368517]","[1, 1.0]","[2, 0.2902740161872535]","[5, 0.6962568543097095]","[1, 0.053681343140992696]","[4, 0.9960041045524902]","[4, 0.9926727878337894]","[4, 0.8275636560499863]","[1, 1.0]","[100, 100]","[4, 0.9864244873866866]","[4, 0.6497812805177758]","[1, 1.0]","[2, 0.10911154020004753]","[100, 100]","[1, 1.0]","[4, 0.9822510380542121]","[1, 0.023834098058269543]","[1, 1.0]","[1, 0.008373460147293139]","[1, 1.0]","[1, 1.0]","[2, 0.004361101238117388]","[1, 1.0]","[1, 1.0]","[2, 0.3166039619451627]","[1, 0.0821956884868368]","[2, 0.11097245268902939]"
Child gesture:point at prop,"[3, 0.1357199827153389]","[100, 100]","[3, 0.7584280087798122]","[1, 1.0]","[4, 0.8316780008797559]","[4, 0.004060639339700225]","[1, 0.1077140372262358]","[1, 1.0]","[100, 100]","[100, 100]","[2, 0.07228550855672647]","[1, 1.0]","[2, 0.21384694832271328]","[3, 0.1734937462930767]","[1, 1.0]","[5, 1.4139114120867989e-06]","[5, 0.9999910286304131]","[5, 0.9999865251568276]","[1, 1.0]","[3, 0.01903555755185297]","[4, 0.1399109302485104]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.11946127956974076]","[3, 0.9610465221788986]","[3, 0.3351850443044349]","[100, 100]","[3, 1.750074468902879e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.25437687123755226]","[3, 0.032323436739290216]","[3, 0.005495796296996802]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9999918745017504]","[1, 1.0]","[1, 1.0]"
Child gesture:other,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
