,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,10.96
1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,11.46
2,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,11.96
3,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,12.46
4,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,12.96
5,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,13.46
6,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,13.96
7,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,14.46
8,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,14.96
9,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,15.46
10,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,15.96
11,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,16.46
12,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,16.96
13,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,17.46
14,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,17.96
15,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,18.46
16,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,18.96
17,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,19.46
18,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,19.96
19,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,20.46
20,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,20.96
21,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,21.46
22,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,21.96
23,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,22.46
24,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,22.96
25,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,23.46
26,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,23.96
27,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,24.46
28,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,24.96
29,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,25.46
30,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,25.96
31,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,26.46
32,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,26.96
33,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,27.46
34,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,27.96
35,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,28.46
36,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,28.96
37,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,29.46
38,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,29.96
39,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,30.46
40,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,30.96
41,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,31.46
42,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,31.96
43,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,32.46
44,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,32.96
45,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,33.46
46,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,33.96
47,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,34.46
48,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,34.96
49,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,35.46
50,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,35.96
51,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,36.46
52,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,36.96
53,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,37.46
54,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,37.96
55,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,38.46
56,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,38.96
57,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,39.46
58,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,39.96
59,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,40.46
60,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,40.96
61,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,41.46
62,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,41.96
63,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,42.46
64,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,42.96
65,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,43.46
66,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,43.96
67,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,44.46
68,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,44.96
69,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,45.46
70,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,45.96
71,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,46.46
72,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,46.96
73,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,47.46
74,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,47.96
75,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,48.46
76,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,48.96
77,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,49.46
78,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,49.96
79,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,50.46
80,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,50.96
81,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,51.46
82,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,51.96
83,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,52.46
84,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,52.96
85,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,53.46
86,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,53.96
87,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,54.46
88,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,54.96
89,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,55.46
90,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,55.96
91,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,56.46
92,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,56.96
93,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,57.46
94,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,57.96
95,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,58.46
96,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,58.96
97,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,59.46
98,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,59.96
99,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,60.46
100,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,60.96
101,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,61.46
102,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,61.96
103,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,62.46
104,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,62.96
105,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,63.46
106,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,63.96
107,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,64.46000000000001
108,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,64.96000000000001
109,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,65.46000000000001
110,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,65.96000000000001
111,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,66.46000000000001
112,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,66.96000000000001
113,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,67.46000000000001
114,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,67.96000000000001
115,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,68.46000000000001
116,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,68.96000000000001
117,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,69.46000000000001
118,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,69.96000000000001
119,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,70.46000000000001
120,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,70.96000000000001
121,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,71.46000000000001
