,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gaze:robot or prop,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:other vocalization,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Parent gaze:child,Parent gaze:robot,Parent gaze:missing data,Parent gaze:props,Parent gaze:child child,Parent gaze:robot or prop,Parent affect:positive 3,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.9811219740171876]","[100, 100]","[100, 100]","[100, 100]","[3, 0.30883607174285055]","[100, 100]","[100, 100]","[4, 0.005721595228913955]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.020611990761277895]","[5, 9.404152531649987e-05]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.003066630502673524]","[3, 0.6640264700753813]","[3, 0.5476545566644286]","[100, 100]","[1, 0.02385522276500153]","[100, 100]","[1, 1.0]","[100, 100]","[1, 0.9672166992872605]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 7.108289284893916e-08]","[3, 0.0717300402943366]","[5, 0.0017429223774559728]","[100, 100]","[5, 0.0011833194135252895]","[100, 100]","[100, 100]"
Child gaze:robot,"[1, 0.9811008968668699]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[5, 0.9999999985786484]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[2, 0.7586197671179524]","[2, 0.7555433074851774]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9755892240760924]","[1, 1.0]","[1, 0.9755892240760924]","[100, 100]","[1, 0.98110089686657]","[100, 100]","[4, 0.0032824557372032642]","[100, 100]","[1, 0.9576137019672252]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[1, 0.9755892240765567]","[1, 0.9755892240760924]","[1, 0.9755892240760924]","[100, 100]","[5, 0.9999999983806764]","[100, 100]","[100, 100]"
Child gaze:parent,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:props,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gaze:robot or prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child affect:positive 1,"[4, 0.08840483591130348]","[1, 1.0]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 5.3476123941778194e-06]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.04775673277491882]","[4, 0.0019040509983020177]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[4, 1.4236489801605928e-06]","[4, 0.09918536608444149]","[2, 0.004401907923286163]","[100, 100]","[5, 0.19542710012803793]","[100, 100]","[5, 0.9984791814466313]","[100, 100]","[5, 0.7508319669843246]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.026372450629372813]","[2, 3.526462903560661e-06]","[5, 1.2241702021780387e-09]","[100, 100]","[4, 0.009780513374260332]","[100, 100]","[100, 100]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Parent utterance:utterance,"[3, 0.3587860669995236]","[4, 0.9999998824256184]","[100, 100]","[100, 100]","[100, 100]","[5, 0.006278774470348489]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.012391320404210694]","[5, 0.10005840677617026]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[5, 0.10307146905662529]","[5, 0.4562792225339807]","[3, 0.7270599641243144]","[100, 100]","[2, 0.08572185406736257]","[100, 100]","[3, 0.9774705613788436]","[100, 100]","[4, 1.8742402364399697e-05]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[3, 0.11620234207497634]","[4, 5.4611217667461633e-05]","[2, 0.07102648585117717]","[100, 100]","[5, 0.13773950180958913]","[100, 100]","[100, 100]"
Parent utterance:other vocalization,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
