,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,33.0
1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,33.5
2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,34.0
3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,34.5
4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,35.0
5,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,35.5
6,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,36.0
7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,36.5
8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,37.0
9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,37.5
10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,38.0
11,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,38.5
12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,39.0
13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,39.5
14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40.0
15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,40.5
16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,41.0
17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,41.5
18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,42.0
19,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42.5
20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,43.0
21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,43.5
22,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,44.0
23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,44.5
24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,45.0
25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,45.5
26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,46.0
27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.5
28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.0
29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.5
30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.0
31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48.5
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,49.0
33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,49.5
34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50.0
35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50.5
36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,51.0
37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,51.5
38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,52.0
39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,52.5
40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,53.0
41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,53.5
42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54.0
43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,54.5
44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,55.0
45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,55.5
46,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,56.0
47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,56.5
48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,57.0
49,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,57.5
50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,58.0
51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,58.5
52,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,59.0
53,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,59.5
54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,60.0
55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,60.5
56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,61.0
