,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12.02
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,12.52
2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,13.02
3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,13.52
4,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,14.02
5,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,14.52
6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.02
7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15.52
8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.02
9,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,16.52
10,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,17.02
11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.52
12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.02
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.52
14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.02
15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19.52
16,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.02
17,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,20.52
18,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,21.02
19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.52
20,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,22.02
21,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,22.52
22,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,23.02
23,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,23.52
24,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,24.02
25,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,24.52
26,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,25.02
27,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,25.52
28,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,26.02
29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,26.52
30,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,27.02
31,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,27.52
32,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,28.02
33,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,28.52
34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29.02
35,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,29.52
36,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,30.02
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30.52
38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,31.02
39,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,31.52
40,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,32.019999999999996
41,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,32.519999999999996
42,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,33.019999999999996
43,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,33.519999999999996
44,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,34.019999999999996
45,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,34.519999999999996
46,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,35.019999999999996
47,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,35.519999999999996
48,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,36.019999999999996
49,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,36.519999999999996
50,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,37.019999999999996
51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37.519999999999996
52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38.019999999999996
53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38.519999999999996
54,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,39.019999999999996
55,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,39.519999999999996
56,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,40.019999999999996
57,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,40.519999999999996
58,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,41.019999999999996
59,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,41.519999999999996
60,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,42.019999999999996
61,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,42.519999999999996
62,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,43.019999999999996
63,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,43.519999999999996
64,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,44.019999999999996
65,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,44.519999999999996
66,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,45.019999999999996
67,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.519999999999996
68,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46.019999999999996
69,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,46.519999999999996
70,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,47.019999999999996
71,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,47.519999999999996
72,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,48.019999999999996
73,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,48.519999999999996
74,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,49.019999999999996
75,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,49.519999999999996
76,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.019999999999996
77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.519999999999996
78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51.019999999999996
79,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,51.519999999999996
80,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52.019999999999996
