,Child utterance:utterance,Child gaze:robot,Child gaze:props,Child gaze:parent,Child affect:positive 3,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[3, 0.6582929548373624]","[2, 0.041252762487716456]","[5, 0.5418706732615222]","[1, 1.0]","[1, 0.5870672109433881]","[4, 0.6599545461783355]","[2, 0.13452004449613036]","[1, 7.317627582858533e-05]","[1, 0.26650022831506515]","[1, 1.0]","[5, 0.7807032132830802]","[4, 0.9726465194008063]","[3, 0.03344088069083897]","[4, 0.13459960756801798]","[4, 0.09384167132001965]","[1, 0.042812898700807865]","[5, 0.16192968937878433]","[3, 0.5434373768101155]","[5, 0.7807032132830802]","[100, 100]","[1, 0.0918489918175142]","[1, 0.2846234149608614]","[1, 0.5250894392330205]","[100, 100]","[1, 0.9960116163011478]","[1, 0.40035838772201715]","[2, 0.42720525651317154]","[1, 0.0484172901745635]","[5, 0.4623288826391393]","[3, 0.03493667189574407]","[4, 0.0003156850880543365]","[1, 0.1665468172500544]","[5, 0.22191131215410648]","[3, 0.01927990442020242]","[5, 0.5883459059927597]","[1, 0.2925323964343002]","[2, 0.9247452725009828]"
Child gaze:robot,"[2, 0.32779234300980564]","[100, 100]","[2, 1.2603730162068305e-14]","[5, 0.0007586284067002403]","[2, 0.9264017682466026]","[5, 0.38107731126849814]","[2, 0.11453299883793483]","[3, 0.0001453693947552756]","[1, 0.20109891205173278]","[3, 0.7468376320986574]","[5, 0.003942989829231617]","[2, 0.14186800309136022]","[1, 0.020734689630282358]","[3, 0.9999998444135347]","[1, 0.5109346305052409]","[1, 0.4447353026989882]","[1, 0.3456784503335403]","[2, 0.11133199449329385]","[1, 0.1250462168652335]","[2, 0.14186800309136022]","[100, 100]","[4, 0.060320827993920155]","[1, 0.136617801302481]","[2, 0.24973042101362317]","[100, 100]","[1, 0.9948648593347091]","[2, 0.5460810447000061]","[2, 0.7390663635296721]","[1, 0.10091738892614416]","[4, 0.38084629085902966]","[1, 0.09389203995026123]","[1, 0.31285469460086296]","[4, 0.6290604487527534]","[1, 0.42209374101516095]","[1, 0.07980944208344946]","[4, 0.3403267744561477]","[2, 0.0003838582218538623]","[1, 0.07679895583345374]"
Child gaze:props,"[2, 0.07495622734495144]","[3, 2.7675746054153633e-14]","[100, 100]","[2, 0.04499349838477446]","[3, 0.9896705830484497]","[4, 0.007339258436745914]","[1, 0.8776321682908482]","[4, 0.0012480268317600768]","[5, 0.0949615383277946]","[3, 0.025089056469698796]","[4, 0.04596749756195266]","[3, 0.46786172550861094]","[1, 0.01587064388170804]","[2, 0.020055446192354946]","[2, 0.7904582724975994]","[1, 0.2603896112508835]","[3, 0.014867491313518257]","[1, 0.07458299267725783]","[2, 0.37318951543310064]","[3, 0.46786172550861094]","[100, 100]","[4, 0.03247005188137459]","[4, 0.23088499109588323]","[1, 0.17642104573706952]","[100, 100]","[4, 0.9992173822226205]","[1, 0.052181267390588204]","[1, 0.13514107939207776]","[5, 0.5067673891944731]","[5, 0.17728647403170877]","[5, 0.2348008255562715]","[3, 0.3533830934029646]","[2, 0.3748676802932983]","[2, 0.7352983921265144]","[4, 0.7891441292754504]","[1, 0.2007519204847003]","[3, 0.08226944398090515]","[5, 9.147481677491427e-08]"
Child gaze:parent,"[1, 0.173383370845973]","[5, 0.3679668486513732]","[5, 0.047020913195092905]","[100, 100]","[1, 1.0]","[2, 0.030604496296448205]","[5, 0.8974710079745432]","[1, 0.9905457161739589]","[4, 0.7507667941753876]","[5, 0.6523640394432456]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 9.779690199495789e-66]","[5, 0.18404550733934286]","[5, 0.016822739737168625]","[2, 0.2006618712334741]","[5, 0.003273264596196944]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.2250330123104263]","[100, 100]","[1, 0.9788437432312098]","[5, 0.029666102574529965]","[5, 0.7438292868246548]","[5, 0.6195453596816533]","[3, 0.000958132364544138]","[1, 1.0]","[5, 0.1882666536899897]","[1, 1.0]","[5, 0.5641116152441608]","[1, 0.9941373768774788]","[5, 0.04711024403999108]","[1, 0.061459788462101116]","[4, 4.92097793331623e-41]"
Child affect:positive 3,"[1, 1.0]","[1, 0.03157620707087563]","[4, 0.09212846867126884]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.10583186227957103]","[1, 0.0020324458184466498]","[1, 1.0]","[2, 0.0011298004150421068]","[1, 1.0]","[1, 1.0]","[5, 0.22547022061113073]","[1, 0.06041607059491432]","[5, 0.3838446222014069]","[1, 1.0]","[2, 0.00047069966437997344]","[2, 0.0011298004150421068]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 5.246698542253718e-19]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.006594249406488702]","[1, 1.0]"
Child affect:positive 2,"[4, 0.0988654430362944]","[5, 0.2957290184320727]","[1, 0.5558076438995507]","[1, 0.9953993692973142]","[1, 1.0]","[100, 100]","[1, 0.09378591845256451]","[4, 0.014245881044275929]","[5, 0.18206157253637278]","[3, 0.5951371388100182]","[1, 0.8871899033673131]","[4, 0.9999982076083186]","[1, 0.001131282018357699]","[3, 0.9999995967366927]","[4, 0.13624227089584695]","[2, 0.06669537571979209]","[1, 0.05242524442621463]","[1, 0.16979993744302563]","[2, 0.5221578861933616]","[4, 0.9999982076083186]","[100, 100]","[4, 0.006268818974878317]","[1, 0.02362383070643829]","[4, 0.5273966792780714]","[100, 100]","[1, 0.9920259714137104]","[4, 0.3039622295609503]","[2, 0.048303879975208276]","[5, 0.8903467096816227]","[3, 0.5527366663613391]","[3, 0.29687332997367955]","[3, 0.28926174209765004]","[5, 0.37857808795976233]","[5, 0.8892410706325055]","[5, 0.3800384524579563]","[4, 0.1798989749490127]","[1, 0.5203898127322577]","[1, 0.9953993692973142]"
Child affect:positive 1,"[2, 0.20315550831078222]","[1, 0.09814105201952851]","[1, 0.27437629988248213]","[1, 0.01832541819265185]","[1, 1.0]","[1, 0.0008514108458044777]","[100, 100]","[5, 0.01216284957668855]","[4, 0.017073551225456576]","[3, 0.17047681247051255]","[1, 1.0]","[5, 0.8726956525254408]","[5, 0.9985574349328844]","[1, 0.0051897144397167316]","[4, 0.4350263722030394]","[1, 0.6233791090043634]","[5, 0.02516515855224353]","[4, 0.01631127916489854]","[1, 0.29418026604659797]","[5, 0.8726956525254408]","[100, 100]","[1, 0.0051897144397167316]","[5, 0.6500794506158157]","[3, 0.7571153071696454]","[100, 100]","[2, 0.9917087394417597]","[3, 0.5563835921793774]","[1, 0.35499210231908296]","[3, 0.126368566935918]","[5, 0.0025981199380936495]","[2, 0.0014635619526110809]","[5, 0.3566621081488189]","[3, 0.2824399324572192]","[5, 0.4830812629596528]","[3, 0.7053813890377396]","[4, 0.299440637239151]","[5, 0.08492896995836861]","[1, 0.01832541819265185]"
Child gesture:point at prop,"[1, 0.0013420896069555688]","[1, 0.006262909346263259]","[2, 0.03728369679886565]","[1, 0.9905483669033385]","[1, 1.0]","[3, 0.9672173222699931]","[1, 0.9970606027084988]","[100, 100]","[4, 0.014023003444595073]","[5, 0.00019852643002523214]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.9999997362540446]","[1, 0.1218818174515055]","[2, 0.006432625651763726]","[5, 0.024507965130333285]","[1, 0.995065220028118]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.00779488805258163]","[100, 100]","[1, 0.9836185652839832]","[5, 3.7839059089481986e-05]","[5, 0.013816760219568729]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.47054388093448496]","[3, 0.0021359333151738293]","[5, 0.05099447573482159]","[3, 0.0005821862979388631]","[1, 0.06418082946589664]","[3, 0.00019269759854668487]","[1, 0.9905483669033385]"
Parent utterance:utterance,"[4, 0.009349261719789559]","[3, 0.48118596921264023]","[4, 0.7597947104112086]","[1, 0.14124034928731594]","[5, 0.5438163831878267]","[4, 0.0707691951612926]","[4, 0.02995362534264179]","[2, 0.0033075000215967497]","[100, 100]","[2, 0.9240044495482003]","[3, 0.5413385485519027]","[2, 0.21086103947984822]","[4, 0.0415014786887749]","[4, 0.20855220031624255]","[1, 0.04270996278535034]","[3, 0.00011625897273471673]","[3, 0.010987467167997218]","[5, 0.436067760573545]","[2, 0.11950745983144942]","[2, 0.21086103947984822]","[100, 100]","[4, 0.4106415683515029]","[1, 0.3070356472591607]","[1, 0.056248691093097096]","[100, 100]","[3, 0.9999999986638152]","[1, 0.10470574187290356]","[2, 0.09555424429264442]","[1, 0.4154313083297526]","[4, 0.2593062226396658]","[3, 0.07564116178257496]","[2, 0.056717806778231294]","[5, 0.00020297955390356282]","[2, 0.2169522958980432]","[4, 0.007101210725312613]","[1, 0.24607756061162694]","[1, 0.07108383820130834]","[2, 0.24773612076020615]"
Verbal scaffolding:cognitive,"[2, 0.5282265690943659]","[1, 0.6459347184215276]","[2, 0.46761534302892593]","[3, 0.0037024962952218886]","[5, 0.03055806588541517]","[4, 0.08860660430528816]","[1, 0.40585731782339585]","[5, 0.9958948314134212]","[2, 0.09790009811791751]","[100, 100]","[1, 1.0]","[2, 0.006359786056416944]","[1, 1.0]","[1, 1.0]","[3, 0.02994138487730538]","[2, 0.0024922284288692483]","[1, 0.06079219432309943]","[1, 0.01209525188932132]","[2, 0.06208764175464729]","[2, 0.006359786056416944]","[100, 100]","[1, 1.0]","[3, 0.779919586032872]","[1, 0.00022518451349491599]","[100, 100]","[1, 1.0]","[1, 0.001410580413787105]","[1, 0.03460835138780987]","[1, 0.28849590424582994]","[1, 1.0]","[3, 0.9993602107317315]","[2, 0.13706838497649665]","[3, 0.09463468865831526]","[2, 0.008015042498912724]","[3, 0.6756073892303911]","[3, 0.0063462189319877]","[1, 0.14064640689842667]","[4, 0.009553122106972657]"
