,Child utterance:utterance,Child gaze:robot,Child gaze:parent,Child gaze:props,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:robot,Parent gaze:child,Parent gaze:robot or prop,Parent gaze:props,Parent affect:positive 3,Parent affect:positive 2,Parent affect:positive 1,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:correction,robot text:put down,robot text:try again,robot text:positive feedback,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[1, 0.14355388570024688]","[5, 0.23400751195402886]","[1, 0.29278364234520105]","[5, 0.8832733245099215]","[5, 0.5370201307175078]","[2, 0.06671598531176205]","[4, 0.03473407682762244]","[2, 1.0633074973177892e-05]","[2, 0.008558607266388806]","[4, 0.496304665017828]","[3, 0.12796190694304704]","[5, 0.04206484789976971]","[1, 0.07894007605444744]","[5, 0.29056984233528854]","[5, 0.4661679156650511]","[1, 0.06584632530790131]","[3, 0.9940529013408416]","[2, 0.4000537122217922]","[5, 0.6475757424212427]","[4, 0.9797003369348604]","[4, 0.312492390511334]","[5, 0.09368230026388649]","[100, 100]","[1, 0.017484225022284663]","[2, 0.08729657077667992]","[1, 0.06044819714202131]","[5, 0.6103011649386929]","[100, 100]","[1, 0.09376740746894617]","[3, 0.04821593505107696]","[1, 0.042785223883405436]","[4, 0.17849157369704619]","[5, 0.5446577877893573]","[5, 0.4874575608214686]","[1, 0.4545399283599788]","[3, 0.0867326171276737]","[5, 0.12724312685162703]","[4, 0.9072299159045158]","[1, 0.09691964984439831]","[1, 0.7068695973705119]","[5, 0.3679591825599793]","[2, 0.06669215940852755]"
Child gaze:robot,"[2, 0.024192814122313944]","[100, 100]","[1, 0.001954193973376194]","[2, 3.214091094776907e-08]","[2, 0.31213655328760465]","[1, 0.25089814134582866]","[2, 0.9003090860637342]","[4, 0.5760151106038898]","[5, 0.1250744409287854]","[5, 0.007372808800058025]","[4, 0.9096262868391225]","[4, 0.05219379751345022]","[5, 0.22150545056698775]","[5, 0.018926155882752194]","[1, 9.559022593702217e-05]","[1, 0.5882734894861923]","[3, 0.3651264223085841]","[2, 0.9491695549827794]","[3, 0.7695271777666836]","[5, 0.04554585800625965]","[4, 0.04318236107512136]","[2, 0.31145425899784057]","[5, 0.16019388694816983]","[100, 100]","[1, 0.06806353377090373]","[1, 0.12098125286876417]","[5, 0.030451389381628436]","[1, 0.41686093858117845]","[100, 100]","[2, 0.9003090860636909]","[2, 0.18200542467500808]","[4, 0.17455963571888525]","[2, 0.10218409118787117]","[1, 0.02567286182091192]","[1, 0.0028279843999636494]","[1, 0.25089814134582866]","[2, 0.016295832378663326]","[2, 0.0020067397836463015]","[2, 0.07909509020499786]","[2, 0.3946286115104299]","[1, 0.45419159637404527]","[3, 0.0007732503661968133]","[1, 0.01079216249174012]"
Child gaze:parent,"[4, 0.0007428294881921463]","[2, 0.5089495349036899]","[100, 100]","[3, 0.0011291200166730364]","[1, 1.0]","[1, 0.2193703755724897]","[1, 1.0]","[1, 1.0]","[5, 0.075936998440743]","[5, 0.16642625578215423]","[4, 0.07297450327449037]","[1, 0.00574068287328301]","[4, 0.1362340249779813]","[3, 0.5710585291270647]","[2, 0.385038906661065]","[3, 0.18382246895876678]","[3, 0.008584935448432297]","[1, 0.051636534015092064]","[3, 0.13077878856310396]","[3, 0.5940141084493897]","[2, 0.11026332647137065]","[1, 0.3804145227335871]","[2, 0.17051665971071606]","[100, 100]","[1, 1.0]","[5, 0.2886889948070542]","[1, 0.14102826289202314]","[4, 0.04250713012511889]","[100, 100]","[1, 0.00574068287328301]","[1, 0.33181781750949224]","[1, 0.31303837505467136]","[5, 0.6333535866640104]","[2, 0.32209365886690566]","[3, 0.5726070905345795]","[3, 0.03549090628645134]","[2, 0.38501057512940906]","[4, 0.20567991134856553]","[2, 0.5118976235193852]","[4, 0.5199498819451036]","[3, 0.7881547231764015]","[1, 0.0178468883956266]","[5, 6.747975711747122e-05]"
Child gaze:props,"[4, 0.036500478801094416]","[2, 0.006723130030969914]","[4, 0.008507603721495597]","[100, 100]","[1, 1.0]","[3, 0.7584471330371206]","[2, 0.03482097008777263]","[1, 0.14235557143668728]","[4, 0.06341591128751067]","[4, 0.05850494236986096]","[2, 0.6899454735538902]","[5, 0.06670900713741765]","[5, 0.49170296203155917]","[5, 0.17936231237628716]","[2, 0.6258060312952027]","[2, 0.44162385217080113]","[1, 0.008294977176400042]","[2, 0.9735452316852898]","[1, 0.038858883998942585]","[1, 0.17527574826936454]","[1, 0.35495706203572663]","[3, 0.014933321578105403]","[5, 0.3603160164880242]","[100, 100]","[2, 0.0026553516032237806]","[3, 0.8059843918932599]","[5, 0.13468732967698782]","[1, 0.9679968926099609]","[100, 100]","[1, 1.0]","[5, 0.2889457274345474]","[5, 0.06304618804291835]","[1, 0.14235557143667876]","[2, 0.11606922771234776]","[2, 0.09771623958183542]","[1, 0.8633883373782762]","[1, 0.24302959901551996]","[1, 0.09339531382692229]","[5, 0.16820182873408213]","[1, 0.10849521722541389]","[2, 0.07208863452823572]","[1, 0.006905687122753943]","[1, 0.006965872073802575]"
Child affect:positive 2,"[1, 1.0]","[4, 0.48849495706088986]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.23627759356572314]","[1, 0.1635644007706083]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.23161118423082622]","[5, 0.07232022542733851]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.015215851221484769]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 2.378100598016833e-46]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.1315060711098061]","[1, 1.0]","[1, 1.0]"
Child affect:positive 1,"[2, 0.7545188734198668]","[1, 0.25089814134582866]","[1, 0.21955989101212253]","[3, 0.8680735456218801]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.03719326088992839]","[3, 0.008117930838315987]","[1, 1.0]","[1, 1.0]","[2, 0.0014932715973009368]","[1, 1.0]","[1, 1.0]","[2, 0.09394891838229999]","[1, 0.08406640769117024]","[2, 0.0011936144399564298]","[1, 0.3214155724078553]","[5, 0.07929780979607923]","[1, 0.059383815368763686]","[1, 0.12034355208171311]","[2, 0.002692497605708131]","[100, 100]","[1, 1.0]","[1, 0.12034355208171311]","[1, 1.0]","[5, 0.0010145999505998457]","[100, 100]","[1, 1.0]","[5, 0.0004885681308664165]","[4, 5.174609808345997e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.2031274657612665]","[4, 0.010378546409894888]","[1, 0.015043424653402837]","[2, 0.004704541331927627]","[3, 0.2691227489815172]","[1, 0.27313922702436366]","[1, 0.20606248750334488]"
Child affect:positive 3,"[4, 0.520980773142409]","[2, 0.034548725590916624]","[1, 1.0]","[1, 0.00986990212491467]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.24504744577019613]","[2, 0.14252119249692513]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 7.382155304236607e-14]","[1, 1.0]","[1, 1.0]","[1, 0.053424293932952345]","[1, 1.0]","[5, 0.35480099233448736]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 1.4194465157818595e-36]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.0034857467889747103]","[1, 1.0]","[1, 1.0]","[3, 0.01073990871789557]","[1, 1.0]","[1, 1.0]","[4, 0.10650740052095738]","[2, 0.035749525805506735]","[1, 1.0]","[2, 2.1267264646179136e-13]","[1, 1.0]","[5, 0.2775570336547034]","[1, 1.0]"
Child gesture:point at prop,"[1, 0.05300224405228643]","[3, 0.45062340034489823]","[1, 1.0]","[5, 0.013087359812062962]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 0.9320248669829837]","[3, 0.21128020451629753]","[3, 4.6157976937220404e-06]","[1, 1.0]","[5, 0.061330573920380216]","[5, 1.8820287811809903e-05]","[1, 1.0]","[3, 0.10207079443201175]","[2, 0.28645119457459517]","[1, 1.0]","[2, 0.0769335696097421]","[1, 1.0]","[2, 0.691255478822158]","[3, 0.19762834377952074]","[5, 0.08677556670352375]","[100, 100]","[5, 0.7694415913775055]","[1, 1.0]","[1, 1.0]","[5, 1.7368044257995348e-08]","[100, 100]","[1, 1.0]","[5, 2.427660186376689e-12]","[4, 0.6050234916509847]","[5, 0.0026064751897557923]","[3, 0.23149166634583712]","[5, 1.618211623732973e-08]","[1, 1.0]","[3, 0.03260989399121439]","[1, 0.13793583878811086]","[2, 0.5375671668308047]","[5, 0.9904775870108793]","[1, 1.0]","[5, 0.007913731810098334]","[1, 1.0]"
Parent utterance:utterance,"[3, 0.013019865427022862]","[1, 0.28788761345578806]","[4, 0.03846514817656593]","[1, 0.021987215369180305]","[5, 0.5291812472021329]","[3, 0.47109080342253373]","[4, 0.9986933076525107]","[4, 0.015030650613394451]","[100, 100]","[3, 0.21675200137467146]","[4, 0.013363515593928366]","[2, 0.7608149259064078]","[1, 0.5891195949969503]","[5, 0.3941300612638574]","[3, 0.6314923020265815]","[3, 0.04550560107553691]","[1, 0.10239186039422109]","[5, 0.7222692344199317]","[1, 0.008714964704903141]","[2, 0.1842575325678315]","[3, 0.44968291955812445]","[2, 0.3496836929568974]","[1, 0.6267880395827806]","[100, 100]","[4, 0.24994373725946015]","[1, 0.04043593270862705]","[5, 0.29681892935664855]","[1, 0.11645268592412215]","[100, 100]","[5, 0.6395991477873697]","[3, 0.10665550872918331]","[1, 0.013396637148309241]","[5, 0.1517248365659756]","[3, 0.051869875485897686]","[4, 0.9989660240994298]","[2, 0.9025783592384672]","[4, 0.1538364008074979]","[2, 0.10377848043356118]","[2, 0.3572492395380138]","[1, 0.3095965217854769]","[3, 0.2196285846920236]","[2, 0.5888226089877693]","[2, 0.07511631681854021]"
Verbal scaffolding:cognitive,"[3, 0.03283600199495485]","[1, 0.4205017419402095]","[1, 0.05332148149195627]","[1, 0.19241670414420098]","[2, 0.9010072964106249]","[3, 0.32422499787061193]","[2, 0.11542208462984559]","[4, 0.0009124769687894955]","[4, 0.31581721450576034]","[100, 100]","[4, 0.30871209152355344]","[4, 0.9985083318631921]","[1, 0.5165774548269586]","[4, 0.7318602053344427]","[4, 0.27313424395293884]","[3, 0.2637272613149814]","[1, 0.27129544490117835]","[3, 0.4690263971736336]","[3, 0.0025054974954909896]","[2, 0.7456046251152524]","[4, 0.273407250894861]","[1, 0.23456809625399858]","[1, 0.5482633110663384]","[100, 100]","[5, 0.10449198689232433]","[1, 0.01576037943439896]","[5, 0.1793677475560113]","[1, 0.21244921533110453]","[100, 100]","[5, 0.9999940793595428]","[3, 0.0038221697669953794]","[1, 0.0035609124340246563]","[5, 0.2648331440916186]","[2, 0.10111441398745348]","[2, 0.9307177491072007]","[2, 0.8411458358614291]","[5, 0.06292680053500277]","[1, 0.5465885857397623]","[2, 0.4918625287626437]","[1, 0.23260007657047188]","[2, 0.3274790773124684]","[2, 0.09069758414403457]","[1, 0.27861632419866356]"
