,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:negative,Child affect:positive 2,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent gesture:missing data,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[4, 0.49316856683420196]","[3, 0.06019311784415015]","[5, 0.03524231375510882]","[2, 0.6241081675094262]","[100, 100]","[3, 0.1608423157597848]","[4, 0.002509323606890542]","[3, 0.0017272757141840339]","[1, 1.0]","[2, 0.021810990818729396]","[4, 0.7822160221985128]","[1, 1.0]","[1, 0.4164349059670225]","[5, 0.00047022530556811866]","[5, 0.25214893068198185]","[5, 0.4513420084252415]","[1, 1.0]","[5, 0.11079764355544008]","[5, 0.8695057731092151]","[1, 1.0]","[1, 0.4164349059670225]","[100, 100]","[1, 1.0]","[1, 0.13731328857108024]","[4, 0.7122396903523803]","[5, 0.03692899505028834]","[4, 0.0960572389661818]","[100, 100]","[4, 0.9942244875955166]","[4, 0.004746536087234836]","[4, 0.2845708547081094]","[1, 0.09440992443982797]","[1, 0.2686727327051289]","[1, 1.0]","[3, 0.274605598676417]","[5, 0.0003731646379095236]","[5, 0.2633083422169936]","[4, 0.998079236965642]","[4, 0.14918533145231172]","[1, 0.25072906543442136]","[4, 0.012540282641317745]"
Child gaze:tablet,"[5, 0.12336242195051493]","[100, 100]","[1, 7.798451777959729e-25]","[1, 1.0]","[2, 0.004255709334094942]","[100, 100]","[5, 0.025474261039675487]","[1, 1.0]","[4, 0.11223247282126435]","[1, 1.0]","[2, 0.13192939541404308]","[5, 0.2505548520731382]","[1, 1.0]","[5, 0.00826780279123019]","[1, 1.0]","[3, 0.20196805997174622]","[4, 0.004275387648600983]","[1, 1.0]","[4, 0.002714913344764956]","[4, 0.019088931603056407]","[3, 0.009761045123893381]","[5, 0.00826780279123019]","[100, 100]","[1, 1.0]","[3, 0.006956825629815612]","[1, 0.4087733017180796]","[1, 1.0]","[5, 0.004871452303803944]","[100, 100]","[1, 1.0]","[5, 0.00015884002363472646]","[1, 0.133351987888951]","[2, 0.4619979575711822]","[4, 1.0175684813341703e-05]","[1, 1.0]","[1, 1.0]","[1, 0.37390187512057305]","[3, 0.35625218159416167]","[1, 0.2874476336683996]","[1, 0.24077530241783607]","[3, 0.13540725716042937]","[1, 5.874300882772717e-14]"
Child gaze:parent,"[4, 0.006557664271720377]","[1, 0.030702928290824032]","[100, 100]","[1, 1.0]","[1, 0.0001921788115409151]","[100, 100]","[4, 0.019975491551608264]","[1, 1.0]","[4, 0.08888038624067178]","[1, 1.0]","[2, 0.053663614256630555]","[1, 1.0]","[1, 1.0]","[4, 0.00012205596509216598]","[1, 1.0]","[5, 0.013408419208269988]","[3, 0.0027588711683769855]","[1, 1.0]","[3, 0.32691099166865845]","[5, 0.29834561342136495]","[3, 0.007598605356186153]","[4, 0.00012205596509216598]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.14079613439565458]","[3, 0.3736530918050235]","[2, 0.008502841646180754]","[100, 100]","[1, 1.0]","[2, 0.00025854038128934697]","[3, 0.9923964428934249]","[3, 0.19508676326835406]","[3, 0.46838032049612555]","[1, 1.0]","[1, 1.0]","[1, 0.24397347810732875]","[2, 0.6229020432446881]","[1, 0.14158079135899207]","[2, 0.021526312212298324]","[5, 0.2772107779875573]","[1, 0.0026768229235125504]"
Child affect:positive 1,"[5, 0.000964562042531304]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 2.2971584410647712e-20]","[1, 0.2685054315793885]","[1, 1.0]","[2, 0.10948972008322173]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 3.161148767436348e-26]","[5, 0.882843089084356]","[5, 0.27243203204989097]","[1, 1.0]","[1, 1.0]","[5, 0.9735344020737756]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.5294876365548613]","[1, 0.16886518486799662]","[5, 1.2577738902667925e-08]","[5, 0.2773896030872245]","[100, 100]","[1, 1.0]","[5, 0.10012238243902918]","[5, 0.1462085971483242]","[5, 0.9632006817464527]","[1, 1.0]","[1, 1.0]","[5, 1.8214267529263176e-07]","[4, 0.09908968019867663]","[3, 0.00024228996227855263]","[1, 1.0]","[4, 7.866456305628555e-13]","[5, 0.9126585248183239]","[1, 1.0]"
Child affect:negative,"[4, 0.09061920839297123]","[1, 1.0]","[1, 0.00019628406196513188]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.23357792492607302]","[1, 1.0]","[5, 0.4935620858968808]","[4, 2.3618943474670442e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.003824546922595682]","[3, 0.0862156420557395]","[1, 1.0]","[5, 7.752665404578965e-13]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.032783600340187784]","[100, 100]","[1, 1.0]","[3, 0.0043492812401370725]","[1, 1.0]","[4, 0.010905986533559873]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.02167908420913463]","[4, 0.010591295676937486]","[1, 1.0]","[1, 1.0]","[2, 0.009316722740239397]","[1, 1.0]"
Child affect:positive 2,"[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]","[100, 100]"
Child gesture:point at prop,"[5, 0.2838536542816702]","[5, 0.003274831590467219]","[4, 0.01957012523838921]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 0.20090479777218076]","[1, 1.0]","[1, 0.09910455563448003]","[1, 1.0]","[1, 1.0]","[5, 0.04936388194648885]","[1, 1.0]","[2, 0.02596657468400773]","[2, 0.017466793860532195]","[1, 1.0]","[2, 0.9999637057555274]","[3, 0.3024617073976696]","[1, 1.0]","[5, 0.04936388194648885]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.11178903380395738]","[1, 1.0]","[3, 0.8658163019583771]","[100, 100]","[1, 1.0]","[3, 0.7782317650647763]","[1, 0.9943532108798382]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9999999993859856]","[4, 0.0437835232824546]","[4, 0.007119582369203884]","[1, 0.9908938537121814]","[5, 0.001973162271653944]","[1, 0.9938612184771896]"
Child affective touch:affective touch,"[2, 0.030951753414410116]","[1, 1.0]","[1, 1.0]","[3, 9.720407160052744e-16]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[5, 0.7409559229965009]","[1, 1.0]","[1, 0.042778645911452834]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.04769135653705458]","[4, 0.14320259727629905]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 4.539853918856525e-10]","[4, 0.39543243280879553]","[1, 1.0]","[1, 0.0031909895332499906]","[100, 100]","[1, 1.0]","[1, 0.00028692966935595543]","[3, 0.00013737170645244028]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 6.063059302838065e-05]","[1, 1.0]","[1, 1.0]","[3, 0.09384463773811982]","[1, 1.0]"
Parent utterance:utterance,"[5, 0.45641901903166315]","[1, 0.1065949022374994]","[4, 0.012626239065031963]","[5, 0.9090251400564956]","[4, 0.602736021539731]","[100, 100]","[5, 0.04986478999478957]","[3, 0.4455362574869898]","[100, 100]","[1, 1.0]","[4, 0.5870791846406516]","[2, 0.09359738577164307]","[1, 0.8210605071429868]","[2, 0.011313274760484302]","[5, 0.999649382747383]","[5, 0.4366310423796891]","[5, 0.00046922241247961854]","[1, 1.0]","[1, 0.5446269716472973]","[5, 0.07318671466155226]","[5, 0.9149427363610021]","[2, 0.011313274760484302]","[100, 100]","[1, 1.0]","[4, 0.4789995231541545]","[5, 0.016175479899385555]","[1, 0.15700496068727288]","[3, 0.002047573907696743]","[100, 100]","[1, 0.11341390931007965]","[3, 0.0584067538493362]","[5, 0.690384641493613]","[4, 0.0002997383219996319]","[1, 0.5189536553060217]","[2, 0.16259265556252944]","[2, 0.9797727377662483]","[2, 0.0396648602333282]","[2, 0.723897576490198]","[1, 0.723929812302917]","[4, 0.22079385799407636]","[5, 0.25188569219494655]","[4, 0.04184820200626104]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.029640011156110837]","[1, 1.0]","[3, 9.400042883314942e-83]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[3, 9.400042883314942e-83]","[1, 1.0]","[1, 0.05039227052255216]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 3.9909616405086456e-22]","[5, 7.350307882232524e-39]","[4, 0.3492755318149467]","[1, 1.0]","[4, 0.17283876680302024]","[1, 1.0]","[2, 0.05397307561804318]","[1, 1.0]"
Verbal scaffolding:cognitive,"[2, 0.07306364398391228]","[1, 0.16180565868046554]","[5, 0.0017538672697752172]","[2, 0.014395260221639086]","[4, 0.03731307208260655]","[100, 100]","[2, 0.24103262652026058]","[3, 0.22295459590549946]","[4, 0.06576985548574245]","[1, 1.0]","[100, 100]","[4, 0.866860104828656]","[1, 0.04235677521815306]","[3, 0.0005590331318046166]","[1, 1.0]","[1, 0.4121823602642004]","[1, 0.144344540521845]","[1, 1.0]","[5, 0.894462363974612]","[3, 0.25051177379410167]","[5, 0.7869351346093642]","[3, 0.0005590331318046166]","[100, 100]","[1, 1.0]","[4, 0.1455637748103274]","[5, 0.29332930864597234]","[1, 0.06096650511706944]","[3, 9.029142335989743e-08]","[100, 100]","[1, 0.04235677521815306]","[5, 0.00018870959820662444]","[4, 0.5445350149325285]","[4, 0.9289684444097366]","[4, 0.03070425815485834]","[4, 0.23356293049734472]","[4, 0.9996898574851953]","[2, 0.6326924271861731]","[4, 0.5379451848616738]","[1, 0.5035457590833405]","[2, 0.13015605732353014]","[4, 0.6231586312141765]","[4, 0.133152376020809]"
Verbal scaffolding:affective,"[3, 0.9880742144527622]","[5, 0.9982746535437866]","[1, 1.0]","[1, 1.0]","[5, 0.9804090107876535]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.2592700758785847]","[1, 1.0]","[5, 0.3082448976436095]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.4779619052247752]","[3, 0.4516038716624806]","[1, 1.0]","[3, 0.923182554605599]","[5, 0.07948669408401564]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[3, 0.86710704008528]","[2, 0.6219431671663533]","[4, 0.001199995605976437]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.1754373918990042]","[4, 5.284837622920293e-05]","[3, 0.9486059028967476]","[1, 1.0]","[1, 1.0]","[5, 0.9999219743523505]","[2, 0.1998750429224083]","[3, 0.9586893188890065]","[1, 1.0]","[3, 0.5689052275017656]","[1, 1.0]"
Verbal scaffolding:technical,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.01674412821816437]","[1, 1.0]","[3, 4.6344771097151485e-05]","[1, 1.0]","[100, 100]","[4, 3.347701887892852e-11]","[1, 1.0]","[1, 1.0]","[3, 2.1430557538414104e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 3.347701887892852e-11]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 7.564560000244882e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 4.3570141517956756e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Non-verbal scaffolding:cognitive,"[1, 0.4110058232975743]","[4, 0.041493150089833744]","[4, 0.0006943829953880419]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.9170481792711258]","[1, 1.0]","[1, 0.13493449160986185]","[1, 1.0]","[3, 0.0006288154620479426]","[1, 1.0]","[3, 2.959601340815515e-05]","[100, 100]","[1, 1.0]","[2, 0.2338514155677418]","[2, 0.05665398514459102]","[1, 1.0]","[1, 1.0]","[1, 0.3007239186717231]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.0004976292156706543]","[1, 1.0]","[4, 4.313824916349922e-05]","[100, 100]","[1, 1.0]","[4, 0.00538839677476679]","[3, 0.37434271460948076]","[5, 0.9236695357128718]","[1, 0.14290057211359883]","[2, 0.03661722493725925]","[1, 1.0]","[1, 0.2568392579578499]","[1, 0.2568392579578499]","[2, 0.9907741755885768]","[1, 0.022797628977871732]","[1, 0.13869314903210944]","[5, 0.9995756046629225]"
Non-verbal scaffolding:technical,"[1, 0.056902465729328826]","[1, 1.0]","[1, 1.0]","[4, 0.0005358515684562692]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.6539085662766262]","[1, 1.0]","[5, 0.728374541221529]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.18657956789188276]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.20058764163542578]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 2.8468510048506594e-42]","[5, 0.06596646982120141]","[5, 0.9998247215475469]","[5, 0.03446553358655514]","[5, 0.9944051375194279]","[1, 1.0]","[1, 1.0]"
Parent gaze:tablet,"[5, 0.00020891175686459099]","[3, 0.001432547103405551]","[4, 2.7968184370081685e-05]","[4, 0.05080041317891812]","[3, 0.007218211566908264]","[100, 100]","[5, 0.3302970733936458]","[2, 0.5392073441143803]","[2, 0.1251925486413163]","[3, 0.0006145328449363946]","[1, 0.5182036272057644]","[2, 0.3974034937334907]","[1, 1.0]","[4, 0.5260700206194181]","[1, 1.0]","[100, 100]","[4, 5.17330977512172e-22]","[2, 0.0005638584078473458]","[5, 0.00032069565041095997]","[4, 0.5785670820095596]","[4, 0.2178655496235666]","[4, 0.5260700206194181]","[100, 100]","[2, 0.00035978792298216203]","[4, 0.24550314379930707]","[1, 0.07398658335429603]","[5, 0.8435895760465779]","[1, 0.08132260220759571]","[100, 100]","[1, 1.0]","[1, 0.18913153283041373]","[5, 0.1458325484815905]","[5, 0.7823397750069974]","[5, 0.030317378145619887]","[1, 1.0]","[3, 0.10194298783448225]","[2, 0.15363277273596052]","[2, 0.03496102865976164]","[1, 0.24005532224250886]","[1, 0.7430353977959832]","[3, 0.00012843659463572903]","[2, 8.123935069233301e-14]"
