,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,47.6
1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.1
2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,48.6
3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.1
4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,49.6
5,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,50.1
6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,50.6
7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,51.1
8,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,51.6
9,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.1
10,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,52.6
11,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,53.1
12,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,53.6
13,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.1
14,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,54.6
15,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,55.1
16,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,55.6
17,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,56.1
18,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,56.6
19,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,57.1
20,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,57.6
21,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,58.1
22,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,58.6
23,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,59.1
24,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,59.6
25,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,60.1
26,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,60.6
27,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,61.1
28,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,61.6
29,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,62.1
30,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,62.6
