,Child utterance:utterance,Child gaze:parent,Child gaze:tablet,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:tablet,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
Child utterance:utterance,"[100, 100]","[2, 0.16717275273941593]","[1, 0.05544357454547276]","[2, 0.2516193154235371]","[5, 0.04150885951820224]","[2, 0.12445790481748881]","[1, 0.003054913280119013]","[1, 0.17007708500124064]","[1, 0.17810442515548164]","[1, 0.26189005422594425]","[100, 100]","[3, 0.37167161290905887]","[2, 0.3327075304942609]","[1, 0.26189005422594425]","[100, 100]","[100, 100]","[2, 0.15882169304247498]","[1, 0.07571217812455758]","[100, 100]","[1, 0.9949604839785001]","[1, 0.19089762920165418]","[5, 0.05424090102468388]","[1, 0.21496810528972277]","[2, 0.06536597213299827]","[4, 0.0005986242812444225]","[2, 0.02914749866372725]","[1, 0.4487116639407025]","[2, 0.011400247267554876]","[4, 0.6643901833354904]","[1, 0.1530960846612343]"
Child gaze:parent,"[5, 3.909495300105251e-13]","[100, 100]","[4, 7.539752954400072e-22]","[3, 0.16487534963267567]","[1, 1.0]","[2, 5.918330650003199e-05]","[3, 0.053649760478846335]","[3, 0.05091778832410122]","[1, 0.9234908993089781]","[2, 0.3612672601387157]","[100, 100]","[5, 0.03478522636869387]","[1, 0.6484071562444169]","[2, 0.3612672601387157]","[100, 100]","[100, 100]","[1, 0.4128638226636826]","[1, 0.140802623842369]","[100, 100]","[5, 0.9994804157472572]","[4, 0.07913045856274419]","[1, 0.003554144352690738]","[5, 0.9227382150437253]","[4, 0.6292933136736055]","[1, 0.22116104225032232]","[3, 0.0019662261114817363]","[1, 0.2856056199544979]","[1, 0.00010031224383084626]","[2, 0.01605647769582943]","[4, 0.21510726386237009]"
Child gaze:tablet,"[5, 1.922416663035327e-08]","[5, 3.94320445007358e-16]","[100, 100]","[3, 0.005117187953271418]","[1, 1.0]","[4, 0.020625409927596226]","[1, 0.049304218757631496]","[4, 0.0794884802573944]","[2, 0.9726451974589468]","[3, 0.5837646142645394]","[100, 100]","[5, 0.3189825139828564]","[5, 0.1919504059874153]","[3, 0.5837646142645394]","[100, 100]","[100, 100]","[5, 0.9385404624978112]","[5, 0.02765115701042599]","[100, 100]","[1, 0.9988822240584454]","[4, 0.022939000834649777]","[5, 0.29762022149798234]","[1, 0.09731742879083201]","[1, 0.24180126147252895]","[1, 0.1898954906809543]","[5, 0.002994909792966197]","[2, 0.5819751493906935]","[2, 0.0012796258620913251]","[5, 0.3985529761571348]","[4, 5.949395246049332e-09]"
Child affect:positive 1,"[3, 3.680743531003221e-05]","[1, 0.02885217240456803]","[2, 0.0467366301454655]","[100, 100]","[3, 0.9844134742696533]","[1, 0.1439119555504821]","[1, 0.6150278350165537]","[5, 0.6297448359070575]","[1, 1.0]","[4, 0.6039240880349612]","[100, 100]","[2, 0.04642625968260355]","[5, 0.008089380117765044]","[4, 0.6039240880349612]","[100, 100]","[100, 100]","[4, 0.024700827551632686]","[1, 0.3579274923686635]","[100, 100]","[1, 0.9919287487287174]","[3, 0.99488208855532]","[2, 0.04365836167749818]","[5, 0.37227838798605234]","[3, 0.9844373217515486]","[1, 0.4055783814298418]","[3, 0.0047030850119945625]","[3, 0.22848651664495107]","[3, 0.021570480537626776]","[4, 0.04138633064802003]","[1, 0.12465650373038846]"
Child affect:positive 2,"[3, 0.08002270427917323]","[1, 1.0]","[1, 1.0]","[1, 0.030483759594475662]","[100, 100]","[1, 1.0]","[5, 0.015690409600174367]","[5, 0.02052935074057965]","[5, 4.686870290921232e-10]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[4, 0.26121234455905107]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0001776372401073171]","[1, 1.0]","[5, 0.01940799623619893]","[4, 0.0010615896860859163]","[1, 1.0]","[2, 0.015491932369188149]","[1, 1.0]","[1, 1.0]"
Child gesture:point at prop,"[1, 0.0001527989733942167]","[3, 0.04690515531690175]","[3, 0.3174122444962675]","[1, 0.028202486250408852]","[5, 0.2427165721713036]","[100, 100]","[1, 0.1008523957737052]","[5, 0.046563393565285806]","[1, 0.0799973647603186]","[1, 0.024406197190773665]","[100, 100]","[2, 0.4435532533423667]","[1, 0.07588609007754253]","[1, 0.024406197190773665]","[100, 100]","[100, 100]","[1, 4.778192886226893e-06]","[1, 0.45642378688965346]","[100, 100]","[1, 0.9934573985043512]","[5, 0.17126201495042098]","[1, 0.042973831140733165]","[1, 0.117365539980111]","[2, 0.23975754556682313]","[3, 0.0014674603846942453]","[5, 0.4647682124240874]","[2, 0.0827322263640934]","[3, 0.44786388578881986]","[1, 0.08832656146564552]","[3, 0.012126606630781588]"
Parent utterance:utterance,"[2, 0.008900352759545926]","[1, 0.014051362479421141]","[3, 0.04311165257893223]","[1, 0.5637638392183506]","[3, 0.2954922573204478]","[1, 0.3482216601708691]","[100, 100]","[1, 0.6225262432629863]","[1, 0.5707100018491652]","[5, 0.07858422252834026]","[100, 100]","[2, 0.0324561127755819]","[5, 0.1596502459721991]","[5, 0.07858422252834026]","[100, 100]","[100, 100]","[1, 0.0056015220721478]","[1, 0.025216440632940557]","[100, 100]","[1, 0.9948003624768036]","[1, 0.013204089247992212]","[5, 0.6208442779602179]","[1, 0.10077206353565575]","[4, 0.00833229599461102]","[3, 0.380640079727433]","[3, 0.0003082972108517114]","[2, 0.35057100511585515]","[5, 0.4220544238900923]","[5, 0.10075213983851906]","[1, 0.03020302477707947]"
Verbal scaffolding:cognitive,"[1, 0.04053687490394287]","[5, 0.002832781820210738]","[2, 0.2518895907377811]","[1, 0.4571099257902449]","[5, 0.450244293280175]","[3, 0.39211833958255815]","[1, 0.02528218851722028]","[100, 100]","[5, 0.9965196216379308]","[5, 0.15850632106114018]","[100, 100]","[1, 0.02065462872076804]","[1, 0.48776437262958694]","[5, 0.15850632106114018]","[100, 100]","[100, 100]","[1, 0.03775681791039647]","[1, 0.028660880566331016]","[100, 100]","[1, 0.9933054244151952]","[1, 0.01541826657501341]","[1, 0.33807653778439745]","[1, 0.45825521799345414]","[2, 0.5711719250882958]","[1, 0.106407443371624]","[1, 0.00019282635352692572]","[2, 0.08637751344695857]","[1, 0.2850478794169735]","[4, 0.5045135688301783]","[5, 0.000296070981823641]"
Verbal scaffolding:affective,"[4, 0.21590690068344104]","[3, 0.011750921884529631]","[4, 0.029349809708032824]","[1, 1.0]","[5, 2.18316165462878e-14]","[4, 0.42068921920725]","[3, 0.46696007342601686]","[3, 0.3461830743195889]","[100, 100]","[3, 0.9309645529072524]","[100, 100]","[2, 0.0005418402790944208]","[1, 0.07891210630182313]","[3, 0.9309645529072524]","[100, 100]","[100, 100]","[2, 1.7462269052647586e-06]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 2.1896072701528315e-06]","[3, 0.05287014891167973]","[5, 0.0435350655994481]","[4, 0.11521950171609346]","[3, 0.11886666053486977]","[4, 0.04703950721085594]","[3, 0.22665981331980023]","[3, 0.1560110701191953]"
Non-verbal scaffolding:cognitive,"[2, 0.0485500078780099]","[4, 0.0892258235110129]","[2, 0.0071152519468734715]","[1, 0.3583547714338904]","[5, 0.06513539965446356]","[5, 0.020636641705218048]","[5, 0.024371107365228475]","[1, 0.48051530093218153]","[2, 0.0657965793712848]","[100, 100]","[100, 100]","[2, 0.04898276565885491]","[1, 0.13556415853194922]","[100, 100]","[100, 100]","[100, 100]","[5, 0.398914002980763]","[4, 0.16843449330245666]","[100, 100]","[1, 1.0]","[4, 0.09325083297857653]","[4, 0.7195915218284756]","[3, 0.9974226398514006]","[1, 0.1631044442019221]","[2, 0.0865650005823051]","[1, 0.14668034221859852]","[5, 0.04902475349257461]","[4, 0.775477480094842]","[1, 0.15239858251989846]","[4, 0.05563727083640437]"
