,granger_Non-verbal scaffolding:affective_robot text:positive feedback,granger_Verbal scaffolding:affective_robot text:positive feedback,granger_Parent affective touch:affective touch_robot text:positive feedback,granger_Parent affect_robot text:positive feedback,granger_Child affect_robot text:positive feedback,granger_Mutual gaze:MG_robot text:pick up,granger_Child gaze:object_robot text:pick up,granger_Parent gaze:object_robot text:pick up,granger_Parent utterance:utterance_robot text:pick up,granger_Child utterance:utterance_robot text:pick up,granger_Conversational turns_robot text:pick up,granger_Non-verbal scaffolding:cognitive_robot text:pick up,granger_Verbal scaffolding:cognitive_robot text:pick up,granger_Parent prop manipulation:parent_robot text:pick up,granger_Child prop manipulation:child_robot text:pick up,Child affect_normalized total time,Conversational turns_normalized count,Parent affect_normalized total time,Child affective touch:affective touch_normalized count,Child gaze:parent_normalized total time,Child utterance:utterance_normalized count,Non-verbal scaffolding:cognitive_normalized count,Parent affective touch:affective touch_normalized count,Parent gaze:child_normalized total time,Parent utterance:utterance_normalized count,Verbal scaffolding:affective_normalized count,Verbal scaffolding:cognitive_normalized count,Non-verbal scaffolding:affective_normalized count,Non-verbal scaffolding:technical_normalized count,Verbal scaffolding:technical_normalized count,Child gaze:object_normalized total time,Parent gaze:object_normalized total time,condition,participant,order,child gender,child age,Nars_ss1,Nars_ss2,Nars_ss3
0,0.0,13.868772059398491,0.0,5.889178214890262,13.603076133625072,44.39815840489517,33.22981272218169,21.88248171750711,17.242120004762437,16.457690196561817,10.707136881695702,15.97027159128548,46.47614837552781,5.667510113848703,11.9270203990182,0.5297411734848915,0.1869989013814544,0.33512874540433507,0.0033392660960974,0.11473718306190665,0.100177982882922,0.0100177982882922,0.0033392660960974,0.2575242013310315,0.0901601845946298,0.0100177982882922,0.0233748626726818,0.0,0.0,0.0,0.8166509164615802,0.6749324633432064,r,101,1,1,1303,3.833333333,3.4,4.333333333
1,0.0,74.52865821410711,0.0,8.996384982240794,15.827571177269194,14.06018969657882,13.084489412539625,8.34490286640568,20.45513010027216,13.480510720428866,8.524595585716206,9.269650072630549,18.26149757480465,9.728727463581778,32.12460536425392,0.28542605420673883,0.2656533727890241,0.6658147824332504,0.0033627009213800527,0.03900733068800861,0.050440513820700784,0.06725401842760105,0.0033627009213800527,0.18266191404936447,0.20176205528280314,0.033627009213800525,0.057165915663460895,0.0,0.006725401842760105,0.0,0.8249377900329544,0.6843096375008406,r,103,1,2,918,4.166666667,3.4,2.0
2,0.0,71.54811940032462,0.0,18.035686284171582,7.1314716396283,0.0,7.329989622214702,12.55367725371481,16.932618421099345,22.655869419608248,5.885526582891046,14.478236765509054,28.579433436271223,7.3661484328244935,0.0,0.36025675314255146,0.591735758224124,0.30770259427654456,0.0,0.006418828563787109,0.18721583311045734,0.03343139876972453,0.0,0.4687082107515378,0.20727467237229205,0.0033431398769724523,0.06017651778550415,0.0033431398769724523,0.0033431398769724523,0.0,0.9303289649638942,0.44503878042257283,r,105,1,2,835,4.166666667,2.8,2.333333333
3,0.0,72.61631777347347,0.0,4.436760632944806,14.063448805783587,0.3301087575489592,13.687557002411596,16.083772226670792,41.189128627160095,9.608589944828026,21.782967737449976,51.69521322757356,22.337694459795557,10.036689246923387,18.718732604988237,0.5089668094218416,0.05018736616702356,0.46118843683083516,0.0,0.006825481798715204,0.013383297644539615,0.01003747323340471,0.0033458244111349037,0.10666488222698073,0.12044967880085654,0.02007494646680942,0.04014989293361884,0.0,0.0033458244111349037,0.0033458244111349037,0.8741970021413277,0.7408993576017131,r,107,1,2,1243,4.166666667,3.0,3.0
4,0.0,26.231095878667027,25.76206414966024,27.981309549608138,8.352301084902866,13.84191345801943,24.30645902972059,6.541187165797106,16.476695551132266,9.866412066717047,12.02124890232543,0.0,9.52867362175753,17.851665489643175,21.39516539934111,0.31398751724415036,0.043528923295340395,0.1964426824531562,0.0,0.1144743715093152,0.03683216586528803,0.0,0.013393514860104738,0.27441302921125593,0.11384487631089027,0.020090272290157106,0.046877302010366585,0.0,0.0,0.023438651005183293,0.7737902307702611,0.6049951113670761,r,111,1,1,1291,2.166666667,2.4,1.333333333
5,0.0,23.249475512197975,25.023226323842586,6.943116028787719,19.99037655388769,1.0880185641326537e-13,20.01726385385903,10.457590798542205,13.553760662652346,17.11658611731702,14.720658093206085,34.282377252109136,29.46463991980437,0.0,11.70051078417511,0.23829330470951296,0.30189185562860593,0.7057560713806521,0.0,0.005098618006172011,0.09727626459143969,0.0033543539514289547,0.043606601368576414,0.16677847846504762,0.15765463571716087,0.016771769757144773,0.04025224741714745,0.0,0.0,0.0,0.835502482221924,0.7602307795518584,r,113,1,1,1197,3.5,3.2,1.666666667
6,0.0,25.975231403726024,0.0,14.387539097917236,8.49460616053713,19.925743022086532,9.359406004829065,19.488962300848346,28.68350017749128,8.470532439381463,7.794702267368539,30.83494245989879,18.90997171439806,41.522871520130366,31.25765722845921,0.4851657940663176,0.016780775943079605,0.09759699288495098,0.0,0.10578601154517384,0.010068465565847763,0.003356155188615921,0.0,0.06859981205530943,0.10404081084709356,0.010068465565847763,0.050342327829238816,0.0,0.010068465565847763,0.003356155188615921,0.8225265136259899,0.8304470398711234,r,115,1,2,1245,2.0,1.6,2.333333333
7,1.617715855238257e-13,7.265592958152427,7.476719752755538,11.9628415790523,4.655021243038654,16.132212581644996,24.778629529825324,19.240352112886978,9.827423506960674,9.811787424725177,6.260242761966169,18.433106419511425,12.441969367831716,3.251371833465217,18.664368423703323,0.55180706794041,0.2605384461219854,0.3866657759369363,0.0033402364887434024,0.16166744605518069,0.1235887500835059,0.010020709466230208,0.023381655421203816,0.393880686752622,0.1269289865722493,0.0033402364887434024,0.050103547331151035,0.01336094595497361,0.006680472977486805,0.0033402364887434024,0.8003206627029191,0.5767920368762107,r,117,1,1,1355,2.333333333,2.8,1.333333333
8,0.0,21.84445360175368,0.0,26.375586674471503,14.986902151786165,0.0,10.704441842883508,5.69635750619765,13.00783008921243,11.144007977837916,13.591815820497114,26.904099143597303,27.80013728988806,10.047688189957132,9.544005341747473,0.30407861084937404,0.1615291425494683,0.12989635213353076,0.0,0.0,0.060573428456050606,0.026921523758244713,0.0,0.3157894736842105,0.1615291425494683,0.006730380939561178,0.04038228563736707,0.0,0.016825952348902946,0.013460761879122356,0.8997173240005384,0.59846547314578,t,102,1,1,699,2.5,1.4,2.666666667
9,0.0,12.87684370223735,0.0,23.987259229770284,13.811072389744282,8.733754460384566e-14,0.6849925931661022,12.869425403409329,30.03016529034133,1.5583367929394856e-13,0.0,13.038392416594826,19.373550924495955,19.564134833463275,15.246044339603557,0.027354461526083958,0.013409049767688214,0.3875215382861894,0.0,0.005363619907075286,0.006704524883844107,0.023465837093454373,0.0,0.052965746582368446,0.14414728500264828,0.01005678732576616,0.03687488686114259,0.0,0.006704524883844107,0.01005678732576616,0.9178494565982582,0.7698135471629803,t,104,1,1,847,3.5,2.6,3.0
